Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,temp,
2025-12-12,09:31:25.699006,1765528285.699006,s,4e-06,s,25.0,°C
2025-12-12,09:31:55.699737,1765528315.699737,s,30.000735,s,24.0,°C
2025-12-12,09:32:25.699710,1765528345.69971,s,60.000708,s,25.0,°C
2025-12-12,09:32:55.700016,1765528375.700016,s,90.001014,s,24.0,°C
2025-12-12,09:33:25.700204,1765528405.700204,s,120.001202,s,25.0,°C
2025-12-12,09:33:55.700341,1765528435.700341,s,150.001339,s,24.0,°C
2025-12-12,09:34:25.700527,1765528465.700527,s,180.001525,s,25.0,°C
2025-12-12,09:34:55.700662,1765528495.700662,s,210.00166,s,25.0,°C
2025-12-12,09:35:25.700995,1765528525.700995,s,240.001993,s,26.0,°C
2025-12-12,09:35:55.701080,1765528555.70108,s,270.002078,s,27.0,°C
2025-12-12,09:36:25.701357,1765528585.701357,s,300.002355,s,28.0,°C
2025-12-12,09:36:55.701377,1765528615.701377,s,330.002375,s,28.0,°C
2025-12-12,09:37:25.701722,1765528645.701722,s,360.00272,s,28.0,°C
2025-12-12,09:37:55.701923,1765528675.701923,s,390.002921,s,28.0,°C
2025-12-12,09:38:25.702147,1765528705.702147,s,420.003145,s,29.0,°C
2025-12-12,09:38:55.702403,1765528735.702403,s,450.003401,s,29.0,°C
2025-12-12,09:39:25.702569,1765528765.702569,s,480.003567,s,30.0,°C
2025-12-12,09:39:55.702830,1765528795.70283,s,510.003828,s,30.0,°C
2025-12-12,09:40:25.703039,1765528825.703039,s,540.004037,s,31.0,°C
2025-12-12,09:40:55.703208,1765528855.703208,s,570.004206,s,32.0,°C
2025-12-12,09:41:25.703367,1765528885.703367,s,600.004365,s,31.0,°C
2025-12-12,09:41:55.703461,1765528915.703461,s,630.004459,s,34.0,°C
2025-12-12,09:42:25.703765,1765528945.703765,s,660.004763,s,34.0,°C
2025-12-12,09:42:55.703857,1765528975.703857,s,690.004855,s,34.0,°C
2025-12-12,09:43:25.704275,1765529005.704275,s,720.005273,s,35.0,°C
2025-12-12,09:43:55.704337,1765529035.704337,s,750.005335,s,35.0,°C
2025-12-12,09:44:25.704779,1765529065.704779,s,780.005777,s,36.0,°C
2025-12-12,09:44:55.704592,1765529095.704592,s,810.00559,s,36.0,°C
2025-12-12,09:45:25.705405,1765529125.705405,s,840.006403,s,36.0,°C
2025-12-12,09:45:55.704889,1765529155.704889,s,870.005887,s,36.0,°C
2025-12-12,09:46:25.705850,1765529185.70585,s,900.006848,s,36.0,°C
2025-12-12,09:46:55.705338,1765529215.705338,s,930.006336,s,36.0,°C
2025-12-12,09:47:25.706272,1765529245.706272,s,960.00727,s,36.0,°C
