Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-12-09,13:38:48.584802,1765283928.584802,s,5e-06,s,18.0,°C
2025-12-09,13:39:18.585553,1765283958.585553,s,30.000756,s,18.0,°C
2025-12-09,13:39:48.585409,1765283988.585409,s,60.000612,s,18.0,°C
2025-12-09,13:40:18.585964,1765284018.585964,s,90.001167,s,18.0,°C
2025-12-09,13:40:48.585798,1765284048.585798,s,120.001001,s,19.0,°C
2025-12-09,13:41:18.586260,1765284078.58626,s,150.001463,s,18.0,°C
2025-12-09,13:41:48.586239,1765284108.586239,s,180.001442,s,19.0,°C
2025-12-09,13:42:18.586638,1765284138.586638,s,210.001841,s,19.0,°C
2025-12-09,13:42:48.586647,1765284168.586647,s,240.00185,s,21.0,°C
2025-12-09,13:43:18.587181,1765284198.587181,s,270.002384,s,21.0,°C
2025-12-09,13:43:48.587138,1765284228.587138,s,300.002341,s,21.0,°C
2025-12-09,13:44:18.587689,1765284258.587689,s,330.002892,s,21.0,°C
2025-12-09,13:44:48.587643,1765284288.587643,s,360.002846,s,22.0,°C
2025-12-09,13:45:18.588055,1765284318.588055,s,390.003258,s,23.0,°C
2025-12-09,13:45:48.588006,1765284348.588006,s,420.003209,s,24.0,°C
2025-12-09,13:46:18.588294,1765284378.588294,s,450.003497,s,23.0,°C
2025-12-09,13:46:48.588491,1765284408.588491,s,480.003694,s,24.0,°C
2025-12-09,13:47:18.588784,1765284438.588784,s,510.003987,s,26.0,°C
2025-12-09,13:47:48.589008,1765284468.589008,s,540.004211,s,24.0,°C
2025-12-09,13:48:18.589067,1765284498.589067,s,570.00427,s,25.0,°C
2025-12-09,13:48:48.589411,1765284528.589411,s,600.004614,s,26.0,°C
2025-12-09,13:49:18.589358,1765284558.589358,s,630.004561,s,26.0,°C
2025-12-09,13:49:48.589837,1765284588.589837,s,660.00504,s,26.0,°C
2025-12-09,13:50:18.589727,1765284618.589727,s,690.00493,s,27.0,°C
2025-12-09,13:50:48.590220,1765284648.59022,s,720.005423,s,27.0,°C
2025-12-09,13:51:18.590208,1765284678.590208,s,750.005411,s,28.0,°C
2025-12-09,13:51:48.590720,1765284708.59072,s,780.005923,s,28.0,°C
2025-12-09,13:52:18.590478,1765284738.590478,s,810.005681,s,29.0,°C
2025-12-09,13:52:48.591098,1765284768.591098,s,840.006301,s,29.0,°C
2025-12-09,13:53:18.590959,1765284798.590959,s,870.006162,s,29.0,°C
2025-12-09,13:53:48.591551,1765284828.591551,s,900.006754,s,29.0,°C
2025-12-09,13:54:18.591247,1765284858.591247,s,930.00645,s,29.0,°C
2025-12-09,13:54:48.591842,1765284888.591842,s,960.007045,s,29.0,°C
2025-12-09,13:55:18.591645,1765284918.591645,s,990.006848,s,29.0,°C
2025-12-09,13:55:48.592242,1765284948.592242,s,1020.007445,s,29.0,°C
