Date,Time,Time since 1970-01-01T00:00:00Z,,t,,T,
2025-12-02,14:16:01.182037,1764681361.182037,s,3e-06,s,68.0,°C
2025-12-02,14:16:01.432648,1764681361.432648,s,0.250614,s,68.0,°C
2025-12-02,14:16:01.682623,1764681361.682623,s,0.500589,s,68.0,°C
2025-12-02,14:16:01.933109,1764681361.933109,s,0.751075,s,68.0,°C
2025-12-02,14:16:02.182927,1764681362.182927,s,1.000893,s,68.0,°C
2025-12-02,14:16:02.433527,1764681362.433527,s,1.251493,s,68.0,°C
2025-12-02,14:16:02.683360,1764681362.68336,s,1.501326,s,68.0,°C
2025-12-02,14:16:02.933973,1764681362.933973,s,1.751939,s,68.0,°C
2025-12-02,14:16:03.183827,1764681363.183827,s,2.001793,s,68.0,°C
2025-12-02,14:16:03.434429,1764681363.434429,s,2.252395,s,68.0,°C
2025-12-02,14:16:03.684263,1764681363.684263,s,2.502229,s,68.0,°C
2025-12-02,14:16:03.934920,1764681363.93492,s,2.752886,s,68.0,°C
2025-12-02,14:16:04.184718,1764681364.184718,s,3.002684,s,68.0,°C
2025-12-02,14:16:04.435341,1764681364.435341,s,3.253307,s,68.0,°C
2025-12-02,14:16:04.685188,1764681364.685188,s,3.503154,s,68.0,°C
2025-12-02,14:16:04.935653,1764681364.935653,s,3.753619,s,68.0,°C
2025-12-02,14:16:05.185504,1764681365.185504,s,4.00347,s,68.0,°C
2025-12-02,14:16:05.435907,1764681365.435907,s,4.253873,s,68.0,°C
2025-12-02,14:16:05.685930,1764681365.68593,s,4.503896,s,68.0,°C
2025-12-02,14:16:05.936181,1764681365.936181,s,4.754147,s,68.0,°C
2025-12-02,14:16:06.186372,1764681366.186372,s,5.004338,s,68.0,°C
2025-12-02,14:16:06.436464,1764681366.436464,s,5.25443,s,68.0,°C
2025-12-02,14:16:06.686677,1764681366.686677,s,5.504643,s,68.0,°C
2025-12-02,14:16:06.936762,1764681366.936762,s,5.754728,s,68.0,°C
2025-12-02,14:16:07.186922,1764681367.186922,s,6.004888,s,68.0,°C
2025-12-02,14:16:07.436990,1764681367.43699,s,6.254956,s,68.0,°C
2025-12-02,14:16:07.687318,1764681367.687318,s,6.505284,s,68.0,°C
2025-12-02,14:16:07.937281,1764681367.937281,s,6.755247,s,68.0,°C
2025-12-02,14:16:08.187752,1764681368.187752,s,7.005718,s,68.0,°C
2025-12-02,14:16:08.437635,1764681368.437635,s,7.255601,s,68.0,°C
2025-12-02,14:16:08.688004,1764681368.688004,s,7.50597,s,68.0,°C
2025-12-02,14:16:08.938110,1764681368.93811,s,7.756076,s,68.0,°C
2025-12-02,14:16:09.188341,1764681369.188341,s,8.006307,s,68.0,°C
2025-12-02,14:16:09.438584,1764681369.438584,s,8.25655,s,68.0,°C
2025-12-02,14:16:09.688784,1764681369.688784,s,8.50675,s,68.0,°C
2025-12-02,14:16:09.939016,1764681369.939016,s,8.756982,s,68.0,°C
2025-12-02,14:16:10.188998,1764681370.188998,s,9.006964,s,68.0,°C
2025-12-02,14:16:10.439474,1764681370.439474,s,9.25744,s,68.0,°C
2025-12-02,14:16:10.689321,1764681370.689321,s,9.507287,s,68.0,°C
2025-12-02,14:16:10.939920,1764681370.93992,s,9.757886,s,68.0,°C
2025-12-02,14:16:11.189643,1764681371.189643,s,10.007609,s,68.0,°C
2025-12-02,14:16:11.440371,1764681371.440371,s,10.258337,s,68.0,°C
2025-12-02,14:16:11.689920,1764681371.68992,s,10.507886,s,67.0,°C
2025-12-02,14:16:11.940881,1764681371.940881,s,10.758847,s,67.0,°C
2025-12-02,14:16:12.190125,1764681372.190125,s,11.008091,s,67.0,°C
2025-12-02,14:16:12.441359,1764681372.441359,s,11.259325,s,67.0,°C
2025-12-02,14:16:12.690401,1764681372.690401,s,11.508367,s,67.0,°C
2025-12-02,14:16:12.941689,1764681372.941689,s,11.759655,s,67.0,°C
2025-12-02,14:16:13.190694,1764681373.190694,s,12.00866,s,67.0,°C
2025-12-02,14:16:13.442136,1764681373.442136,s,12.260102,s,68.0,°C
2025-12-02,14:16:13.690903,1764681373.690903,s,12.508869,s,68.0,°C
2025-12-02,14:16:13.942464,1764681373.942464,s,12.76043,s,68.0,°C
2025-12-02,14:16:14.191189,1764681374.191189,s,13.009155,s,68.0,°C
2025-12-02,14:16:14.442937,1764681374.442937,s,13.260903,s,68.0,°C
2025-12-02,14:16:14.691403,1764681374.691403,s,13.509369,s,68.0,°C
2025-12-02,14:16:14.943400,1764681374.9434,s,13.761366,s,68.0,°C
2025-12-02,14:16:15.191896,1764681375.191896,s,14.009862,s,68.0,°C
2025-12-02,14:16:15.443859,1764681375.443859,s,14.261825,s,67.0,°C
2025-12-02,14:16:15.692367,1764681375.692367,s,14.510333,s,67.0,°C
2025-12-02,14:16:15.944308,1764681375.944308,s,14.762274,s,67.0,°C
2025-12-02,14:16:16.192834,1764681376.192834,s,15.0108,s,67.0,°C
2025-12-02,14:16:16.444695,1764681376.444695,s,15.262661,s,67.0,°C
2025-12-02,14:16:16.693312,1764681376.693312,s,15.511278,s,67.0,°C
2025-12-02,14:16:16.944921,1764681376.944921,s,15.762887,s,67.0,°C
2025-12-02,14:16:17.193681,1764681377.193681,s,16.011647,s,67.0,°C
2025-12-02,14:16:17.445378,1764681377.445378,s,16.263344,s,67.0,°C
2025-12-02,14:16:17.694134,1764681377.694134,s,16.5121,s,67.0,°C
2025-12-02,14:16:17.945706,1764681377.945706,s,16.763672,s,67.0,°C
2025-12-02,14:16:18.194601,1764681378.194601,s,17.012567,s,68.0,°C
2025-12-02,14:16:18.445919,1764681378.445919,s,17.263885,s,68.0,°C
2025-12-02,14:16:18.694927,1764681378.694927,s,17.512893,s,68.0,°C
2025-12-02,14:16:18.946128,1764681378.946128,s,17.764094,s,67.0,°C
2025-12-02,14:16:19.195381,1764681379.195381,s,18.013347,s,67.0,°C
2025-12-02,14:16:19.446438,1764681379.446438,s,18.264404,s,67.0,°C
2025-12-02,14:16:19.695858,1764681379.695858,s,18.513824,s,67.0,°C
2025-12-02,14:16:19.946728,1764681379.946728,s,18.764694,s,67.0,°C
2025-12-02,14:16:20.196325,1764681380.196325,s,19.014291,s,67.0,°C
2025-12-02,14:16:20.446920,1764681380.44692,s,19.264886,s,67.0,°C
2025-12-02,14:16:20.696810,1764681380.69681,s,19.514776,s,67.0,°C
2025-12-02,14:16:20.947161,1764681380.947161,s,19.765127,s,67.0,°C
2025-12-02,14:16:21.197273,1764681381.197273,s,20.015239,s,67.0,°C
2025-12-02,14:16:21.447447,1764681381.447447,s,20.265413,s,67.0,°C
2025-12-02,14:16:21.697726,1764681381.697726,s,20.515692,s,67.0,°C
2025-12-02,14:16:21.947772,1764681381.947772,s,20.765738,s,67.0,°C
2025-12-02,14:16:22.197949,1764681382.197949,s,21.015915,s,67.0,°C
2025-12-02,14:16:22.448281,1764681382.448281,s,21.266247,s,67.0,°C
2025-12-02,14:16:22.698377,1764681382.698377,s,21.516343,s,67.0,°C
2025-12-02,14:16:22.948739,1764681382.948739,s,21.766705,s,67.0,°C
2025-12-02,14:16:23.198717,1764681383.198717,s,22.016683,s,67.0,°C
2025-12-02,14:16:23.449068,1764681383.449068,s,22.267034,s,67.0,°C
2025-12-02,14:16:23.699004,1764681383.699004,s,22.51697,s,67.0,°C
2025-12-02,14:16:23.949433,1764681383.949433,s,22.767399,s,67.0,°C
2025-12-02,14:16:24.199333,1764681384.199333,s,23.017299,s,67.0,°C
2025-12-02,14:16:24.449908,1764681384.449908,s,23.267874,s,67.0,°C
2025-12-02,14:16:24.699674,1764681384.699674,s,23.51764,s,67.0,°C
2025-12-02,14:16:24.950198,1764681384.950198,s,23.768164,s,67.0,°C
2025-12-02,14:16:25.199999,1764681385.199999,s,24.017965,s,67.0,°C
2025-12-02,14:16:25.450532,1764681385.450532,s,24.268498,s,67.0,°C
2025-12-02,14:16:25.700312,1764681385.700312,s,24.518278,s,67.0,°C
2025-12-02,14:16:25.950880,1764681385.95088,s,24.768846,s,67.0,°C
2025-12-02,14:16:26.200642,1764681386.200642,s,25.018608,s,67.0,°C
2025-12-02,14:16:26.451363,1764681386.451363,s,25.269329,s,67.0,°C
2025-12-02,14:16:26.700909,1764681386.700909,s,25.518875,s,67.0,°C
2025-12-02,14:16:26.951836,1764681386.951836,s,25.769802,s,67.0,°C
2025-12-02,14:16:27.201191,1764681387.201191,s,26.019157,s,67.0,°C
2025-12-02,14:16:27.452101,1764681387.452101,s,26.270067,s,67.0,°C
2025-12-02,14:16:27.701480,1764681387.70148,s,26.519446,s,67.0,°C
2025-12-02,14:16:27.952459,1764681387.952459,s,26.770425,s,67.0,°C
2025-12-02,14:16:28.201771,1764681388.201771,s,27.019737,s,67.0,°C
2025-12-02,14:16:28.452904,1764681388.452904,s,27.27087,s,67.0,°C
2025-12-02,14:16:28.701998,1764681388.701998,s,27.519964,s,67.0,°C
2025-12-02,14:16:28.953372,1764681388.953372,s,27.771338,s,67.0,°C
2025-12-02,14:16:29.202427,1764681389.202427,s,28.020393,s,67.0,°C
2025-12-02,14:16:29.453830,1764681389.45383,s,28.271796,s,67.0,°C
2025-12-02,14:16:29.702877,1764681389.702877,s,28.520843,s,67.0,°C
2025-12-02,14:16:29.954284,1764681389.954284,s,28.77225,s,67.0,°C
2025-12-02,14:16:30.203141,1764681390.203141,s,29.021107,s,67.0,°C
2025-12-02,14:16:30.454523,1764681390.454523,s,29.272489,s,67.0,°C
2025-12-02,14:16:30.703564,1764681390.703564,s,29.52153,s,67.0,°C
2025-12-02,14:16:30.954853,1764681390.954853,s,29.772819,s,67.0,°C
2025-12-02,14:16:31.203920,1764681391.20392,s,30.021886,s,67.0,°C
2025-12-02,14:16:31.455162,1764681391.455162,s,30.273128,s,67.0,°C
2025-12-02,14:16:31.704441,1764681391.704441,s,30.522407,s,67.0,°C
2025-12-02,14:16:31.955445,1764681391.955445,s,30.773411,s,67.0,°C
2025-12-02,14:16:32.204895,1764681392.204895,s,31.022861,s,67.0,°C
2025-12-02,14:16:32.455654,1764681392.455654,s,31.27362,s,67.0,°C
2025-12-02,14:16:32.705346,1764681392.705346,s,31.523312,s,67.0,°C
2025-12-02,14:16:32.955907,1764681392.955907,s,31.773873,s,67.0,°C
2025-12-02,14:16:33.205676,1764681393.205676,s,32.023642,s,67.0,°C
2025-12-02,14:16:33.456217,1764681393.456217,s,32.274183,s,67.0,°C
2025-12-02,14:16:33.706145,1764681393.706145,s,32.524111,s,67.0,°C
2025-12-02,14:16:33.956508,1764681393.956508,s,32.774474,s,67.0,°C
2025-12-02,14:16:34.206481,1764681394.206481,s,33.024447,s,67.0,°C
2025-12-02,14:16:34.456928,1764681394.456928,s,33.274894,s,67.0,°C
2025-12-02,14:16:34.706709,1764681394.706709,s,33.524675,s,67.0,°C
2025-12-02,14:16:34.957349,1764681394.957349,s,33.775315,s,67.0,°C
2025-12-02,14:16:35.206966,1764681395.206966,s,34.024932,s,67.0,°C
2025-12-02,14:16:35.457830,1764681395.45783,s,34.275796,s,67.0,°C
2025-12-02,14:16:35.707281,1764681395.707281,s,34.525247,s,67.0,°C
2025-12-02,14:16:35.958294,1764681395.958294,s,34.77626,s,67.0,°C
2025-12-02,14:16:36.207611,1764681396.207611,s,35.025577,s,67.0,°C
2025-12-02,14:16:36.458761,1764681396.458761,s,35.276727,s,67.0,°C
2025-12-02,14:16:36.707918,1764681396.707918,s,35.525884,s,67.0,°C
2025-12-02,14:16:36.959261,1764681396.959261,s,35.777227,s,67.0,°C
2025-12-02,14:16:37.208148,1764681397.208148,s,36.026114,s,67.0,°C
2025-12-02,14:16:37.459725,1764681397.459725,s,36.277691,s,67.0,°C
2025-12-02,14:16:37.708460,1764681397.70846,s,36.526426,s,67.0,°C
2025-12-02,14:16:37.960003,1764681397.960003,s,36.777969,s,67.0,°C
2025-12-02,14:16:38.208689,1764681398.208689,s,37.026655,s,67.0,°C
2025-12-02,14:16:38.460522,1764681398.460522,s,37.278488,s,67.0,°C
