Date,Time,Time since 1970-01-01T00:00:00Z,,t,,T,
2025-12-02,13:57:36.575560,1764680256.57556,s,4e-06,s,23.0,°C
2025-12-02,13:58:06.576159,1764680286.576159,s,30.000603,s,23.0,°C
2025-12-02,13:58:36.575925,1764680316.575925,s,60.000369,s,23.0,°C
2025-12-02,13:59:06.576617,1764680346.576617,s,90.001061,s,23.0,°C
2025-12-02,13:59:36.576345,1764680376.576345,s,120.000789,s,23.0,°C
2025-12-02,14:00:06.577072,1764680406.577072,s,150.001516,s,22.0,°C
2025-12-02,14:00:36.576774,1764680436.576774,s,180.001218,s,23.0,°C
2025-12-02,14:01:06.577460,1764680466.57746,s,210.001904,s,24.0,°C
2025-12-02,14:01:36.577210,1764680496.57721,s,240.001654,s,24.0,°C
2025-12-02,14:02:06.577883,1764680526.577883,s,270.002327,s,24.0,°C
2025-12-02,14:02:36.577605,1764680556.577605,s,300.002049,s,24.0,°C
2025-12-02,14:03:06.578379,1764680586.578379,s,330.002823,s,25.0,°C
2025-12-02,14:03:36.578011,1764680616.578011,s,360.002455,s,25.0,°C
2025-12-02,14:04:06.578863,1764680646.578863,s,390.003307,s,27.0,°C
2025-12-02,14:04:36.578466,1764680676.578466,s,420.00291,s,27.0,°C
2025-12-02,14:05:06.579348,1764680706.579348,s,450.003792,s,27.0,°C
2025-12-02,14:05:36.578890,1764680736.57889,s,480.003334,s,30.0,°C
2025-12-02,14:06:06.579725,1764680766.579725,s,510.004169,s,30.0,°C
2025-12-02,14:06:36.579324,1764680796.579324,s,540.003768,s,31.0,°C
2025-12-02,14:07:06.580229,1764680826.580229,s,570.004673,s,32.0,°C
2025-12-02,14:07:36.579793,1764680856.579793,s,600.004237,s,32.0,°C
2025-12-02,14:08:06.580698,1764680886.580698,s,630.005142,s,33.0,°C
2025-12-02,14:08:36.580051,1764680916.580051,s,660.004495,s,34.0,°C
2025-12-02,14:09:06.581200,1764680946.5812,s,690.005644,s,34.0,°C
2025-12-02,14:09:36.580514,1764680976.580514,s,720.004958,s,35.0,°C
2025-12-02,14:10:06.581656,1764681006.581656,s,750.0061,s,36.0,°C
2025-12-02,14:10:36.580995,1764681036.580995,s,780.005439,s,36.0,°C
2025-12-02,14:11:06.582145,1764681066.582145,s,810.006589,s,37.0,°C
2025-12-02,14:11:36.581381,1764681096.581381,s,840.005825,s,37.0,°C
2025-12-02,14:12:06.582577,1764681126.582577,s,870.007021,s,37.0,°C
2025-12-02,14:12:36.581737,1764681156.581737,s,900.006181,s,37.0,°C
2025-12-02,14:13:06.582987,1764681186.582987,s,930.007431,s,37.0,°C
2025-12-02,14:13:36.582207,1764681216.582207,s,960.006651,s,37.0,°C
2025-12-02,14:14:06.583344,1764681246.583344,s,990.007788,s,37.0,°C
