Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-12-09,14:10:32.767950,1765285832.76795,s,6e-06,s,73.0,°C
2025-12-09,14:10:33.018615,1765285833.018615,s,0.250671,s,73.0,°C
2025-12-09,14:10:33.268635,1765285833.268635,s,0.500691,s,73.0,°C
2025-12-09,14:10:33.519172,1765285833.519172,s,0.751228,s,73.0,°C
2025-12-09,14:10:33.769005,1765285833.769005,s,1.001061,s,73.0,°C
2025-12-09,14:10:34.019691,1765285834.019691,s,1.251747,s,73.0,°C
2025-12-09,14:10:34.269339,1765285834.269339,s,1.501395,s,73.0,°C
2025-12-09,14:10:34.520087,1765285834.520087,s,1.752143,s,73.0,°C
2025-12-09,14:10:34.769710,1765285834.76971,s,2.001766,s,73.0,°C
2025-12-09,14:10:35.020610,1765285835.02061,s,2.252666,s,73.0,°C
2025-12-09,14:10:35.270055,1765285835.270055,s,2.502111,s,73.0,°C
2025-12-09,14:10:35.520966,1765285835.520966,s,2.753022,s,73.0,°C
2025-12-09,14:10:35.770314,1765285835.770314,s,3.00237,s,73.0,°C
2025-12-09,14:10:36.021426,1765285836.021426,s,3.253482,s,73.0,°C
2025-12-09,14:10:36.270657,1765285836.270657,s,3.502713,s,73.0,°C
2025-12-09,14:10:36.521969,1765285836.521969,s,3.754025,s,73.0,°C
2025-12-09,14:10:36.770905,1765285836.770905,s,4.002961,s,73.0,°C
2025-12-09,14:10:37.022468,1765285837.022468,s,4.254524,s,73.0,°C
2025-12-09,14:10:37.271149,1765285837.271149,s,4.503205,s,73.0,°C
2025-12-09,14:10:37.523006,1765285837.523006,s,4.755062,s,73.0,°C
2025-12-09,14:10:37.771648,1765285837.771648,s,5.003704,s,73.0,°C
2025-12-09,14:10:38.023278,1765285838.023278,s,5.255334,s,73.0,°C
2025-12-09,14:10:38.272159,1765285838.272159,s,5.504215,s,73.0,°C
2025-12-09,14:10:38.523780,1765285838.52378,s,5.755836,s,73.0,°C
2025-12-09,14:10:38.772418,1765285838.772418,s,6.004474,s,73.0,°C
2025-12-09,14:10:39.024180,1765285839.02418,s,6.256236,s,73.0,°C
2025-12-09,14:10:39.272957,1765285839.272957,s,6.505013,s,73.0,°C
2025-12-09,14:10:39.524463,1765285839.524463,s,6.756519,s,73.0,°C
