Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,temp,
2025-12-12,10:27:39.626495,1765531659.626495,s,3e-06,s,72.0,°C
2025-12-12,10:27:39.877069,1765531659.877069,s,0.250577,s,72.0,°C
2025-12-12,10:27:40.127080,1765531660.12708,s,0.500588,s,72.0,°C
2025-12-12,10:27:40.377599,1765531660.377599,s,0.751107,s,72.0,°C
2025-12-12,10:27:40.627514,1765531660.627514,s,1.001022,s,72.0,°C
2025-12-12,10:27:40.878111,1765531660.878111,s,1.251619,s,72.0,°C
2025-12-12,10:27:41.127721,1765531661.127721,s,1.501229,s,72.0,°C
2025-12-12,10:27:41.378398,1765531661.378398,s,1.751906,s,72.0,°C
2025-12-12,10:27:41.627992,1765531661.627992,s,2.0015,s,72.0,°C
2025-12-12,10:27:41.878712,1765531661.878712,s,2.25222,s,72.0,°C
2025-12-12,10:27:42.128423,1765531662.128423,s,2.501931,s,72.0,°C
2025-12-12,10:27:42.378959,1765531662.378959,s,2.752467,s,72.0,°C
2025-12-12,10:27:42.628823,1765531662.628823,s,3.002331,s,72.0,°C
2025-12-12,10:27:42.879302,1765531662.879302,s,3.25281,s,72.0,°C
2025-12-12,10:27:43.129143,1765531663.129143,s,3.502651,s,72.0,°C
2025-12-12,10:27:43.379810,1765531663.37981,s,3.753318,s,72.0,°C
2025-12-12,10:27:43.629467,1765531663.629467,s,4.002975,s,72.0,°C
2025-12-12,10:27:43.880322,1765531663.880322,s,4.25383,s,72.0,°C
2025-12-12,10:27:44.129799,1765531664.129799,s,4.503307,s,72.0,°C
2025-12-12,10:27:44.380842,1765531664.380842,s,4.75435,s,72.0,°C
2025-12-12,10:27:44.630041,1765531664.630041,s,5.003549,s,72.0,°C
2025-12-12,10:27:44.881315,1765531664.881315,s,5.254823,s,72.0,°C
2025-12-12,10:27:45.130292,1765531665.130292,s,5.5038,s,72.0,°C
2025-12-12,10:27:45.381810,1765531665.38181,s,5.755318,s,72.0,°C
2025-12-12,10:27:45.630662,1765531665.630662,s,6.00417,s,72.0,°C
2025-12-12,10:27:45.882291,1765531665.882291,s,6.255799,s,72.0,°C
2025-12-12,10:27:46.130944,1765531666.130944,s,6.504452,s,72.0,°C
2025-12-12,10:27:46.382773,1765531666.382773,s,6.756281,s,72.0,°C
2025-12-12,10:27:46.631190,1765531666.63119,s,7.004698,s,72.0,°C
2025-12-12,10:27:46.883227,1765531666.883227,s,7.256735,s,72.0,°C
2025-12-12,10:27:47.131528,1765531667.131528,s,7.505036,s,72.0,°C
2025-12-12,10:27:47.383665,1765531667.383665,s,7.757173,s,72.0,°C
2025-12-12,10:27:47.631808,1765531667.631808,s,8.005316,s,72.0,°C
2025-12-12,10:27:47.884093,1765531667.884093,s,8.257601,s,72.0,°C
2025-12-12,10:27:48.132295,1765531668.132295,s,8.505803,s,72.0,°C
2025-12-12,10:27:48.384512,1765531668.384512,s,8.75802,s,72.0,°C
2025-12-12,10:27:48.632810,1765531668.63281,s,9.006318,s,72.0,°C
2025-12-12,10:27:48.884809,1765531668.884809,s,9.258317,s,72.0,°C
2025-12-12,10:27:49.133307,1765531669.133307,s,9.506815,s,72.0,°C
2025-12-12,10:27:49.385033,1765531669.385033,s,9.758541,s,72.0,°C
2025-12-12,10:27:49.633793,1765531669.633793,s,10.007301,s,72.0,°C
2025-12-12,10:27:49.885329,1765531669.885329,s,10.258837,s,72.0,°C
2025-12-12,10:27:50.134289,1765531670.134289,s,10.507797,s,72.0,°C
2025-12-12,10:27:50.385644,1765531670.385644,s,10.759152,s,72.0,°C
2025-12-12,10:27:50.634726,1765531670.634726,s,11.008234,s,72.0,°C
2025-12-12,10:27:50.886107,1765531670.886107,s,11.259615,s,72.0,°C
2025-12-12,10:27:51.135159,1765531671.135159,s,11.508667,s,72.0,°C
2025-12-12,10:27:51.386596,1765531671.386596,s,11.760104,s,72.0,°C
2025-12-12,10:27:51.635478,1765531671.635478,s,12.008986,s,72.0,°C
2025-12-12,10:27:51.887162,1765531671.887162,s,12.26067,s,72.0,°C
2025-12-12,10:27:52.135887,1765531672.135887,s,12.509395,s,72.0,°C
2025-12-12,10:27:52.387707,1765531672.387707,s,12.761215,s,72.0,°C
2025-12-12,10:27:52.636297,1765531672.636297,s,13.009805,s,72.0,°C
2025-12-12,10:27:52.888136,1765531672.888136,s,13.261644,s,72.0,°C
2025-12-12,10:27:53.136736,1765531673.136736,s,13.510244,s,72.0,°C
2025-12-12,10:27:53.388484,1765531673.388484,s,13.761992,s,72.0,°C
2025-12-12,10:27:53.637069,1765531673.637069,s,14.010577,s,72.0,°C
2025-12-12,10:27:53.889007,1765531673.889007,s,14.262515,s,72.0,°C
2025-12-12,10:27:54.137381,1765531674.137381,s,14.510889,s,72.0,°C
2025-12-12,10:27:54.389364,1765531674.389364,s,14.762872,s,72.0,°C
2025-12-12,10:27:54.637648,1765531674.637648,s,15.011156,s,72.0,°C
2025-12-12,10:27:54.889810,1765531674.88981,s,15.263318,s,72.0,°C
2025-12-12,10:27:55.137875,1765531675.137875,s,15.511383,s,72.0,°C
2025-12-12,10:27:55.390253,1765531675.390253,s,15.763761,s,71.0,°C
2025-12-12,10:27:55.638216,1765531675.638216,s,16.011724,s,71.0,°C
2025-12-12,10:27:55.890749,1765531675.890749,s,16.264257,s,71.0,°C
2025-12-12,10:27:56.138590,1765531676.13859,s,16.512098,s,71.0,°C
2025-12-12,10:27:56.391281,1765531676.391281,s,16.764789,s,71.0,°C
2025-12-12,10:27:56.638796,1765531676.638796,s,17.012304,s,72.0,°C
2025-12-12,10:27:56.891769,1765531676.891769,s,17.265277,s,72.0,°C
2025-12-12,10:27:57.139102,1765531677.139102,s,17.51261,s,72.0,°C
2025-12-12,10:27:57.392262,1765531677.392262,s,17.76577,s,72.0,°C
2025-12-12,10:27:57.639399,1765531677.639399,s,18.012907,s,72.0,°C
2025-12-12,10:27:57.892790,1765531677.89279,s,18.266298,s,72.0,°C
2025-12-12,10:27:58.139884,1765531678.139884,s,18.513392,s,72.0,°C
2025-12-12,10:27:58.393284,1765531678.393284,s,18.766792,s,72.0,°C
2025-12-12,10:27:58.640396,1765531678.640396,s,19.013904,s,72.0,°C
2025-12-12,10:27:58.893633,1765531678.893633,s,19.267141,s,72.0,°C
2025-12-12,10:27:59.140932,1765531679.140932,s,19.51444,s,72.0,°C
2025-12-12,10:27:59.394060,1765531679.39406,s,19.767568,s,72.0,°C
2025-12-12,10:27:59.641442,1765531679.641442,s,20.01495,s,72.0,°C
2025-12-12,10:27:59.894494,1765531679.894494,s,20.268002,s,72.0,°C
2025-12-12,10:28:00.141835,1765531680.141835,s,20.515343,s,72.0,°C
2025-12-12,10:28:00.394927,1765531680.394927,s,20.768435,s,72.0,°C
2025-12-12,10:28:00.642097,1765531680.642097,s,21.015605,s,72.0,°C
2025-12-12,10:28:00.895375,1765531680.895375,s,21.268883,s,72.0,°C
2025-12-12,10:28:01.142490,1765531681.14249,s,21.515998,s,72.0,°C
2025-12-12,10:28:01.395716,1765531681.395716,s,21.769224,s,72.0,°C
2025-12-12,10:28:01.642938,1765531681.642938,s,22.016446,s,72.0,°C
2025-12-12,10:28:01.895968,1765531681.895968,s,22.269476,s,72.0,°C
2025-12-12,10:28:02.143415,1765531682.143415,s,22.516923,s,72.0,°C
2025-12-12,10:28:02.396305,1765531682.396305,s,22.769813,s,72.0,°C
2025-12-12,10:28:02.643803,1765531682.643803,s,23.017311,s,72.0,°C
2025-12-12,10:28:02.896640,1765531682.89664,s,23.270148,s,72.0,°C
2025-12-12,10:28:03.144311,1765531683.144311,s,23.517819,s,72.0,°C
2025-12-12,10:28:03.396882,1765531683.396882,s,23.77039,s,72.0,°C
2025-12-12,10:28:03.644700,1765531683.6447,s,24.018208,s,72.0,°C
2025-12-12,10:28:03.897210,1765531683.89721,s,24.270718,s,72.0,°C
2025-12-12,10:28:04.144938,1765531684.144938,s,24.518446,s,72.0,°C
