t,x_center,x_v,y_v
0.0,-0.001404,-0.05471,0.02047
0.1,-0.03051,-0.08474,0.01465
0.2,-0.05911,-0.114,0.009479
0.3,-0.08656,-0.142,0.003831
0.4,-0.113,-0.168,-0.002375
0.5,-0.14,-0.192,-0.008665
0.6,-0.165,-0.217,-0.01331
0.7,-0.17,-0.232,-0.01886
0.8,-0.19,-0.261,-0.02467
0.9,-0.215,-0.281,-0.03001
1.0,-0.238,-0.3,-0.03472
1.1,-0.261,-0.319,-0.03858
1.2,-0.284,-0.336,-0.04207
1.3,-0.306,-0.354,-0.04532
1.4,-0.328,-0.371,-0.04772
1.5,-0.35,-0.387,-0.04983
1.6,-0.372,-0.403,-0.05103
1.7,-0.394,-0.418,-0.0513
1.8,-0.416,-0.434,-0.05112
1.9,-0.438,-0.449,-0.04985
