t	xa	ya	va	pa	xb	yb	vb	pb	
0,000	0,475	0,114			5,067E-2	0,118		
0,017	0,473	0,117	0,220	0,220	5,322E-2	0,121	0,217	0,217
0,033	0,470	0,120	0,220	0,220	5,575E-2	0,123	0,216	0,216
0,050	0,468	0,123	0,235	0,235	5,826E-2	0,126	0,216	0,216
0,067	0,465	0,125	0,236	0,236	6,086E-2	0,128	0,216	0,216
0,083	0,463	0,128	0,222	0,222	6,340E-2	0,131	0,215	0,215
0,100	0,460	0,131	0,220	0,220	6,588E-2	0,133	0,202	0,202
0,117	0,458	0,134	0,220	0,220	6,843E-2	0,135	0,199	0,199
0,133	0,456	0,137	0,221	0,221	7,078E-2	0,138	0,211	0,211
0,150	0,453	0,140	0,236	0,236	7,321E-2	0,141	0,214	0,214
0,167	0,450	0,142	0,237	0,237	7,569E-2	0,143	0,215	0,215
0,183	0,448	0,145	0,223	0,223	7,820E-2	0,146	0,216	0,216
0,200	0,446	0,148	0,220	0,220	8,076E-2	0,148	0,217	0,217
0,217	0,443	0,151	0,220	0,220	8,329E-2	0,151	0,217	0,217
0,233	0,441	0,154	0,219	0,219	8,591E-2	0,153	0,217	0,217
0,250	0,438	0,157	0,220	0,220	8,849E-2	0,156	0,237	0,237
0,267	0,436	0,159	0,234	0,234	9,195E-2	0,158	0,239	0,239
0,283	0,433	0,162	0,235	0,235	9,442E-2	0,161	0,221	0,221
0,300	0,431	0,165	0,223	0,223	9,694E-2	0,164	0,218	0,218
0,317	0,428	0,168	0,220	0,220	9,945E-2	0,166	0,217	0,217
0,333	0,426	0,171	0,219	0,219	0,102	0,169	0,218	0,218
0,350	0,424	0,174	0,219	0,219	0,105	0,172	0,217	0,217
0,367	0,421	0,176	0,219	0,219	0,107	0,174	0,217	0,217
0,383	0,419	0,179	0,219	0,219	0,110	0,177	0,218	0,218
0,400	0,416	0,182	0,233	0,233	0,112	0,179	0,218	0,218
0,417	0,413	0,185	0,237	0,237	0,115	0,182	0,217	0,217
0,433	0,411	0,188	0,224	0,224	0,118	0,184	0,218	0,218
0,450	0,409	0,190	0,219	0,219	0,120	0,187	0,218	0,218
0,467	0,406	0,193	0,219	0,219	0,123	0,189	0,215	0,215
0,483	0,404	0,196	0,218	0,218	0,125	0,192	0,216	0,216
0,500	0,402	0,199	0,218	0,218	0,128	0,194	0,217	0,217
0,517	0,399	0,201	0,220	0,220	0,131	0,196	0,217	0,217
0,533	0,397	0,204	0,217	0,217	0,133	0,199	0,217	0,217
0,550	0,394	0,207	0,216	0,216	0,136	0,201	0,218	0,218
0,567	0,392	0,209	0,219	0,219	0,139	0,204	0,217	0,217
0,583	0,389	0,212	0,220	0,220	0,141	0,206	0,216	0,216
0,600	0,387	0,215	0,218	0,218	0,144	0,209	0,217	0,217
0,617	0,384	0,217	0,218	0,218	0,147	0,211	0,217	0,217
0,633	0,382	0,220	0,217	0,217	0,149	0,214	0,216	0,216
0,650	0,379	0,223	0,214	0,214	0,152	0,216	0,217	0,217
0,667	0,377	0,225	0,217	0,217	0,155	0,219	0,217	0,217
0,683	0,374	0,228	0,218	0,218	0,157	0,221	0,216	0,216
0,700	0,372	0,230	0,215	0,215	0,160	0,224	0,216	0,216
0,717	0,369	0,233	0,216	0,216	0,163	0,226	0,217	0,217
0,733	0,367	0,236	0,218	0,218	0,165	0,228	0,217	0,217
0,750	0,364	0,238	0,217	0,217	0,168	0,231	0,217	0,217
