t	xa	ya	vxa	vya	ωa	xb	yb	vxb	vyb	ωb	
0,000	9,057E-2	0,486				0,142	0,487			
0,017	9,166E-2	0,483	9,553E-2	-0,199	-15,3	0,143	0,482	8,972E-2	-0,320	-20,2
0,033	9,375E-2	0,479	9,509E-2	-0,204	-15,5	0,145	0,476	9,077E-2	-0,319	-20,7
0,050	9,483E-2	0,476	9,330E-2	-0,184	-15,1	0,146	0,471	8,326E-2	-0,317	-20,1
0,067	9,686E-2	0,473	9,404E-2	-0,180	-15,2	0,147	0,466	6,927E-2	-0,320	-19,1
0,083	9,797E-2	0,470	6,424E-2	-0,179	-11,8	0,148	0,460	6,274E-2	-0,321	-18,7
0,100	9,900E-2	0,467	8,860E-2	-0,200	-15,4	0,149	0,455	5,758E-2	-0,322	-18,6
0,117	0,101	0,464	9,347E-2	-0,198	-16,1	0,150	0,450	5,064E-2	-0,324	-18,2
0,133	0,102	0,461	9,626E-2	-0,183	-16,2	0,151	0,444	3,878E-2	-0,320	-17,0
0,150	0,104	0,458	9,172E-2	-0,183	-15,8	0,152	0,439	3,120E-2	-0,314	-16,3
0,167	0,105	0,455	5,986E-2	-0,180	-12,1	0,152	0,434	2,550E-2	-0,310	-15,8
0,183	0,106	0,452	8,983E-2	-0,175	-15,7	0,153	0,429	1,941E-2	-0,308	-15,3
0,200	0,108	0,449	8,434E-2	-0,176	-15,3	0,153	0,424	1,408E-2	-0,305	-14,8
0,217	0,109	0,446	8,773E-2	-0,206	-16,8	0,153	0,419	4,693E-3	-0,302	-13,9
0,233	0,111	0,442	9,925E-2	-0,207	-18,4	0,153	0,414	-5,070E-3	-0,301	-12,9
0,250	0,112	0,439	9,286E-2	-0,186	-17,2	0,153	0,409	-1,235E-2	-0,298	-12,2
0,267	0,114	0,436	8,472E-2	-0,189	-16,5	0,153	0,404	-1,694E-2	-0,296	-11,8
0,283	0,115	0,433	5,426E-2	-0,185	-12,8	0,152	0,399	-1,799E-2	-0,285	-11,4
0,300	0,116	0,430	8,679E-2	-0,195	-17,4	0,152	0,394	-1,704E-2	-0,276	-11,3
0,317	0,118	0,426	9,392E-2	-0,194	-18,4	0,152	0,390	-1,974E-2	-0,278	-11,3
0,333	0,119	0,423	9,782E-2	-0,180	-18,6	0,151	0,385	-1,962E-2	-0,272	-11,3
0,350	0,121	0,420	9,154E-2	-0,187	-18,3	0,151	0,380	-2,127E-2	-0,263	-10,8
0,367	0,122	0,417	5,892E-2	-0,183	-14,2	0,151	0,376	-3,459E-2	-0,259	-9,1
0,383	0,123	0,414	8,474E-2	-0,183	-17,7	0,150	0,372	-3,638E-2	-0,254	-8,7
0,400	0,125	0,411	8,082E-2	-0,189	-17,6	0,149	0,368	-3,320E-2	-0,246	-8,9
