t	xa	ya	va	ωa	xb	yb	vb	ωb	
0,000	9,057E-2	0,486			0,142	0,487		
0,017	9,166E-2	0,483	0,221	-15,3	0,143	0,482	0,332	-20,2
0,033	9,375E-2	0,479	0,225	-15,5	0,145	0,476	0,332	-20,7
0,050	9,483E-2	0,476	0,207	-15,1	0,146	0,471	0,328	-20,1
0,067	9,686E-2	0,473	0,203	-15,2	0,147	0,466	0,328	-19,1
0,083	9,797E-2	0,470	0,190	-11,8	0,148	0,460	0,327	-18,7
0,100	9,900E-2	0,467	0,219	-15,4	0,149	0,455	0,327	-18,6
0,117	0,101	0,464	0,219	-16,1	0,150	0,450	0,328	-18,2
0,133	0,102	0,461	0,207	-16,2	0,151	0,444	0,322	-17,0
0,150	0,104	0,458	0,204	-15,8	0,152	0,439	0,316	-16,3
0,167	0,105	0,455	0,190	-12,1	0,152	0,434	0,311	-15,8
0,183	0,106	0,452	0,196	-15,7	0,153	0,429	0,308	-15,3
0,200	0,108	0,449	0,195	-15,3	0,153	0,424	0,305	-14,8
0,217	0,109	0,446	0,224	-16,8	0,153	0,419	0,302	-13,9
0,233	0,111	0,442	0,229	-18,4	0,153	0,414	0,301	-12,9
0,250	0,112	0,439	0,208	-17,2	0,153	0,409	0,298	-12,2
0,267	0,114	0,436	0,207	-16,5	0,153	0,404	0,296	-11,8
0,283	0,115	0,433	0,193	-12,8	0,152	0,399	0,285	-11,4
0,300	0,116	0,430	0,213	-17,4	0,152	0,394	0,277	-11,3
0,317	0,118	0,426	0,215	-18,4	0,152	0,390	0,279	-11,3
0,333	0,119	0,423	0,205	-18,6	0,151	0,385	0,273	-11,3
0,350	0,121	0,420	0,208	-18,3	0,151	0,380	0,264	-10,8
0,367	0,122	0,417	0,192	-14,2	0,151	0,376	0,262	-9,1
0,383	0,123	0,414	0,202	-17,7	0,150	0,372	0,256	-8,7
0,400	0,125	0,411	0,205	-17,6	0,149	0,368	0,249	-8,9
0,417	0,126	0,408	0,191	-14,9	0,149	0,364	0,250	-7,9
0,433	0,127	0,405	0,210	-19,0	0,148	0,359	0,242	-7,0
0,450	0,129	0,401	0,215	-20,1	0,147	0,356	0,234	-6,4
0,467	0,130	0,398	0,206	-20,6	0,146	0,352	0,230	-6,2
0,483	0,132	0,395	0,208	-19,8	0,146	0,348	0,222	-6,0
0,500	0,133	0,392	0,197	-16,7	0,145	0,345	0,215	-5,6
0,517	0,134	0,389	0,200	-19,5	0,144	0,341	0,211	-5,2
0,533	0,136	0,386	0,201	-19,7	0,143	0,338	0,201	-4,9
0,550	0,137	0,383	0,191	-16,9	0,142	0,335	0,189	-3,8
0,567	0,138	0,380	0,208	-20,4	0,141	0,332	0,194	-3,2
0,583	0,140	0,377	0,212	-21,9	0,140	0,329	0,183	-3,2
0,600	0,141	0,374	0,194	-19,4	0,140	0,326	0,167	-2,5
0,617	0,142	0,371	0,201	-21,6	0,139	0,323	0,165	-1,8
0,633	0,144	0,368	0,201	-21,1	0,138	0,321	0,162	-1,4
0,650	0,145	0,365	0,193	-18,6	0,137	0,318	0,155	-2,0
0,667	0,146	0,362	0,209	-22,2	0,136	0,316	0,153	-2,2
0,683	0,148	0,358	0,211	-23,4	0,135	0,313	0,149	-3,5
0,700	0,149	0,355	0,207	-24,0	0,135	0,311	0,142	-3,9
0,717	0,151	0,352	0,207	-23,4	0,134	0,309	0,137	-1,2
0,733	0,152	0,349	0,195	-20,1	0,133	0,307	0,126	-1,9
0,750	0,154	0,346	0,200	-23,0	0,133	0,305	0,117	-3,2
0,767	0,155	0,343	0,203	-23,0	0,132	0,303	0,123	-2,5
0,783	0,156	0,340	0,195	-20,7	0,132	0,301	0,119	-3,1
0,800	0,157	0,337	0,209	-24,3	0,131	0,299	9,882E-2	-1,9
0,817	0,159	0,334	0,211	-25,6	0,131	0,298	8,819E-2	-2,4
0,833	0,161	0,331	0,198	-23,6	0,131	0,296	7,939E-2	-4,5
0,850	0,162	0,327	0,201	-24,9	0,130	0,295	7,354E-2	-5,0
0,867	0,163	0,325	0,200	-24,8	0,130	0,294	7,531E-2	-5,9
0,883	0,165	0,321	0,196	-23,2	0,131	0,293	7,344E-2	-6,1
