t	x	y	v	a	b	w	
0,000	9,057E-2	0,486		0,142	0,487	
0,017	9,166E-2	0,483	0,221	0,143	0,482	0,332
0,033	9,375E-2	0,479	0,225	0,145	0,476	0,332
0,050	9,483E-2	0,476	0,207	0,146	0,471	0,328
0,067	9,686E-2	0,473	0,203	0,147	0,466	0,328
0,083	9,797E-2	0,470	0,190	0,148	0,460	0,327
0,100	9,900E-2	0,467	0,219	0,149	0,455	0,327
0,117	0,101	0,464	0,219	0,150	0,450	0,328
0,133	0,102	0,461	0,207	0,151	0,444	0,322
0,150	0,104	0,458	0,204	0,152	0,439	0,316
0,167	0,105	0,455	0,190	0,152	0,434	0,311
0,183	0,106	0,452	0,196	0,153	0,429	0,308
0,200	0,108	0,449	0,195	0,153	0,424	0,305
0,217	0,109	0,446	0,224	0,153	0,419	0,302
0,233	0,111	0,442	0,229	0,153	0,414	0,301
0,250	0,112	0,439	0,208	0,153	0,409	0,298
0,267	0,114	0,436	0,207	0,153	0,404	0,296
0,283	0,115	0,433	0,193	0,152	0,399	0,285
0,300	0,116	0,430	0,213	0,152	0,394	0,277
0,317	0,118	0,426	0,215	0,152	0,390	0,279
0,333	0,119	0,423	0,205	0,151	0,385	0,273
0,350	0,121	0,420	0,208	0,151	0,380	0,264
0,367	0,122	0,417	0,192	0,151	0,376	0,262
0,383	0,123	0,414	0,202	0,150	0,372	0,256
0,400	0,125	0,411	0,205	0,149	0,368	0,249
0,417	0,126	0,408	0,191	0,149	0,364	0,250
0,433	0,127	0,405	0,210	0,148	0,359	0,242
0,450	0,129	0,401	0,215	0,147	0,356	0,234
0,467	0,130	0,398	0,206	0,146	0,352	0,230
0,483	0,132	0,395	0,208	0,146	0,348	0,222
0,500	0,133	0,392	0,197	0,145	0,345	0,215
0,517	0,134	0,389	0,200	0,144	0,341	0,211
0,533	0,136	0,386	0,201	0,143	0,338	0,201
0,550	0,137	0,383	0,191	0,142	0,335	0,189
0,567	0,138	0,380	0,208	0,141	0,332	0,194
0,583	0,140	0,377	0,212	0,140	0,329	0,183
0,600	0,141	0,374	0,194	0,140	0,326	0,167
0,617	0,142	0,371	0,201	0,139	0,323	0,165
0,633	0,144	0,368	0,201	0,138	0,321	0,162
0,650	0,145	0,365	0,193	0,137	0,318	0,155
0,667	0,146	0,362	0,209	0,136	0,316	0,153
0,683	0,148	0,358	0,211	0,135	0,313	0,149
0,700	0,149	0,355	0,207	0,135	0,311	0,142
0,717	0,151	0,352	0,207	0,134	0,309	0,137
0,733	0,152	0,349	0,195	0,133	0,307	0,126
0,750	0,154	0,346	0,200	0,133	0,305	0,117
0,767	0,155	0,343	0,203	0,132	0,303	0,123
0,783	0,156	0,340	0,195	0,132	0,301	0,119
0,800	0,157	0,337	0,209	0,131	0,299	9,882E-2
0,817	0,159	0,334	0,211	0,131	0,298	8,819E-2
0,833	0,161	0,331	0,198	0,131	0,296	7,939E-2
0,850	0,162	0,327	0,201	0,130	0,295	7,354E-2
0,867	0,163	0,325	0,200	0,130	0,294	7,531E-2
0,883	0,165	0,321	0,196	0,131	0,293	7,344E-2
0,900	0,166	0,318	0,200	0,131	0,291	7,207E-2
0,917	0,167	0,315	0,197	0,131	0,290	7,095E-2
0,933	0,168	0,312	0,212	0,131	0,289	7,038E-2
0,950	0,170	0,309	0,214	0,131	0,288	7,016E-2
0,967	0,171	0,306	0,196	0,131	0,287	6,948E-2
0,983	0,173	0,303	0,202	0,131	0,286	7,251E-2
1,000	0,174	0,300	0,202	0,132	0,284	6,884E-2
1,017	0,175	0,297	0,197	0,133	0,284	6,418E-2
1,033	0,177	0,294	0,201	0,133	0,283	7,150E-2
1,050	0,178	0,291	0,199	0,134	0,282	8,037E-2
1,067	0,179	0,288	0,193	0,135	0,281	8,274E-2
1,083	0,180	0,285	0,205	0,136	0,280	7,639E-2
1,100	0,182	0,281	0,210	0,137	0,279	8,394E-2
1,117	0,183	0,278	0,206	0,138	0,278	9,074E-2
1,133	0,185	0,275	0,207	0,140	0,277	9,316E-2
1,150	0,186	0,272	0,197	0,141	0,277	9,663E-2
1,167	0,188	0,269	0,202	0,142	0,276	9,826E-2
1,183	0,189	0,266	0,202	0,144	0,275	0,111
1,200	0,190	0,263	0,193	0,146	0,274	0,120
1,217	0,191	0,260	0,208	0,147	0,273	0,125
1,233	0,193	0,257	0,210	0,149	0,272	0,132
1,250	0,194	0,254	0,196	0,151	0,271	0,132
1,267	0,196	0,251	0,203	0,153	0,271	0,143
1,283	0,197	0,247	0,201	0,156	0,269	0,156
1,300	0,199	0,245	0,191	0,158	0,268	0,160
1,317	0,200	0,242	0,206	0,161	0,267	0,168
1,333	0,201	0,238	0,202	0,163	0,266	0,175
1,350	0,202	0,235	0,185	0,166	0,265	0,178
1,367	0,204	0,233	0,205	0,169	0,264	0,181
1,383	0,205	0,229	0,212	0,171	0,262	0,183
1,400	0,207	0,226	0,199	0,174	0,261	0,186
1,417	0,208	0,223	0,197	0,177	0,259	0,189
1,433	0,209	0,220	0,198	0,180	0,258	0,201
1,450	0,211	0,217	0,193	0,183	0,256	0,206
1,467	0,212	0,214	0,204	0,186	0,255	0,204
1,483	0,213	0,211	0,211	0,189	0,253	0,213
1,500	0,215	0,208	0,200	0,192	0,251	0,221
1,517	0,216	0,205	0,202	0,195	0,249	0,223
1,533	0,218	0,202	0,199	0,198	0,247	0,229
1,550	0,219	0,199	0,193	0,202	0,245	0,234
1,567	0,220	0,196	0,196	0,205	0,243	0,242
1,583	0,222	0,193	0,198	0,208	0,241	0,249
1,600	0,223	0,190	0,197	0,212	0,238	0,258
1,617	0,224	0,187	0,198	0,215	0,236	0,263
1,633	0,225	0,184	0,196	0,219	0,233	0,261
1,650	0,226	0,181	0,193	0,222	0,230	0,265
1,667	0,228	0,178	0,195	0,225	0,227	0,274
1,683	0,229	0,175	0,198	0,229	0,224	0,273
1,700	0,230	0,172	0,195	0,232	0,222	0,266
1,717	0,231	0,169	0,195	0,236	0,218	0,271
1,733	0,233	0,166	0,197	0,239	0,215	0,279
1,750	0,234	0,163	0,194	0,243	0,212	0,283
1,767	0,235	0,160	0,192	0,246	0,209	0,287
1,783	0,236	0,157	0,189	0,249	0,205	0,292
1,800	0,237	0,154	0,193	0,253	0,202	0,296
1,817	0,239	0,151	0,198	0,256	0,198	0,300
1,833	0,240	0,148	0,186	0,259	0,194	0,307
1,850	0,241	0,145	0,182	0,263	0,190	0,312
1,867	0,242	0,142	0,192	0,266	0,186	0,311
1,883	0,243	0,139	0,192	0,269	0,182	0,311
1,900	0,244	0,136	0,182	0,272	0,178	0,306
1,917	0,246	0,133	0,177	0,275	0,174	0,307
1,933	0,247	0,131	0,175	0,278	0,170	0,307
1,950	0,248	0,128	0,181	0,281	0,166	0,303
1,967	0,249	0,125	0,191	0,284	0,162	0,313
1,983	0,250	0,122	0,192	0,287	0,157	0,314
2,000	0,252	0,119	0,185	0,289	0,153	0,308
2,017	0,253	0,116	0,183	0,292	0,148	0,310
2,033	0,254	0,114	0,179	0,294	0,144	0,310
2,050	0,255	0,111	0,179	0,297	0,139	0,312
2,067	0,257	0,108	0,188	0,299	0,134	0,311
2,083	0,258	0,105	0,186	0,301	0,130	0,314
2,100	0,259	0,102	0,182	0,304	0,125	0,312
