d,t
0.000000,27.216406
1.567651,27.216406
1.567651,27.186501
2.533577,27.186501
2.533577,26.990213
3.519154,26.990213
3.519154,27.027060
4.511522,27.027060
4.511522,27.034872
5.507010,27.034872
5.507010,26.667089
6.504187,26.667089
6.504187,26.692228
7.502378,26.692228
7.502378,26.496901
8.501227,26.496901
8.501227,26.528492
9.500526,26.528492
9.500526,26.398676
10.500147,26.398676
10.500147,26.479345
11.500005,26.479345
11.500005,26.453516
12.500044,26.453516
12.500044,26.031668
13.500224,26.031668
13.500224,26.190979
14.500515,26.190979
14.500515,25.963434
15.500896,25.963434
15.500896,26.081501
16.501350,26.081501
16.501350,26.039015
17.501866,26.039015
17.501866,25.726351
18.502432,25.726351
18.502432,25.742487
19.503042,25.742487
19.503042,25.639633
20.503688,25.639633
20.503688,25.577593
21.504366,25.577593
21.504366,25.321329
22.505072,25.321329
22.505072,25.377794
23.005434,25.377794
23.005434,25.194246
23.505802,25.194246
23.505802,25.376446
24.506552,25.376446
24.506552,25.062672
25.507322,25.062672
25.507322,25.050390
26.508107,25.050390
26.508107,24.795273
27.508908,24.795273
27.508908,24.783136
28.509721,24.783136
28.509721,24.702518
29.510546,24.702518
29.510546,24.719740
30.511382,24.719740
30.511382,24.593744
31.512228,24.593744
31.512228,24.594852
32.513082,24.594852
32.513082,24.431883
33.513944,24.431883
33.513944,24.579920
34.514813,24.579920
34.514813,24.103174
35.515689,24.103174
35.515689,24.180656
36.516572,24.180656
36.516572,24.145180
37.517459,24.145180
37.517459,23.838573
38.518352,23.838573
38.518352,23.798100
39.519250,23.798100
39.519250,23.697235
40.520152,23.697235
40.520152,23.714310
41.521058,23.714310
41.521058,23.473440
42.521968,23.473440
42.521968,23.731375
43.522882,23.731375
43.522882,23.393715
44.523799,23.393715
44.523799,23.518803
45.524719,23.518803
45.524719,23.207169
45.524719,23.207169
45.524719,23.517389
45.044423,23.517389
