d,t
0.000000,27.378468
0.707107,27.378468
0.707107,27.410168
1.581139,27.410168
1.581139,27.426752
2.549510,27.426752
2.549510,27.453314
3.535534,27.453314
3.535534,27.345552
4.527693,27.345552
4.527693,27.390314
5.522681,27.390314
5.522681,27.496927
6.519202,27.496927
6.519202,27.390299
7.516648,27.390299
7.516648,27.557600
8.514693,27.557600
8.514693,27.535408
9.513149,27.535408
9.513149,27.586901
10.511898,27.586901
10.511898,27.597013
11.510864,27.597013
11.510864,27.493269
12.509996,27.493269
12.509996,27.549145
13.509256,27.549145
13.509256,27.698740
14.508618,27.698740
14.508618,27.691053
15.508062,27.691053
15.508062,27.795891
16.507574,27.795891
16.507574,27.753462
17.507141,27.753462
17.507141,27.869761
18.506756,27.869761
18.506756,27.735939
19.506409,27.735939
19.506409,28.008110
20.506097,28.008110
20.506097,27.725424
21.505813,27.725424
21.505813,28.102095
22.505555,28.102095
22.505555,28.030039
23.505319,28.030039
23.505319,28.134298
24.505102,28.134298
24.505102,27.968988
25.504901,27.968988
25.504901,27.947519
26.504717,27.947519
26.504717,27.964869
27.504545,27.964869
27.504545,28.047039
28.504386,28.047039
28.504386,28.326866
29.504237,28.326866
29.504237,28.208323
30.504098,28.208323
30.504098,28.209635
31.503968,28.209635
31.503968,28.155935
32.503846,28.155935
32.503846,28.226278
33.503731,28.226278
33.503731,28.261875
34.503623,28.261875
34.503623,28.325705
35.503521,28.325705
35.503521,28.412176
36.503424,28.412176
36.503424,28.379484
37.503333,28.379484
37.503333,28.455891
38.503247,28.455891
38.503247,28.656910
39.503164,28.656910
39.503164,28.642094
40.503086,28.642094
40.503086,28.377041
41.503012,28.377041
41.503012,28.576956
42.502941,28.576956
42.502941,28.644558
43.502873,28.644558
43.502873,28.702326
44.502809,28.702326
44.502809,28.658625
45.502747,28.658625
45.502747,28.665979
46.502688,28.665979
46.502688,28.785332
47.502632,28.785332
47.502632,28.810268
48.502577,28.810268
48.502577,28.722242
49.502525,28.722242
49.502525,28.700483
50.502475,28.700483
50.502475,28.799686
51.502427,28.799686
51.502427,28.970266
52.502381,28.970266
52.502381,28.920790
53.502336,28.920790
53.502336,28.955364
54.502294,28.955364
54.502294,29.022678
55.502252,29.022678
55.502252,29.097252
56.502212,29.097252
56.502212,29.134865
57.502174,29.134865
57.502174,29.173059
58.502137,29.173059
58.502137,29.061436
59.502101,29.061436
59.502101,29.219841
60.502066,29.219841
60.502066,29.213892
61.502032,29.213892
61.502032,29.153658
62.502000,29.153658
62.502000,29.298931
63.501968,29.298931
63.501968,29.357500
64.501938,29.357500
64.501938,29.404205
65.501908,29.404205
65.501908,29.187752
66.000000,29.187752
