d,t
0.000000,27.643360
0.707107,27.643360
0.707107,27.683580
1.581139,27.683580
1.581139,27.533653
2.549510,27.533653
2.549510,27.832245
3.535534,27.832245
3.535534,27.721033
4.527693,27.721033
4.527693,27.579132
5.522681,27.579132
5.522681,27.674749
6.519202,27.674749
6.519202,27.572596
7.516648,27.572596
7.516648,27.612823
8.514693,27.612823
8.514693,27.517164
9.513149,27.517164
9.513149,27.513039
10.511898,27.513039
10.511898,27.511738
11.510864,27.511738
11.510864,27.445274
12.509996,27.445274
12.509996,27.242792
13.509256,27.242792
13.509256,27.256720
14.508618,27.256720
14.508618,27.253048
15.508062,27.253048
15.508062,27.201200
16.507574,27.201200
16.507574,27.175564
17.507141,27.175564
17.507141,27.166243
18.506756,27.166243
18.506756,27.161032
19.506409,27.161032
19.506409,26.954176
20.506097,26.954176
20.506097,27.128786
21.505813,27.128786
21.505813,27.039467
22.505555,27.039467
22.505555,27.200972
23.505319,27.200972
23.505319,26.888964
24.505102,26.888964
24.505102,27.013649
25.504901,27.013649
25.504901,26.857075
26.504717,26.857075
26.504717,27.080435
27.504545,27.080435
27.504545,26.898731
28.504386,26.898731
28.504386,26.819765
29.504237,26.819765
29.504237,26.752596
30.504098,26.752596
30.504098,26.735514
31.503968,26.735514
31.503968,26.645960
32.503846,26.645960
32.503846,26.686380
33.503731,26.686380
33.503731,26.557053
34.503623,26.557053
34.503623,26.698421
35.503521,26.698421
35.503521,26.494284
36.503424,26.494284
36.503424,26.511339
37.503333,26.511339
37.503333,26.414955
38.503247,26.414955
38.503247,26.433609
39.503164,26.433609
39.503164,26.486105
40.503086,26.486105
40.503086,26.412216
41.503012,26.412216
41.503012,26.313484
42.502941,26.313484
42.502941,26.353870
43.502873,26.353870
43.502873,26.250973
44.502809,26.250973
44.502809,26.111086
45.502747,26.111086
45.502747,26.224037
46.502688,26.224037
46.502688,26.335873
47.502632,26.335873
47.502632,26.375874
48.502577,26.375874
48.502577,26.048433
49.502525,26.048433
49.502525,26.304543
50.502475,26.304543
50.502475,26.213009
51.502427,26.213009
51.502427,25.910311
52.502381,25.910311
52.502381,26.109432
53.502336,26.109432
53.502336,26.048594
54.502294,26.048594
54.502294,26.172127
55.502252,26.172127
55.502252,26.019995
56.502212,26.019995
56.502212,25.974081
57.502174,25.974081
57.502174,25.779718
58.502137,25.779718
58.502137,25.845255
59.502101,25.845255
59.502101,25.742882
60.502066,25.742882
60.502066,25.766886
61.502032,25.766886
61.502032,25.685061
62.000000,25.685061
