Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,F,
2026-05-12,15:23:44.651707,1778592224.651707,s,6e-06,s,9,
2026-05-12,15:23:44.902441,1778592224.902441,s,0.25074,s,-6,
2026-05-12,15:23:45.152421,1778592225.152421,s,0.50072,s,-9,
2026-05-12,15:23:45.402769,1778592225.402769,s,0.751068,s,-1,
2026-05-12,15:23:45.652690,1778592225.65269,s,1.000989,s,-13,
2026-05-12,15:23:45.903059,1778592225.903059,s,1.251358,s,3,
2026-05-12,15:23:46.152983,1778592226.152983,s,1.501282,s,-18,
2026-05-12,15:23:46.403389,1778592226.403389,s,1.751688,s,-7,
2026-05-12,15:23:46.653292,1778592226.653292,s,2.001591,s,-8,
2026-05-12,15:23:46.903862,1778592226.903862,s,2.252161,s,-3,
2026-05-12,15:23:47.153516,1778592227.153516,s,2.501815,s,1,
2026-05-12,15:23:47.404262,1778592227.404262,s,2.752561,s,-10,
2026-05-12,15:23:47.653711,1778592227.653711,s,3.00201,s,-6,
2026-05-12,15:23:47.904440,1778592227.90444,s,3.252739,s,4,
2026-05-12,15:23:48.154196,1778592228.154196,s,3.502495,s,-10,
2026-05-12,15:23:48.404814,1778592228.404814,s,3.753113,s,4,
2026-05-12,15:23:48.654730,1778592228.65473,s,4.003029,s,2,
2026-05-12,15:23:48.905249,1778592228.905249,s,4.253548,s,-24,
2026-05-12,15:23:49.155209,1778592229.155209,s,4.503508,s,-9,
2026-05-12,15:23:49.405731,1778592229.405731,s,4.75403,s,3,
2026-05-12,15:23:49.655685,1778592229.655685,s,5.003984,s,-9,
2026-05-12,15:23:49.906175,1778592229.906175,s,5.254474,s,-26,
2026-05-12,15:23:50.156190,1778592230.15619,s,5.504489,s,-4,
2026-05-12,15:23:50.406526,1778592230.406526,s,5.754825,s,-10,
2026-05-12,15:23:50.656680,1778592230.65668,s,6.004979,s,-19,
2026-05-12,15:23:50.906839,1778592230.906839,s,6.255138,s,-14,
2026-05-12,15:23:51.157048,1778592231.157048,s,6.505347,s,-2,
2026-05-12,15:23:51.407158,1778592231.407158,s,6.755457,s,-13,
2026-05-12,15:23:51.657507,1778592231.657507,s,7.005806,s,-22,
2026-05-12,15:23:51.907415,1778592231.907415,s,7.255714,s,-12,
2026-05-12,15:23:52.157965,1778592232.157965,s,7.506264,s,7,
2026-05-12,15:23:52.407760,1778592232.40776,s,7.756059,s,-12,
2026-05-12,15:23:52.658379,1778592232.658379,s,8.006678,s,-9,
2026-05-12,15:23:52.908102,1778592232.908102,s,8.256401,s,-3,
2026-05-12,15:23:53.158707,1778592233.158707,s,8.507006,s,-21,
2026-05-12,15:23:53.408373,1778592233.408373,s,8.756672,s,-12,
2026-05-12,15:23:53.659177,1778592233.659177,s,9.007476,s,-19,
2026-05-12,15:23:53.908651,1778592233.908651,s,9.25695,s,-1,
2026-05-12,15:23:54.159499,1778592234.159499,s,9.507798,s,-15,
2026-05-12,15:23:54.408913,1778592234.408913,s,9.757212,s,-12,
2026-05-12,15:23:54.659736,1778592234.659736,s,10.008035,s,-5,
2026-05-12,15:23:54.909153,1778592234.909153,s,10.257452,s,0,
2026-05-12,15:23:55.160226,1778592235.160226,s,10.508525,s,-2,
2026-05-12,15:23:55.409398,1778592235.409398,s,10.757697,s,-19,
2026-05-12,15:23:55.660708,1778592235.660708,s,11.009007,s,-13,
2026-05-12,15:23:55.909857,1778592235.909857,s,11.258156,s,-17,
2026-05-12,15:23:56.161242,1778592236.161242,s,11.509541,s,-8,
