Date,Time,Time since 1970-01-01T00:00:00Z,,T,,x,
2026-03-05,14:47:32.057195,1772718452.057195,s,4e-06,s,-16,
2026-03-05,14:47:32.307838,1772718452.307838,s,0.250647,s,-6,
2026-03-05,14:47:32.558029,1772718452.558029,s,0.500838,s,-20,
2026-03-05,14:47:32.808080,1772718452.80808,s,0.750889,s,-22,
2026-03-05,14:47:33.058538,1772718453.058538,s,1.001347,s,-21,
2026-03-05,14:47:33.308320,1772718453.30832,s,1.251129,s,-15,
2026-03-05,14:47:33.559068,1772718453.559068,s,1.501877,s,-35,
2026-03-05,14:47:33.808637,1772718453.808637,s,1.751446,s,-23,
2026-03-05,14:47:34.059589,1772718454.059589,s,2.002398,s,21,
2026-03-05,14:47:34.308981,1772718454.308981,s,2.25179,s,-17,
2026-03-05,14:47:34.560036,1772718454.560036,s,2.502845,s,-25,
2026-03-05,14:47:34.809479,1772718454.809479,s,2.752288,s,2,
2026-03-05,14:47:35.060497,1772718455.060497,s,3.003306,s,-28,
2026-03-05,14:47:35.310001,1772718455.310001,s,3.25281,s,-29,
2026-03-05,14:47:35.560947,1772718455.560947,s,3.503756,s,-15,
2026-03-05,14:47:35.810566,1772718455.810566,s,3.753375,s,-19,
2026-03-05,14:47:36.061394,1772718456.061394,s,4.004203,s,-17,
2026-03-05,14:47:36.311039,1772718456.311039,s,4.253848,s,-16,
2026-03-05,14:47:36.561841,1772718456.561841,s,4.50465,s,-2,
2026-03-05,14:47:36.811535,1772718456.811535,s,4.754344,s,-10,
2026-03-05,14:47:37.062287,1772718457.062287,s,5.005096,s,-32,
2026-03-05,14:47:37.311887,1772718457.311887,s,5.254696,s,-23,
2026-03-05,14:47:37.562769,1772718457.562769,s,5.505578,s,-26,
2026-03-05,14:47:37.812351,1772718457.812351,s,5.75516,s,-26,
2026-03-05,14:47:38.063232,1772718458.063232,s,6.006041,s,-13,
2026-03-05,14:47:38.312857,1772718458.312857,s,6.255666,s,3,
2026-03-05,14:47:38.563691,1772718458.563691,s,6.5065,s,-29,
2026-03-05,14:47:38.813370,1772718458.81337,s,6.756179,s,-17,
2026-03-05,14:47:39.064009,1772718459.064009,s,7.006818,s,-17,
2026-03-05,14:47:39.313841,1772718459.313841,s,7.25665,s,-15,
