time (ms),channelA(V),channelB(V)
0,0.1,0
10,0.4,0
20,0.7,0
30,1,0
40,1.3,0
50,1.6,0
60,1.9,0
70,2.2,0
80,2.6,0
90,2.9,0
100,3.2,0
110,3.5,0
120,3.7,0
130,4,0.1
140,4.3,0.2
150,4.6,0.4
160,4.9,0.6
170,5.1,0.9
180,5.4,1.1
190,5.7,1.4
200,5.9,1.6
210,6.2,1.8
220,6.4,2.1
230,6.7,2.3
240,6.9,2.5
250,7.1,2.7
260,7.3,2.9
270,7.5,3.1
280,7.7,3.3
290,7.9,3.5
300,8.1,3.7
310,8.3,3.9
320,8.5,4
330,8.6,4.2
340,8.8,4.4
350,8.9,4.5
360,9.1,4.6
370,9.2,4.8
380,9.3,4.9
390,9.4,5
400,9.5,5.1
410,9.6,5.2
420,9.7,5.2
430,9.8,5.3
440,9.8,5.4
450,9.9,5.4
460,9.9,5.5
470,10,5.5
480,10,5.5
490,10,5.5
500,10,5.5
510,10,5.5
520,10,5.5
530,9.9,5.5
540,9.9,5.4
550,9.9,5.4
560,9.8,5.3
570,9.7,5.3
580,9.7,5.2
590,9.6,5.1
600,9.5,5
610,9.4,4.9
620,9.3,4.8
630,9.1,4.7
640,9,4.6
650,8.9,4.4
660,8.7,4.3
670,8.6,4.1
680,8.4,4
690,8.2,3.8
700,8,3.6
710,7.8,3.4
720,7.6,3.2
730,7.4,3
740,7.2,2.8
750,7,2.6
760,6.8,2.4
770,6.5,2.2
780,6.3,2
790,6.1,1.7
800,5.8,1.5
810,5.6,1.3
820,5.3,1
830,5,0.8
840,4.7,0.5
850,4.5,0.3
860,4.2,0.1
870,3.9,0
880,3.6,0
890,3.3,0
900,3,0
910,2.7,0
920,2.4,0
930,2.1,0
940,1.8,0
950,1.5,0
960,1.2,0
970,0.9,0
980,0.5,0
990,0.2,0
1000,-0.1,0
1010,-0.4,0
1020,-0.7,0
1030,-1,0
1040,-1.3,0
1050,-1.6,0
1060,-2,0
1070,-2.3,0
1080,-2.6,0
1090,-2.9,0
