channelA,channelB
-4.55,-0.46
-4.55,-0.45
-4.55,-0.46
-4.5,-0.45
-4.5,-0.45
-4.45,-0.45
-4.45,-0.45
-4.4,-0.44
-4.4,-0.44
-4.4,-0.44
-4.35,-0.44
-4.35,-0.44
-4.3,-0.43
-4.3,-0.43
-4.25,-0.43
-4.25,-0.43
-4.2,-0.42
-4.2,-0.43
-4.2,-0.42
-4.2,-0.42
-4.2,-0.42
-4.15,-0.41
-4.15,-0.41
-4.1,-0.41
-4.1,-0.41
-4.1,-0.41
-4.05,-0.4
-4.05,-0.4
-4,-0.4
-4,-0.4
-3.95,-0.4
-3.95,-0.4
-3.95,-0.4
-3.9,-0.39
-3.9,-0.39
-3.85,-0.39
-3.85,-0.39
-3.8,-0.38
-3.8,-0.38
-3.75,-0.38
-3.75,-0.38
-3.75,-0.38
-3.75,-0.37
-3.7,-0.37
-3.7,-0.37
-3.7,-0.37
-3.65,-0.36
-3.65,-0.37
-3.65,-0.36
-3.6,-0.36
-3.6,-0.36
-3.55,-0.35
-3.55,-0.36
-3.5,-0.35
-3.5,-0.35
-3.5,-0.35
-3.45,-0.35
-3.45,-0.35
-3.4,-0.34
-3.4,-0.34
-3.35,-0.34
-3.35,-0.34
-3.3,-0.33
-3.3,-0.33
-3.3,-0.33
-3.25,-0.33
-3.25,-0.33
-3.2,-0.33
-3.2,-0.32
-3.2,-0.32
-3.2,-0.32
-3.2,-0.32
-3.15,-0.31
-3.15,-0.32
-3.1,-0.31
-3.1,-0.31
-3.05,-0.31
-3.05,-0.3
-3.05,-0.31
-3,-0.3
-3,-0.3
-2.95,-0.3
-2.95,-0.3
-2.9,-0.29
-2.9,-0.29
-2.85,-0.28
-2.85,-0.29
-2.85,-0.29
-2.8,-0.28
-2.8,-0.28
-2.75,-0.28
-2.75,-0.28
-2.75,-0.27
-2.75,-0.27
-2.7,-0.27
-2.7,-0.27
-2.7,-0.27
-2.65,-0.27
-2.65,-0.26
-2.6,-0.26
-2.6,-0.26
-2.6,-0.26
-2.55,-0.26
-2.55,-0.25
-2.5,-0.25
-2.5,-0.25
-2.45,-0.25
-2.45,-0.25
-2.4,-0.24
-2.4,-0.24
-2.4,-0.24
-2.35,-0.24
-2.35,-0.24
-2.3,-0.23
-2.3,-0.23
-2.25,-0.23
-2.25,-0.23
-2.25,-0.23
-2.25,-0.22
-2.25,-0.22
-2.2,-0.22
-2.2,-0.22
-2.15,-0.22
-2.15,-0.21
-2.15,-0.21
-2.1,-0.21
-2.1,-0.21
-2.05,-0.21
-2.05,-0.2
-2,-0.2
-2,-0.2
-1.95,-0.2
-1.95,-0.2
-1.95,-0.2
-1.9,-0.19
-1.9,-0.19
-1.85,-0.19
-1.85,-0.19
-1.8,-0.18
-1.8,-0.18
-1.8,-0.18
-1.75,-0.18
-1.75,-0.18
-1.75,-0.17
-1.7,-0.18
-1.7,-0.16
-1.7,-0.17
-1.7,-0.17
-1.65,-0.16
-1.65,-0.16
-1.6,-0.16
-1.6,-0.16
-1.55,-0.16
-1.55,-0.16
-1.5,-0.15
-1.5,-0.15
-1.5,-0.15
-1.45,-0.15
-1.45,-0.15
-1.4,-0.14
-1.4,-0.14
-1.35,-0.14
-1.35,-0.13
-1.35,-0.14
-1.3,-0.13
-1.3,-0.13
-1.25,-0.13
-1.25,-0.13
-1.2,-0.12
-1.2,-0.13
-1.25,-0.12
-1.2,-0.12
-1.2,-0.12
-1.15,-0.11
-1.15,-0.11
-1.1,-0.11
-1.1,-0.1
-1.05,-0.1
-1.05,-0.1
-1.05,-0.1
-1,-0.1
-1,-0.1
-0.95,-0.09
-0.95,-0.09
-0.9,-0.09
-0.9,-0.09
-0.9,-0.09
-0.85,-0.08
-0.85,-0.09
-0.8,-0.08
-0.8,-0.08
-0.75,-0.08
-0.75,-0.08
-0.75,-0.08
-0.75,-0.07
-0.7,-0.07
-0.7,-0.07
-0.7,-0.07
-0.65,-0.06
-0.65,-0.06
-0.6,-0.06
-0.6,-0.06
-0.6,-0.06
-0.55,-0.05
-0.55,-0.05
-0.5,-0.05
-0.5,-0.05
-0.45,-0.04
-0.45,-0.05
-0.45,-0.05
-0.4,-0.04
-0.4,-0.04
-0.35,-0.04
-0.35,-0.04
-0.3,-0.03
-0.3,-0.03
-0.3,-0.03
-0.25,-0.03
-0.25,-0.03
-0.25,-0.02
-0.25,-0.02
-0.2,-0.02
-0.2,-0.02
-0.15,-0.02
-0.15,-0.01
-0.15,-0.02
-0.1,-0.01
-0.1,-0.01
-0.05,-0.01
-0.05,0
0,0
0,0
0,0
0.05,0
0.05,0
0.1,0.01
0.1,0.01
0.15,0.02
0.15,0.01
0.15,0.01
0.2,0.02
0.2,0.02
0.25,0.02
0.25,0.02
0.3,0.03
0.3,0.03
0.3,0.04
0.3,0.04
0.3,0.04
0.35,0.04
0.35,0.04
0.4,0.04
0.4,0.04
0.45,0.05
0.45,0.05
0.45,0.05
0.5,0.05
0.5,0.05
0.55,0.06
0.55,0.06
0.6,0.06
0.6,0.06
0.6,0.06
