time (us),channelA(1),channelB(1),channelA(2),channelB(2)
0,0.004,-0.6,0.006,-1.05
1,0.012,-0.5,0.01,-0.95
2,0.018,-0.4,0.018,-0.85
3,0.024,-0.3,0.024,-0.75
4,0.03,-0.2,0.028,-0.65
5,0.036,-0.1,0.036,-0.55
6,0.04,0,0.042,-0.4
7,0.048,0.15,0.046,-0.3
8,0.052,0.25,0.052,-0.2
9,0.058,0.35,0.058,-0.05
10,0.062,0.5,0.062,0.05
11,0.066,0.6,0.068,0.15
12,0.072,0.7,0.072,0.3
13,0.076,0.85,0.076,0.4
14,0.08,0.95,0.08,0.5
15,0.084,1.1,0.084,0.65
16,0.086,1.2,0.088,0.75
17,0.09,1.3,0.09,0.85
18,0.092,1.4,0.092,0.95
19,0.094,1.5,0.094,1.05
20,0.096,1.6,0.096,1.15
21,0.098,1.65,0.098,1.25
22,0.1,1.75,0.098,1.35
23,0.1,1.75,0.1,1.4
24,0.1,1.8,0.1,1.5
25,0.1,1.8,0.1,1.55
26,0.1,1.8,0.098,1.65
27,0.098,1.8,0.098,1.7
28,0.098,1.8,0.098,1.75
29,0.096,1.8,0.096,1.8
30,0.094,1.8,0.094,1.85
31,0.09,1.8,0.092,1.9
32,0.09,1.8,0.088,1.9
33,0.086,1.8,0.086,1.95
34,0.082,1.8,0.082,1.95
35,0.078,1.8,0.078,1.95
36,0.074,1.8,0.074,1.95
37,0.07,1.8,0.07,1.95
38,0.066,1.8,0.066,1.95
39,0.062,1.8,0.062,1.9
40,0.056,1.8,0.056,1.85
41,0.05,1.8,0.05,1.85
42,0.044,1.8,0.046,1.8
43,0.04,1.8,0.04,1.75
44,0.034,1.75,0.034,1.65
45,0.026,1.75,0.028,1.6
46,0.022,1.75,0.022,1.55
47,0.014,1.7,0.014,1.45
48,0.008,1.7,0.008,1.4
49,0.002,1.65,0.002,1.25
50,-0.004,1.55,-0.004,1.1
51,-0.01,1.45,-0.01,1
52,-0.018,1.4,-0.016,0.9
53,-0.022,1.3,-0.022,0.8
54,-0.028,1.25,-0.03,0.7
55,-0.034,1.15,-0.034,0.6
56,-0.04,1.05,-0.04,0.5
57,-0.046,0.95,-0.046,0.35
58,-0.052,0.85,-0.05,0.25
59,-0.058,0.75,-0.056,0.15
60,-0.062,0.65,-0.06,0
61,-0.066,0.55,-0.066,-0.1
62,-0.07,0.4,-0.07,-0.2
63,-0.076,0.3,-0.076,-0.35
