Zeit t / s;Weg s_A1 / cm;p;V
0;4,34325184358789;1900;212,085972826463
0,0002;4,32754388031994;1899;212,530508186946
0,0004;4,31968989868597;1897;212,752775867187
0,0006;4,32754388031994;1896;212,530508186946
0,0008;4,31183591705199;1894;212,975043547429
0,001;4,29612795378404;1892;213,419578907912
0,0012;4,29612795378404;1891;213,419578907912
0,0014;4,28827397215007;1889;213,641846588153
0,0016;4,28041999051609;1887;213,864114268395
0,0018;4,27256600888212;1885;214,086381948636
0,002;4,26471202724814;1883;214,308649628878
0,0022;4,25685804561417;1881;214,530917309119
0,0024;4,2490040639802;1878;214,75318498936
0,0026;4,23329610071225;1876;215,197720349843
0,0028;4,23329610071225;1874;215,197720349843
0,003;4,2175881374443;1872;215,642255710326
0,0032;4,20188017417635;1869;216,086791070809
0,0034;4,20188017417635;1867;216,086791070809
0,0036;4,20188017417635;1864;216,086791070809
0,0038;4,17831822927443;1862;216,753594111534
0,004;4,17831822927443;1859;216,753594111534
0,0042;4,16261026600648;1857;217,198129472017
0,0044;4,14690230273853;1854;217,6426648325
0,0046;4,13904832110455;1851;217,864932512741
0,0048;4,13119433947058;1848;218,087200192983
0,005;4,1233403578366;1845;218,309467873224
0,0052;4,10763239456865;1842;218,754003233707
0,0054;4,09977841293468;1839;218,976270913949
0,0056;4,09192443130071;1836;219,19853859419
0,0058;4,08407044966673;1833;219,420806274432
0,006;4,06836248639878;1830;219,865341634914
0,0062;4,05265452313083;1827;220,309876995397
0,0064;4,04480054149686;1824;220,532144675639
0,0066;4,02909257822891;1820;220,976680036122
0,0068;4,02123859659494;1817;221,198947716363
0,007;4,01338461496096;1814;221,421215396605
0,0072;3,98982267005904;1810;222,088018437329
0,0074;3,98982267005904;1807;222,088018437329
0,0076;3,97411470679109;1803;222,532553797812
0,0078;3,95840674352314;1800;222,977089158295
0,008;3,95055276188916;1796;223,199356838537
0,0082;3,93484479862122;1793;223,64389219902
0,0084;3,92699081698724;1790;223,866159879261
0,0086;3,90342887208532;1786;224,532962919985
0,0088;3,88772090881737;1782;224,977498280468
0,009;3,87986692718339;1779;225,19976596071
0,0092;3,86415896391545;1775;225,644301321193
0,0094;3,8484510006475;1772;226,088836681676
0,0096;3,84059701901352;1768;226,311104361917
0,0098;3,8170350741116;1765;226,977907402642
0,01;3,80132711084365;1761;227,422442763125
0,0102;3,7856191475757;1757;227,866978123608
0,0104;3,77776516594173;1754;228,089245803849
0,0106;3,7542032210398;1750;228,756048844574
0,0108;3,74634923940583;1746;228,978316524815
0,011;3,7227872945039;1742;229,645119565539
0,0112;3,71493331286993;1738;229,867387245781
0,0114;3,69922534960198;1734;230,311922606264
0,0116;3,67566340470006;1730;230,978725646988
0,0118;3,66780942306608;1725;231,20099332723
0,012;3,64424747816416;1721;231,867796367954
0,0122;3,62853951489621;1717;232,312331728437
0,0124;3,62068553326224;1712;232,534599408679
0,0126;3,58926960672634;1708;233,423670129645
0,0128;3,58141562509236;1703;233,645937809886
0,013;3,55785368019044;1698;234,312740850611
0,0132;3,54214571692249;1694;234,757276211093
0,0134;3,52643775365454;1689;235,201811571576
0,0136;3,51072979038659;1684;235,646346932059
0,0138;3,49502182711865;1680;236,090882292542
0,014;3,47145988221672;1675;236,757685333267
0,0142;3,46360590058275;1671;236,979953013508
0,0144;3,43218997404685;1666;237,869023734474
0,0146;3,42433599241287;1661;238,091291414716
0,0148;3,40862802914493;1657;238,535826775199
0,015;3,385066084243;1652;239,202629815923
0,0152;3,36935812097505;1648;239,647165176406
0,0154;3,34579617607313;1643;240,31396821713
0,0156;3,33794219443916;1639;240,536235897372
0,0158;3,31438024953723;1633;241,203038938096
0,016;3,29081830463531;1629;241,869841978821
0,0162;3,28296432300133;1624;242,092109659062
0,0164;3,25154839646544;1620;242,981180380028
0,0166;3,23584043319749;1615;243,425715740511
0,0168;3,21227848829556;1610;244,092518781236
0,017;3,19657052502761;1605;244,537054141719
0,0172;3,18086256175967;1601;244,981589502201
0,0174;3,15730061685774;1597;245,648392542926
0,0176;3,14159265358979;1592;246,092927903409
0,0178;3,12588469032184;1587;246,537463263892
0,018;3,10232274541992;1583;247,204266304616
0,0182;3,08661478215197;1578;247,648801665099
0,0184;3,06305283725005;1573;248,315604705824
0,0186;3,0473448739821;1568;248,760140066307
0,0188;3,03163691071415;1564;249,20467542679
0,019;3,00807496581223;1559;249,871478467514
0,0192;2,9845130209103;1555;250,538281508238
0,0194;2,96880505764235;1550;250,982816868721
0,0196;2,94524311274043;1545;251,649619909446
0,0198;2,92953514947248;1541;252,094155269929
0,02;2,91382718620453;1536;252,538690630412
0,0202;2,89026524130261;1531;253,205493671136
0,0204;2,85884931476671;1526;254,094564392102
0,0206;2,85099533313274;1522;254,316832072344
0,0208;2,81957940659684;1517;255,205902793309
0,021;2,80387144332889;1512;255,650438153792
0,0212;2,78030949842697;1507;256,317241194517
0,0214;2,75674755352504;1503;256,984044235241
0,0216;2,73318560862312;1498;257,650847275966
0,0218;2,71747764535517;1493;258,095382636449
0,022;2,68606171881927;1488;258,984453357415
0,0222;2,6782077371853;1484;259,206721037656
0,0224;2,66249977391735;1479;259,651256398139
0,0226;2,62322986574748;1474;260,762594799346
0,0228;2,60752190247953;1470;261,207130159829
0,023;2,5839599575776;1465;261,873933200554
0,0232;2,56825199430966;1461;262,318468561037
0,0234;2,54469004940773;1456;262,985271601761
0,0236;2,52112810450581;1451;263,652074642486
0,0238;2,50542014123786;1447;264,096610002969
0,024;2,47400421470196;1442;264,985680723934
0,0242;2,45044226980004;1438;265,652483764659
0,0244;2,43473430653209;1434;266,097019125142
0,0246;2,41117236163017;1429;266,763822165866
0,0248;2,37975643509427;1425;267,652892886832
0,025;2,36404847182632;1420;268,097428247315
0,0252;2,3404865269244;1416;268,76423128804
0,0254;2,31692458202247;1411;269,431034328764
0,0256;2,29336263712055;1406;270,097837369488
0,0258;2,26980069221863;1402;270,764640410213
0,026;2,2462387473167;1397;271,431443450937
0,0262;2,22267680241478;1393;272,098246491662
0,0264;2,19911485751285;1388;272,765049532386
0,0266;2,18340689424491;1383;273,209584892869
0,0268;2,15199096770901;1378;274,098655613835
0,027;2,12057504117311;1374;274,987726334801
0,0272;2,11272105953914;1369;275,209994015042
0,0274;2,08130513300324;1365;276,099064736008
0,0276;2,05774318810131;1360;276,765867776733
0,0278;2,04203522483337;1355;277,210403137216
0,028;2,01847327993144;1351;277,87720617794
0,0282;1,99491133502952;1346;278,544009218665
0,0284;1,96349540849362;1341;279,433079939631
0,0286;1,94778744522567;1337;279,877615300113
0,0288;1,93207948195772;1332;280,322150660596
0,029;1,90066355542182;1328;281,211221381562
0,0292;1,8771016105199;1323;281,878024422287
0,0294;1,86924762888593;1318;282,100292102528
0,0296;1,82997772071605;1314;283,211630503736
0,0298;1,80641577581413;1309;283,87843354446
0,03;1,79070781254618;1305;284,322968904943
0,0302;1,76714586764426;1300;284,989771945667
0,0304;1,74358392274234;1295;285,656574986392
0,0306;1,72787595947439;1291;286,101110346875
0,0308;1,70431401457246;1286;286,767913387599
0,031;1,68075206967054;1282;287,434716428324
0,0312;1,65719012476862;1277;288,101519469048
0,0314;1,64148216150067;1272;288,546054829531
0,0316;1,61006623496477;1268;289,435125550497
