Zeit t / s;Weg s_A1 / cm;p;V
0;-0,243473430653209;962;341,890298087486
0,0002;-0,243473430653209;961;341,890298087486
0,0004;-0,259181393921158;960;342,334833447969
0,0006;-0,267035375555132;959;342,55710112821
0,0008;-0,267035375555132;957;342,55710112821
0,001;-0,274889357189107;956;342,779368808452
0,0012;-0,282743338823081;955;343,001636488693
0,0014;-0,282743338823081;954;343,001636488693
0,0016;-0,29845130209103;953;343,446171849176
0,0018;-0,306305283725005;952;343,668439529418
0,002;-0,29845130209103;951;343,446171849176
0,0022;-0,306305283725005;950;343,668439529418
0,0024;-0,306305283725005;949;343,668439529418
0,0026;-0,314159265358979;948;343,890707209659
0,0028;-0,329867228626928;947;344,335242570142
0,003;-0,329867228626928;946;344,335242570142
0,0032;-0,329867228626928;945;344,335242570142
0,0034;-0,345575191894877;944;344,779777930625
0,0036;-0,337721210260903;943;344,557510250384
0,0038;-0,337721210260903;942;344,557510250384
0,004;-0,353429173528852;941;345,002045610867
0,0042;-0,353429173528852;940;345,002045610867
0,0044;-0,361283155162826;939;345,224313291108
0,0046;-0,361283155162826;938;345,224313291108
0,0048;-0,369137136796801;937;345,446580971349
0,005;-0,369137136796801;937;345,446580971349
0,0052;-0,369137136796801;936;345,446580971349
0,0054;-0,369137136796801;935;345,446580971349
0,0056;-0,38484510006475;934;345,891116331832
0,0058;-0,38484510006475;933;345,891116331832
0,006;-0,392699081698724;932;346,113384012074
0,0062;-0,400553063332699;931;346,335651692315
0,0064;-0,392699081698724;931;346,113384012074
0,0066;-0,400553063332699;930;346,335651692315
0,0068;-0,400553063332699;929;346,335651692315
0,007;-0,400553063332699;928;346,335651692315
0,0072;-0,400553063332699;928;346,335651692315
0,0074;-0,416261026600648;926;346,780187052798
0,0076;-0,416261026600648;926;346,780187052798
0,0078;-0,416261026600648;925;346,780187052798
0,008;-0,424115008234622;924;347,00245473304
0,0082;-0,424115008234622;924;347,00245473304
0,0084;-0,424115008234622;923;347,00245473304
0,0086;-0,431968989868597;922;347,224722413281
0,0088;-0,424115008234622;921;347,00245473304
0,009;-0,431968989868597;921;347,224722413281
0,0092;-0,439822971502571;920;347,446990093523
0,0094;-0,424115008234622;921;347,00245473304
0,0096;-0,439822971502571;918;347,446990093523
0,0098;-0,431968989868597;918;347,224722413281
0,01;-0,439822971502571;917;347,446990093523
0,0102;-0,439822971502571;917;347,446990093523
0,0104;-0,439822971502571;916;347,446990093523
0,0106;-0,447676953136546;915;347,669257773764
0,0108;-0,447676953136546;915;347,669257773764
0,011;-0,447676953136546;914;347,669257773764
0,0112;-0,447676953136546;914;347,669257773764
0,0114;-0,45553093477052;913;347,891525454006
0,0116;-0,447676953136546;913;347,669257773764
0,0118;-0,447676953136546;912;347,669257773764
0,012;-0,45553093477052;912;347,891525454006
0,0122;-0,447676953136546;911;347,669257773764
0,0124;-0,447676953136546;911;347,669257773764
0,0126;-0,447676953136546;910;347,669257773764
0,0128;-0,447676953136546;910;347,669257773764
0,013;-0,447676953136546;909;347,669257773764
0,0132;-0,45553093477052;909;347,891525454006
0,0134;-0,447676953136546;908;347,669257773764
0,0136;-0,447676953136546;908;347,669257773764
0,0138;-0,447676953136546;907;347,669257773764
0,014;-0,447676953136546;907;347,669257773764
0,0142;-0,447676953136546;906;347,669257773764
0,0144;-0,45553093477052;906;347,891525454006
0,0146;-0,447676953136546;906;347,669257773764
0,0148;-0,439822971502571;905;347,446990093523
0,015;-0,439822971502571;905;347,446990093523
0,0152;-0,439822971502571;905;347,446990093523
0,0154;-0,439822971502571;905;347,446990093523
0,0156;-0,439822971502571;904;347,446990093523
0,0158;-0,431968989868597;904;347,224722413281
0,016;-0,439822971502571;904;347,446990093523
0,0162;-0,439822971502571;904;347,446990093523
0,0164;-0,431968989868597;903;347,224722413281
0,0166;-0,431968989868597;903;347,224722413281
0,0168;-0,439822971502571;903;347,446990093523
0,017;-0,431968989868597;903;347,224722413281
0,0172;-0,424115008234622;902;347,00245473304
0,0174;-0,431968989868597;903;347,224722413281
0,0176;-0,424115008234622;903;347,00245473304
0,0178;-0,416261026600648;903;346,780187052798
0,018;-0,416261026600648;902;346,780187052798
0,0182;-0,416261026600648;902;346,780187052798
0,0184;-0,408407044966673;902;346,557919372557
0,0186;-0,408407044966673;902;346,557919372557
0,0188;-0,416261026600648;902;346,780187052798
0,019;-0,408407044966673;902;346,557919372557
0,0192;-0,400553063332699;902;346,335651692315
0,0194;-0,400553063332699;902;346,335651692315
0,0196;-0,392699081698724;902;346,113384012074
0,0198;-0,392699081698724;902;346,113384012074
0,02;-0,392699081698724;902;346,113384012074
0,0202;-0,38484510006475;902;345,891116331832
0,0204;-0,376991118430775;902;345,668848651591
0,0206;-0,38484510006475;902;345,891116331832
0,0208;-0,376991118430775;902;345,668848651591
0,021;-0,376991118430775;902;345,668848651591
0,0212;-0,369137136796801;902;345,446580971349
0,0214;-0,369137136796801;902;345,446580971349
0,0216;-0,353429173528852;902;345,002045610867
0,0218;-0,345575191894877;902;344,779777930625
0,022;-0,353429173528852;902;345,002045610867
0,0222;-0,345575191894877;903;344,779777930625
0,0224;-0,337721210260903;903;344,557510250384
0,0226;-0,337721210260903;903;344,557510250384
0,0228;-0,337721210260903;903;344,557510250384
0,023;-0,322013246992954;903;344,112974889901
0,0232;-0,314159265358979;904;343,890707209659
0,0234;-0,322013246992954;904;344,112974889901
0,0236;-0,314159265358979;904;343,890707209659
0,0238;-0,306305283725005;904;343,668439529418
0,024;-0,29845130209103;904;343,446171849176
0,0242;-0,290597320457056;904;343,223904168935
0,0244;-0,282743338823081;905;343,001636488693
0,0246;-0,282743338823081;905;343,001636488693
0,0248;-0,282743338823081;905;343,001636488693
0,025;-0,267035375555132;905;342,55710112821
0,0252;-0,259181393921158;905;342,334833447969
0,0254;-0,251327412287183;907;342,112565767727
0,0256;-0,251327412287183;906;342,112565767727
0,0258;-0,243473430653209;906;341,890298087486
0,026;-0,22776546738526;907;341,445762727003
0,0262;-0,22776546738526;906;341,445762727003
0,0264;-0,22776546738526;907;341,445762727003
0,0266;-0,212057504117311;907;341,00122736652
0,0268;-0,204203522483337;907;340,778959686278
0,027;-0,196349540849362;908;340,556692006037
0,0272;-0,196349540849362;907;340,556692006037
0,0274;-0,188495559215388;909;340,334424325795
0,0276;-0,180641577581413;909;340,112156645554
0,0278;-0,172787595947439;909;339,889888965313
0,028;-0,15707963267949;910;339,44535360483
0,0282;-0,149225651045515;910;339,223085924588
0,0284;-0,149225651045515;910;339,223085924588
0,0286;-0,141371669411541;910;339,000818244347
0,0288;-0,125663706143592;911;338,556282883864
0,029;-0,125663706143592;911;338,556282883864
0,0292;-0,109955742875643;912;338,111747523381
0,0294;-0,102101761241668;912;337,889479843139
0,0296;-0,102101761241668;912;337,889479843139
0,0298;-0,0942477796076938;913;337,667212162898
0,03;-0,0785398163397448;913;337,222676802415
0,0302;-0,0785398163397448;914;337,222676802415
0,0304;-0,0706858347057703;914;337,000409122173
0,0306;-0,0549778714378214;914;336,55587376169
0,0308;-0,0471238898038469;915;336,333606081449
0,031;-0,0392699081698724;915;336,111338401207
0,0312;-0,0314159265358979;916;335,889070720966
0,0314;-0,0235619449019235;916;335,666803040724
0,0316;-0,00785398163397448;917;335,222267680241
0,0318;-0,00785398163397448;917;335,222267680241
0,032;0;918;335
0,0322;0,015707963267949;918;334,555464639517
0,0324;0,0235619449019234;919;334,333196959276
0,0326;0,0314159265358979;920;334,110929279034
0,0328;0,0471238898038469;920;333,666393918551
0,033;0,0549778714378214;921;333,44412623831
0,0332;0,0628318530717959;921;333,221858558068
0,0334;0,0785398163397448;922;332,777323197585
0,0336;0,0863937979737193;923;332,555055517344
0,0338;0,0863937979737193;923;332,555055517344
0,034;0,109955742875643;924;331,888252476619
0,0342;0,117809724509617;924;331,665984796378
0,0344;0,125663706143592;926;331,443717116136
0,0346;0,133517687777566;926;331,221449435895
0,0348;0,141371669411541;927;330,999181755653
0,035;0,15707963267949;927;330,55464639517
0,0352;0,172787595947439;928;330,110111034687
0,0354;0,180641577581413;929;329,887843354446
0,0356;0,188495559215388;930;329,665575674205
0,0358;0,204203522483337;930;329,221040313722
0,036;0,219911485751285;932;328,776504953239
0,0362;0,22776546738526;932;328,554237272997
0,0364;0,235619449019234;933;328,331969592756
0,0366;0,243473430653209;934;328,109701912514
0,0368;0,259181393921158;935;327,665166552031
0,037;0,274889357189107;936;327,220631191548
0,0372;0,282743338823081;937;326,998363511307
0,0374;0,29845130209103;937;326,553828150824
0,0376;0,306305283725005;938;326,331560470582
0,0378;0,322013246992954;939;325,887025110099
0,038;0,337721210260903;940;325,442489749616
0,0382;0,345575191894877;942;325,220222069375
0,0384;0,353429173528852;942;324,997954389134
0,0386;0,361283155162826;943;324,775686708892
0,0388;0,376991118430775;944;324,331151348409
0,039;0,392699081698724;945;323,886615987926
0,0392;0,400553063332699;946;323,664348307685
0,0394;0,416261026600648;947;323,219812947202
0,0396;0,424115008234622;947;322,99754526696
0,0398;0,439822971502571;948;322,553009906477
0,04;0,45553093477052;950;322,108474545994
0,0402;0,463384916404495;950;321,886206865753
0,0404;0,479092879672444;951;321,44167150527
0,0406;0,486946861306418;953;321,219403825028
0,0408;0,502654824574367;954;320,774868464545
0,041;0,518362787842316;955;320,330333104062
0,0412;0,52621676947629;956;320,108065423821
0,0414;0,541924732744239;957;319,663530063338
0,0416;0,557632696012188;958;319,218994702855
0,0418;0,573340659280137;959;318,774459342372
0,042;0,589048622548086;960;318,329923981889
0,0422;0,596902604182061;961;318,107656301648
0,0424;0,61261056745001;962;317,663120941165
