Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,U_H,,U,,T,
2026-05-07,16:01:06.942676,1778162466.942676,s,4e-06,s,0.546875,mV,0.27149999141693115,V,154.6125030517578,°C
2026-05-07,16:01:11.943633,1778162471.943633,s,5.000961,s,0.5859375,mV,0.29237499833106995,V,151.46249389648438,°C
2026-05-07,16:01:16.943644,1778162476.943644,s,10.000972,s,0.640625,mV,0.31562501192092896,V,148.4499969482422,°C
2026-05-07,16:01:21.945210,1778162481.94521,s,15.002538,s,0.6875,mV,0.33924999833106995,V,145.52499389648438,°C
2026-05-07,16:01:26.944128,1778162486.944128,s,20.001456,s,0.7421875,mV,0.3642500042915344,V,142.58749389648438,°C
2026-05-07,16:01:31.945781,1778162491.945781,s,25.003109,s,0.8125,mV,0.390500009059906,V,139.875,°C
2026-05-07,16:01:36.944629,1778162496.944629,s,30.001957,s,0.890625,mV,0.4183749854564667,V,137.22500610351562,°C
2026-05-07,16:01:41.946228,1778162501.946228,s,35.003556,s,0.9765625,mV,0.4476250112056732,V,134.6750030517578,°C
2026-05-07,16:01:46.945210,1778162506.94521,s,40.002538,s,1.09375,mV,0.47987499833106995,V,132.1999969482422,°C
2026-05-07,16:01:51.949472,1778162511.949472,s,45.0068,s,1.234375,mV,0.5121250152587891,V,129.78750610351562,°C
2026-05-07,16:01:56.945500,1778162516.9455,s,50.002828,s,1.390625,mV,0.5460000038146973,V,127.3499984741211,°C
2026-05-07,16:02:01.950069,1778162521.950069,s,55.007397,s,1.5859375,mV,0.5814999938011169,V,125.07499694824219,°C
2026-05-07,16:02:06.946020,1778162526.94602,s,60.003348,s,1.8359375,mV,0.6184999942779541,V,122.86250305175781,°C
2026-05-07,16:02:11.950437,1778162531.950437,s,65.007765,s,2.109375,mV,0.6571249961853027,V,120.69999694824219,°C
2026-05-07,16:02:16.946583,1778162536.946583,s,70.003911,s,2.4375,mV,0.6991249918937683,V,118.5875015258789,°C
2026-05-07,16:02:21.950765,1778162541.950765,s,75.008093,s,2.8125,mV,0.7409999966621399,V,116.5250015258789,°C
2026-05-07,16:02:26.947965,1778162546.947965,s,80.005293,s,3.2578125,mV,0.784375011920929,V,114.4124984741211,°C
2026-05-07,16:02:31.951269,1778162551.951269,s,85.008597,s,3.765625,mV,0.8291249871253967,V,112.44999694824219,°C
2026-05-07,16:02:36.948475,1778162556.948475,s,90.005803,s,4.375,mV,0.874875009059906,V,110.5250015258789,°C
2026-05-07,16:02:41.951793,1778162561.951793,s,95.009121,s,5.0390625,mV,0.921500027179718,V,108.6624984741211,°C
2026-05-07,16:02:46.949011,1778162566.949011,s,100.006339,s,5.765625,mV,0.9706249833106995,V,106.8375015258789,°C
2026-05-07,16:02:51.952236,1778162571.952236,s,105.009564,s,6.5859375,mV,1.0178749561309814,V,105.07499694824219,°C
2026-05-07,16:02:56.950193,1778162576.950193,s,110.007521,s,7.4765625,mV,1.0651249885559082,V,103.2750015258789,°C
2026-05-07,16:03:01.952658,1778162581.952658,s,115.009986,s,8.4453125,mV,1.1119999885559082,V,101.61250305175781,°C
2026-05-07,16:03:06.950666,1778162586.950666,s,120.007994,s,9.5234375,mV,1.1581250429153442,V,99.98750305175781,°C
2026-05-07,16:03:11.955608,1778162591.955608,s,125.012936,s,10.625,mV,1.203125,V,98.4124984741211,°C
2026-05-07,16:03:16.952911,1778162596.952911,s,130.010239,s,11.7890625,mV,1.2488750219345093,V,96.88749694824219,°C
2026-05-07,16:03:21.956155,1778162601.956155,s,135.013483,s,12.9921875,mV,1.2911250591278076,V,95.4124984741211,°C
2026-05-07,16:03:26.953345,1778162606.953345,s,140.010673,s,14.2421875,mV,1.3317500352859497,V,93.9124984741211,°C
2026-05-07,16:03:31.957455,1778162611.957455,s,145.014783,s,15.5078125,mV,1.3703750371932983,V,92.51249694824219,°C
2026-05-07,16:03:36.953801,1778162616.953801,s,150.011129,s,16.859375,mV,1.4071249961853027,V,91.1624984741211,°C
2026-05-07,16:03:41.958591,1778162621.958591,s,155.015919,s,18.15625,mV,1.4416249990463257,V,89.8499984741211,°C
2026-05-07,16:03:46.955151,1778162626.955151,s,160.012479,s,19.4609375,mV,1.4754999876022339,V,88.57499694824219,°C
2026-05-07,16:03:51.958895,1778162631.958895,s,165.016223,s,20.7421875,mV,1.5054999589920044,V,87.3375015258789,°C
2026-05-07,16:03:56.956457,1778162636.956457,s,170.013785,s,22.0,mV,1.5334999561309814,V,86.0875015258789,°C
2026-05-07,16:04:01.959359,1778162641.959359,s,175.016687,s,23.234375,mV,1.559249997138977,V,84.92500305175781,°C
2026-05-07,16:04:06.956980,1778162646.95698,s,180.014308,s,24.484375,mV,1.5828750133514404,V,83.7874984741211,°C
2026-05-07,16:04:11.959892,1778162651.959892,s,185.01722,s,25.6484375,mV,1.6045000553131104,V,82.69999694824219,°C
2026-05-07,16:04:16.958279,1778162656.958279,s,190.015607,s,26.78125,mV,1.625,V,81.625,°C
2026-05-07,16:04:21.960331,1778162661.960331,s,195.017659,s,27.8671875,mV,1.6428749561309814,V,80.5999984741211,°C
2026-05-07,16:04:26.958690,1778162666.95869,s,200.016018,s,28.90625,mV,1.6588749885559082,V,79.55000305175781,°C
2026-05-07,16:04:31.961222,1778162671.961222,s,205.01855,s,29.8984375,mV,1.6731250286102295,V,78.57499694824219,°C
2026-05-07,16:04:36.960121,1778162676.960121,s,210.017449,s,30.8828125,mV,1.6859999895095825,V,77.625,°C
2026-05-07,16:04:41.961524,1778162681.961524,s,215.018852,s,31.7734375,mV,1.6973750591278076,V,76.69999694824219,°C
2026-05-07,16:04:46.964400,1778162686.9644,s,220.021728,s,32.625,mV,1.7077499628067017,V,75.8125,°C
2026-05-07,16:04:51.962437,1778162691.962437,s,225.019765,s,33.4296875,mV,1.7165000438690186,V,74.9375,°C
2026-05-07,16:04:56.965073,1778162696.965073,s,230.022401,s,34.1875,mV,1.7241250276565552,V,74.0625,°C
2026-05-07,16:05:01.963192,1778162701.963192,s,235.02052,s,34.8984375,mV,1.7307499647140503,V,73.23750305175781,°C
2026-05-07,16:05:06.965665,1778162706.965665,s,240.022993,s,35.6015625,mV,1.7363749742507935,V,72.4375,°C
2026-05-07,16:05:11.963474,1778162711.963474,s,245.020802,s,36.234375,mV,1.7411249876022339,V,71.6624984741211,°C
2026-05-07,16:05:16.966200,1778162716.9662,s,250.023528,s,36.8359375,mV,1.7453750371932983,V,70.9124984741211,°C
2026-05-07,16:05:21.964102,1778162721.964102,s,255.02143,s,37.390625,mV,1.7486250400543213,V,70.17500305175781,°C
2026-05-07,16:05:26.966800,1778162726.9668,s,260.024128,s,37.921875,mV,1.7512500286102295,V,69.42500305175781,°C
2026-05-07,16:05:31.964798,1778162731.964798,s,265.022126,s,38.4140625,mV,1.753250002861023,V,68.73750305175781,°C
2026-05-07,16:05:36.968204,1778162736.968204,s,270.025532,s,38.90625,mV,1.7547500133514404,V,68.05000305175781,°C
2026-05-07,16:05:41.965300,1778162741.9653,s,275.022628,s,39.3359375,mV,1.7558749914169312,V,67.4000015258789,°C
2026-05-07,16:05:46.968691,1778162746.968691,s,280.026019,s,39.7421875,mV,1.756500005722046,V,66.76249694824219,°C
2026-05-07,16:05:51.965866,1778162751.965866,s,285.023194,s,40.1171875,mV,1.7567499876022339,V,66.13749694824219,°C
2026-05-07,16:05:56.969109,1778162756.969109,s,290.026437,s,40.453125,mV,1.756500005722046,V,65.51249694824219,°C
2026-05-07,16:06:01.966283,1778162761.966283,s,295.023611,s,40.78125,mV,1.75600004196167,V,64.92500305175781,°C
2026-05-07,16:06:06.969613,1778162766.969613,s,300.026941,s,41.1171875,mV,1.7553750276565552,V,64.3499984741211,°C
2026-05-07,16:06:11.966874,1778162771.966874,s,305.024202,s,41.40625,mV,1.7545000314712524,V,63.79999923706055,°C
2026-05-07,16:06:16.970968,1778162776.970968,s,310.028296,s,41.6796875,mV,1.753250002861023,V,63.25,°C
2026-05-07,16:06:21.967901,1778162781.967901,s,315.025229,s,41.9375,mV,1.7519999742507935,V,62.724998474121094,°C
2026-05-07,16:06:26.971394,1778162786.971394,s,320.028722,s,42.1875,mV,1.750499963760376,V,62.1875,°C
2026-05-07,16:06:31.968364,1778162791.968364,s,325.025692,s,42.421875,mV,1.7489999532699585,V,61.6875,°C
2026-05-07,16:06:36.972514,1778162796.972514,s,330.029842,s,42.6484375,mV,1.747249960899353,V,61.20000076293945,°C
2026-05-07,16:06:41.969723,1778162801.969723,s,335.027051,s,42.8515625,mV,1.7453750371932983,V,60.724998474121094,°C
2026-05-07,16:06:46.972834,1778162806.972834,s,340.030162,s,43.046875,mV,1.743499994277954,V,60.26250076293945,°C
2026-05-07,16:06:51.970257,1778162811.970257,s,345.027585,s,43.234375,mV,1.7415000200271606,V,59.79999923706055,°C
2026-05-07,16:06:56.973604,1778162816.973604,s,350.030932,s,43.40625,mV,1.7395000457763672,V,59.375,°C
