TIME,CH1,CH2
-5.000e-02,-0.0875,0.128766
-4.997e-02,-0.1,0.127313
-4.994e-02,-0.139062,0.125734
-4.990e-02,-0.260937,0.124313
-4.987e-02,-0.2875,0.122125
-4.984e-02,-0.3375,0.121172
-4.981e-02,-0.429687,0.119172
-4.978e-02,-0.49375,0.117891
-4.974e-02,-0.525781,0.115656
-4.971e-02,-0.601562,0.114484
-4.968e-02,-0.6875,0.112516
-4.965e-02,-0.717187,0.110719
-4.962e-02,-0.761719,0.109297
-4.958e-02,-0.867187,0.107047
-4.955e-02,-0.8875,0.105469
-4.952e-02,-0.911719,0.103375
-4.949e-02,-0.946875,0.101844
-4.946e-02,-1.02578,0.100344
-4.942e-02,-1.08125,0.0984688
-4.939e-02,-1.09922,0.0970625
-4.936e-02,-1.12109,0.0948125
-4.933e-02,-1.21875,0.0937656
-4.930e-02,-1.27109,0.0916563
-4.926e-02,-1.2875,0.0897656
-4.923e-02,-1.31172,0.0879531
-4.920e-02,-1.37891,0.086125
-4.917e-02,-1.4625,0.0845625
-4.914e-02,-1.48203,0.08225
-4.910e-02,-1.51172,0.081125
-4.907e-02,-1.52891,0.0788125
-4.904e-02,-1.57344,0.0769688
-4.901e-02,-1.66797,0.0748438
-4.898e-02,-1.6875,0.0730156
-4.894e-02,-1.71172,0.0704063
-4.891e-02,-1.73125,0.0682031
-4.888e-02,-1.82187,0.0659531
-4.885e-02,-1.82266,0.063875
-4.882e-02,-1.88203,0.0614063
-4.878e-02,-1.8875,0.0592813
-4.875e-02,-1.92109,0.0569688
-4.872e-02,-1.93359,0.0540781
-4.869e-02,-1.97187,0.0523594
-4.866e-02,-2.01328,0.0500156
-4.862e-02,-2.05078,0.0479531
-4.859e-02,-2.08516,0.0452188
-4.856e-02,-2.10625,0.0427969
-4.853e-02,-2.11172,0.0409844
-4.850e-02,-2.11172,0.0383438
-4.846e-02,-2.12031,0.0368281
-4.843e-02,-2.14687,0.0337188
-4.840e-02,-2.22578,0.0315625
-4.837e-02,-2.25625,0.0297344
-4.834e-02,-2.27344,0.0269063
-4.830e-02,-2.2875,0.024625
-4.827e-02,-2.31719,0.02225
-4.824e-02,-2.31172,0.0197188
-4.821e-02,-2.33359,0.0171875
-4.818e-02,-2.36719,0.0146563
-4.814e-02,-2.46562,0.0115781
-4.811e-02,-2.48281,0.00925
-4.808e-02,-2.4875,0.0068125
