Zeit t / s,B,F,Kraft F / mN,Magnet B / mT
0,0.5,-0.0399999999999997,-480.04,16.5
0,-38,-0.01,-480.01,-22
0,-59.5,0.01,-479.99,-43.5
0,-97.5,0.0300000000000001,-479.97,-81.5
0,-127,0.0500000000000001,-479.95,-111
0,-159,0.16,-479.84,-143
0,-187.5,0.17,-479.83,-171.5
0,-212.5,0.13,-479.87,-196.5
0,-242,0.22,-479.78,-226
0,-269.5,0.28,-479.72,-253.5
0,-290.5,0.34,-479.66,-274.5
0,-317.5,0.38,-479.62,-301.5
0,-337.5,0.43,-479.57,-321.5
0,-362.5,0.52,-479.48,-346.5
0,-380.5,0.53,-479.47,-364.5
0,-410,0.72,-479.28,-394
0,-423,0.74,-479.26,-407
0,-440.5,0.8,-479.2,-424.5
0,-456.5,0.89,-479.11,-440.5
0,-474,0.93,-479.07,-458
0,-490,0.99,-479.01,-474
