Zeit t / s,F,Kraft F / mN,Magnet B / mT,B
0,-0.00999999999999997,-480.01,16,0
0,0,-480,15.91,-0.09
0,0.09,-479.91,15.79,-0.21
0,0,-480,15.64,-0.36
0,0.05,-479.95,15.52,-0.48
0,0.08,-479.92,15.4,-0.6
0,0.12,-479.88,15.265,-0.735
0,0.17,-479.83,15.055,-0.945
0,0.21,-479.79,14.89,-1.11
0,0.26,-479.74,14.725,-1.275
0,0.29,-479.71,14.605,-1.395
0,0.35,-479.65,14.44,-1.56
0,0.39,-479.61,14.35,-1.65
0,0.51,-479.49,14.23,-1.77
0,0.53,-479.47,14.125,-1.875
0,0.63,-479.37,13.945,-2.055
0,0.65,-479.35,13.705,-2.295
0,0.74,-479.26,13.54,-2.46
0,0.81,-479.19,13.33,-2.67
0,0.86,-479.14,13.165,-2.835
0,0.88,-479.12,13.06,-2.94
