TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-2.0000e-02,-0.1,-0.3,-0.128,-0.132
-1.9992e-02,-0.1,0.1,-0.128,-0.124
-1.9985e-02,-0.1,-0.3,-0.128,-0.132
-1.9977e-02,-0.1,0.1,-0.128,-0.124
-1.9969e-02,-0.1,-0.3,-0.124,-0.132
-1.9962e-02,-0.1,0.1,-0.128,-0.12
-1.9954e-02,-0.1,-0.3,-0.124,-0.128
-1.9946e-02,-0.1,0.1,-0.124,-0.12
-1.9939e-02,-0.1,-0.3,-0.124,-0.128
-1.9931e-02,0.1,0.1,-0.124,-0.12
-1.9923e-02,-0.1,-0.3,-0.124,-0.128
-1.9916e-02,0.1,0.3,-0.124,-0.12
-1.9908e-02,0.1,-0.1,-0.124,-0.128
-1.9900e-02,0.1,0.3,-0.124,-0.12
-1.9892e-02,0.1,-0.1,-0.124,-0.128
-1.9885e-02,0.1,0.3,-0.124,-0.116
-1.9877e-02,0.1,-0.1,-0.124,-0.124
-1.9869e-02,0.3,0.3,-0.124,-0.116
-1.9862e-02,0.3,-0.1,-0.124,-0.124
-1.9854e-02,0.1,0.3,-0.12,-0.116
-1.9846e-02,0.3,-0.1,-0.12,-0.124
-1.9839e-02,0.1,0.3,-0.12,-0.116
-1.9831e-02,0.1,-0.1,-0.12,-0.124
-1.9823e-02,0.3,0.3,-0.12,-0.116
-1.9816e-02,0.3,0.1,-0.12,-0.124
-1.9808e-02,0.3,0.5,-0.12,-0.116
-1.9800e-02,0.3,0.1,-0.12,-0.124
-1.9793e-02,0.3,0.5,-0.12,-0.116
-1.9785e-02,0.3,0.1,-0.116,-0.12
-1.9777e-02,0.3,0.5,-0.12,-0.112
-1.9770e-02,0.3,0.1,-0.116,-0.12
-1.9762e-02,0.3,0.5,-0.116,-0.112
-1.9754e-02,0.3,0.1,-0.116,-0.12
-1.9747e-02,0.3,0.5,-0.116,-0.112
-1.9739e-02,0.3,0.1,-0.116,-0.12
-1.9731e-02,0.3,0.5,-0.116,-0.112
-1.9724e-02,0.3,0.3,-0.116,-0.116
-1.9716e-02,0.5,0.5,-0.116,-0.112
-1.9708e-02,0.5,0.3,-0.112,-0.116
-1.9700e-02,0.5,0.5,-0.112,-0.108
-1.9693e-02,0.5,0.3,-0.116,-0.116
-1.9685e-02,0.5,0.7,-0.112,-0.108
-1.9677e-02,0.5,0.3,-0.112,-0.116
-1.9670e-02,0.5,0.7,-0.112,-0.108
-1.9662e-02,0.5,0.3,-0.112,-0.116
-1.9654e-02,0.5,0.7,-0.112,-0.108
-1.9647e-02,0.5,0.3,-0.112,-0.112
-1.9639e-02,0.5,0.7,-0.112,-0.108
-1.9631e-02,0.5,0.3,-0.112,-0.112
-1.9624e-02,0.5,0.7,-0.108,-0.108
-1.9616e-02,0.5,0.3,-0.112,-0.112
-1.9608e-02,0.7,0.9,-0.112,-0.104
-1.9601e-02,0.7,0.3,-0.108,-0.112
-1.9593e-02,0.7,0.9,-0.108,-0.104
-1.9585e-02,0.7,0.5,-0.108,-0.112
-1.9578e-02,0.7,0.9,-0.108,-0.104
-1.9570e-02,0.7,0.5,-0.104,-0.112
-1.9562e-02,0.7,0.9,-0.108,-0.1
-1.9555e-02,0.7,0.5,-0.104,-0.108
-1.9547e-02,0.7,0.9,-0.104,-0.1
-1.9539e-02,0.9,0.5,-0.104,-0.108
-1.9531e-02,0.7,0.9,-0.104,-0.1
-1.9524e-02,0.9,0.5,-0.104,-0.108
-1.9516e-02,0.7,0.9,-0.104,-0.1
-1.9508e-02,0.9,0.5,-0.104,-0.108
-1.9501e-02,0.9,0.9,-0.104,-0.1
-1.9493e-02,0.9,0.5,-0.104,-0.108
-1.9485e-02,0.9,0.9,-0.104,-0.1
-1.9478e-02,0.7,0.5,-0.104,-0.104
-1.9470e-02,0.9,1.1,-0.1,-0.096
-1.9462e-02,0.9,0.7,-0.1,-0.104
-1.9455e-02,0.9,1.1,-0.1,-0.096
-1.9447e-02,0.9,0.7,-0.1,-0.104
-1.9439e-02,0.9,1.1,-0.096,-0.096
-1.9432e-02,0.9,0.7,-0.1,-0.104
-1.9424e-02,0.9,1.1,-0.1,-0.096
-1.9416e-02,0.9,0.7,-0.096,-0.1
-1.9409e-02,0.9,1.1,-0.096,-0.096
-1.9401e-02,0.9,0.7,-0.1,-0.1
-1.9393e-02,0.9,1.1,-0.096,-0.092
-1.9386e-02,0.9,0.7,-0.1,-0.1
-1.9378e-02,0.9,1.1,-0.096,-0.092
-1.9370e-02,0.9,0.7,-0.096,-0.1
-1.9363e-02,0.9,1.1,-0.096,-0.092
-1.9355e-02,0.9,0.7,-0.096,-0.1
-1.9347e-02,1.1,1.3,-0.096,-0.092
-1.9339e-02,1.1,0.9,-0.092,-0.096
-1.9332e-02,0.9,1.3,-0.096,-0.092
-1.9324e-02,1.1,0.9,-0.092,-0.096
-1.9316e-02,1.1,1.3,-0.092,-0.088
-1.9309e-02,1.1,0.9,-0.092,-0.096
-1.9301e-02,1.1,1.3,-0.092,-0.088
-1.9293e-02,1.1,0.9,-0.092,-0.096
-1.9286e-02,1.1,1.3,-0.092,-0.088
