Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;1;0;-39,1631578947369;
1;1;406;1;-35,1473684210526;93,9199536808887
2;1;1370;2;-31,1315789473684;120,237023243921
3;1;1654;3;-27,1157894736842;147,995767321055
4;1;1659;4;-23,1;143,329224562229
5;1;1693;5;-19,0842105263158;152,217858643608
6;1;1789;6;-15,0684210526316;125,551970349291
7;1;1714;7;-11,0526315789474;148,884637405354
8;1;1877;8;-7,03684210526319;169,995145694173
9;1;1920;9;-3,02105263157898;128,885222820329
10;1;1869;10;0,994736842105283;115,552268735467
11;1;1708;11;5,01052631578949;147,773574440549
12;1;1535;12;9,0263157894737;162,217608032483
13;1;1364;13;13,0421052631579;146,662494933477
14;1;1241;14;17,0578947368421;109,996883421636
15;1;1163;15;21,0736842105263;138,884953815197
16;1;1122;16;25,0894736842105;135,551714923633
17;1;1067;17;29,1052631578947;136,662794554154
18;1;911;18;33,1210526315789;133,329570476567
19;1;769;19;37,1368421052632;132,218490722595
20;1;707;20;41,1526315789474;128,885251460681
21;1;609;21;45,1684210526316;129,996331214652
22;1;532;22;49,1842105263158;117,513320578334
23;1;479;23;53,2;138,272673712561
24;1;466;24;57,2157894736842;142,218224309917
25;1;907;25;61,2315789473684;128,885265780862
26;1;1861;26;65,2473684210526;158,884440124565
27;1;2342;27;69,2631578947368;136,662824922811
28;1;1553;28;73,278947368421;116,663400091464
29;1;580;29;77,2947368421052;129,996374545554
30;1;229;30;81,3105263157894;126,663120099304
31;1;166;31;85,3263157894737;105,552611810493
32;1;155;32;89,3421052631579;143,329336037406
33;1;148;33;93,3578947368421;147,77365653469
34;1;152;34;97,3736842105263;148,8847532013
35;1;157;35;101,389473684211;147,77365653469
36;1;140;36;105,405263157895;139,996111219133
37;1;153;37;109,421052631579;175,355844732388
38;1;118;38;113,436842105263;115,552358606967
39;1;109;39;117,452631578947;141,107191466904
40;1;91;40;121,468421052632;169,995296796789
41;1;102;41;125,484210526316;126,663162319176
42;1;104;42;129,5;128,885337381814
43;1;129;43;133,515789473684;138,885046402605
44;1;111;44;137,531578947368;135,131415301381
45;1;114;45;141,547368421053;132,218578865827
46;1;117;46;145,563157894737;108,88588847774
47;1;121;47;149,578947368421;137,773996646981
48,001;1;132;48;153,594736842105;128,885337381814
49;1;100;49;157,610526315789;151,106964064431
50;1;96;50;161,626315789474;151,106980853634
51;1;106;51;165,642105263158;145,551560973827
52;1;72;52;169,657894736842;125,552123797505
53;1;60;53;173,673684210526;137,773996646981
54;1;43;54;177,689473684211;138,885092696355
55;1;32;55;181,705263157895;149,995900112064
56;1;37;56;185,721052631579;159,995626786201
57;1;29;57;189,736842105263;147,773755047779
58;1;33;58;193,752631578947;132,218622937487
59;1;40;59;197,768421052632;132,071880398369
60;1;62;60;201,784210526316;165,551067282176
61,001;1;116;61;205,8;124,120744660406
62;1;188;62;209,815789473684;125,552151697221
63;1;208;63;213,831578947368;161,106743328292
64;1;180;64;217,847368421053;136,66296158193
65;1;114;65;221,863157894737;129,996490094767
66;1;83;66;225,878947368421;145,996043507221
67;1;33;67;229,894736842105;154,440274557031
68;1;17;68;233,910526315789;148,884868997426
69;1;17;69;237,926315789474;138,885154421403
70;1;20;70;241,942105263158;135,551895654373
71;1;14;71;245,957894736842;136,662991950661
72;1;16;72;249,973684210526;135,55191071529
73;1;12;73;253,989473684211;142,996167702706
74;1;11;74;258,005263157895;139,996235656775
75,001;1;15;75;262,021052631579;147,446154992294
76;1;8;76;266,036842105263;145,141251465927
77;1;6;77;270,052631578947;112,219217240961
78;1;7;78;274,068421052632;137,774088493853
79;1;3;79;278,084210526316;132,218696390318
80,001;1;11;80;282,1;137,996315498376
81;1;5;81;286,115789473684;134,130549263598
82;1;1;82;290,131578947368;128,885466263729
83;1;3;83;294,147368421053;146,662755659849
84;1;7;84;298,163157894737;127,774384658007
85;1;2;85;302,178947368421;128,885466263729
86;1;2;86;306,194736842105;134,440859354862
87;1;2;87;310,210526315789;124,44115366727
88;1;3;88;314,226315789474;157,773588012496
89;1;2;89;318,242105263158;149,996016772443
90;1;6;90;322,257894736842;123,330071938098
91;1;3;91;326,273684210526;114,441418104721
92;1;3;92;330,289473684211;138,885231577791
93;1;3;93;334,305263157895;141,10737960485
94;1;5;94;338,321052631579;154,268972059226
95;1;1;95;342,336842105263;148,144233225468
96;1;0;96;346,352631578947;136,663067872546
97;1;0;97;350,368421052632;156,488669498927
98;1;0;98;354,384210526316;127,123793149769
99;1;1;99;358,4;135,552001080861
100;1;2;100;362,415789473684;135,552001080861
101;1;1;101;366,431578947368;116,66362044991
102;1;1;102;370,447368421053;117,774689463699
103;1;2;103;374,463157894737;133,329851942755
104;1;2;104;378,478947368421;136,663083056933
105;1;1;105;382,494736842105;134,440934042278
106;1;2;106;386,510526315789;151,107165535122
107;1;1;107;390,526315789474;135,552031202744
108;1;2;108;394,542105263158;126,663359345617
109;1;0;109;398,557894736842;164,44016900005
110;1;2;110;402,573684210526;138,885277871664
111;1;2;111;406,589473684211;121,107962304091
112,001;1;3;112;410,605263157895;135,40158890435
113;1;0;113;414,621052631579;137,996425892569
114;1;1;114;418,636842105263;143,329622688657
115;1;0;115;422,652631578947;123,33014045303
116;1;1;116;426,668421052632;149,996116767199
117;1;0;117;430,684210526316;134,440963917267
118;1;0;118;434,7;128,885566505397
119;1;0;119;438,715789473684;127,123844048872
120;1;1;120;442,731578947368;118,88582427653
121;1;0;121;446,747368421053;138,885308734264
122;1;0;122;450,763157894737;122,219071686152
123;1;0;123;454,778947368421;129,996663418972
124;1;0;124;458,794736842105;146,66290231884
125,001;1;2;125;462,81052631579;124,44125045235
126;1;2;126;466,826315789474;126,663415638999
127;1;2;127;470,842105263158;133,329911198946
128;1;0;128;474,857894736842;124,44125045235
129,001;1;1;129;478,873684210526;118,753905283217
130;1;2;130;482,889473684211;124,120943447295
131;1;0;131;486,905263157895;144,440769229316
132;1;1;132;490,921052631579;139,996422313652
133;1;1;133;494,936842105263;127,774512429127
134;1;0;134;498,952631578947;128,885609466159
135;1;0;135;502,968421052632;136,51151374732
136;1;2;136;506,984210526316;132,128772701875
137;1;1;137;511;145,551852069542
138;1;1;138;515,015789473684;147,774017749993
139;1;3;139;519,031578947368;134,4410386048
140;1;0;140;523,047368421053;144,440785277884
141;1;0;141;527,063157894737;157,773780841996
142;1;0;142;531,078947368421;118,885877113335
143;1;0;143;535,094736842105;128,88562378642
144;1;0;144;539,110526315789;134,441053542316
145;1;0;145;543,126315789474;124,441305758177
146;1;0;146;547,142105263158;155,551632197721
147;1;0;147;551,157894736842;114,441557974038
148;1;1;148;555,173684210526;152,218382936341
149,001;1;0;149;559,189473684211;143,011921983782
150;1;0;150;563,205263157895;149,294842384225
151;1;0;151;567,221052631579;138,7312593491
152,001;1;0;152;571,236842105263;139,135643338691
153;1;0;153;575,252631578947;121,10806995291
154;1;0;154;579,268421052632;136,511559199514
155;1;0;155;583,284210526316;135,552166751387
156;1;1;156;587,3;139,996500087498
157;1;0;157;591,315789473684;133,330000083331
158;1;0;158;595,331578947368;151,996200094998
159;1;0;159;599,347368421053;146,142503555217
160;1;0;160;603,363157894737;152,218416761803
161;1;0;161;607,378947368421;144,440849472191
162;1;0;162;611,394736842105;126,663514152537
163,002;1;0;163;615,410526315789;132,218931439929
164;1;0;164;619,426315789474;155,551684046975
165;1;0;165;623,442105263158;155,551701330067
166;1;0;166;627,457894736842;143,329766014713
167;1;0;167;631,473684210526;142,218698358918
168;1;0;168;635,489473684211;148,719959539292
169;1;0;169;639,505263157895;156,152295333639
170;1;0;170;643,521052631579;122,219193902196
171;1;0;171;647,536842105263;146,663048978125
172;1;0;172;651,552631578947;129,996793412429
173;1;1;173;655,568421052632;155,551718613163
174;1;0;174;659,584210526316;152,218467500024
175;1;1;175;663,6;117,774872664252
176;1;0;176;667,615789473684;138,885478478806
177;1;0;177;671,631578947368;144,440881569366
178;1;0;178;675,647368421053;138,885478478806
179;1;0;179;679,663157894737;144,440897617959
180;1;0;180;683,678947368421;133,182082881208
181;1;0;181;687,694736842105;145,551981445789
182;1;0;182;691,710526315789;136,663326007586
183;1;0;183;695,726315789474;125,413128046471
184;1;1;184;699,742105263158;148,847520599897
185;1;0;185;703,757894736842;132,261295415222
186;1;0;186;707,773684210526;125,552486494775
187;1;0;187;711,789473684211;136,663326007586
188;1;0;188;715,805263157895;134,441173042567
189;1;0;189;719,821052631579;149,996350088815
190;1;0;190;723,836842105263;117,774911921588
191;1;0;191;727,852631578947;137,774425266763
192;1;0;192;731,868421052632;143,329845640423
193;1;0;193;735,884210526316;136,663356376479
194;1;0;194;739,9;123,330332295247
195;1;0;195;743,915789473684;135,552272178296
196;1;0;196;747,931578947368;149,829893128002
197;1;0;197;751,947368421053;144,440945763758
198;1;0;198;755,963157894737;111,108419818276
199;1;0;199;759,978947368421;123,120152957271
200;1;0;200;763,994736842105;172,218050718327
201;1;0;201;768,01052631579;135,552287239297
202;1;1;202;772,026315789474;142,218793169098
203;1;0;203;776,042105263158;162,218310958502
204;1;0;204;780,057894736842;134,441202917663
205;1;0;205;784,073684210526;149,996400086398
206;1;0;206;788,089473684211;134,441202917663
207;1;0;207;792,105263157895;129,996880074878
208;1;0;208;796,121052631579;123,330373404372
209;1;0;209;800,136842105263;139,996640080638
210;1;0;210;804,152631578947;148,885315641313
211;1;0;211;808,168421052632;129,996894518631
212;1;0;212;812,184210526316;148,885332183731
213;1;0;213;816,2;139,996655635449
214;1;0;214;820,215789473684;131,107979087166
215;1;0;215;824,231578947368;128,885809950096
216;1;0;216;828,247368421053;142,218824772519
217;1;0;217;832,263157894737;133,330163038346
218;1;0;218;836,278947368421;136,511725857818
219;1;0;219;840,294736842105;121,118235621614
220;1;0;220;844,31052631579;158,885110954028
221;1;0;221;848,326315789474;152,218602802111
222;1;0;222;852,342105263158;153,159514302324
223;1;0;223;856,357894736842;149,996433418139
224;1;0;224;860,373684210526;131,108008221583
225;1;0;225;864,389473684211;132,21909303702
226;1;0;226;868,405263157895;138,885586498277
227;1;0;227;872,421052631579;148,885381811006
228;1;0;228;876,436842105263;145,552110822266
229;1;1;229;880,452631578947;129,996923406146
230;1;0;230;884,468421052632;152,218636627671
231;1;0;231;888,484210526316;152,218619714889
232;1;0;232;892,5;133,330192666573
233;1;0;233;896,515789473684;129,996937849908
234;1;0;234;900,531578947368;133,330192666573
235;1;0;235;904,547368421053;136,663447483237
236;1;0;236;908,563157894737;129,996952293674
237;1;0;237;912,578947368421;135,552377605369
238;1;0;238;916,594736842105;116,147705811799
239;1;0;239;920,610526315789;140,558960819491
240;1;0;240;924,626315789474;128,742823003812
241;1;0;241;928,642105263158;129,126104553707
242;1;0;242;932,657894736842;113,330676358588
243;1;0;243;936,673684210526;109,997433393221
244;1;0;244;940,689473684211;156,663011196405
245;1;0;245;944,705263157895;127,774796365863
246;1;0;246;948,721052631579;134,441307480603
247;1;0;247;952,736842105263;138,885648223764
248;1;0;248;956,752631578947;128,885881551653
249;1;1;249;960,768421052632;118,886128088803
250;1;0;250;964,784210526316;152,218670453245
251;1;0;251;968,8;153,329772675279
252;1;0;252;972,815789473684;137,774578345903
253;1;0;253;976,831578947368;136,663493036662
254;1;0;254;980,847368421053;144,441106249989
255;1;0;255;984,863157894737;127,774810562732
256;1;0;256;988,878947368421;137,774593653836
257;1;0;257;992,894736842105;145,552175510591
258;1;0;258;996,910526315789;185,345332760354
259;1;1;259;1000,92631578947;163,15939040849
260,001;1;0;260;1004,94210526316;124,441568461529
261;1;1;261;1008,95789473684;134,143248137959
262;1;0;262;1012,97368421053;130,257519115291
263;1;0;263;1016,98947368421;121,108325619622
264;1;0;264;1021,00526315789;160,928600197532
265;1;0;265;1025,02105263158;131,128112165586
266;1;0;266;1029,03684210526;156,663063416208
267;1;0;267;1033,05263157895;131,108095624912
268;1;0;268;1037,06842105263;113,330726726619
269;1;0;269;1041,08421052632;156,663080822817
270;1;0;270;1045,1;134,441367230928
271;1;0;271;1049,11578947368;146,663293410918
272;1;0;272;1053,13157894737;139,9967956289
273;1;0;273;1057,14736842105;102,219882522689
274;1;0;274;1061,16315789474;133,330296365472
275;1;0;275;1065,17894736842;124,441596114578
276;1;0;276;1069,19473684211;155,552012426384
277;1;0;277;1073,21052631579;133,330281551333
278;1;0;278;1077,22631578947;162,218527244657
279;1;0;279;1081,24210526316;135,552467971563
280;1;0;280;1085,25789473684;139,996811183745
281;1;0;281;1089,27368421053;142,06114067327
282;1;0;282;1093,28947368421;131,128151542503
283;1;0;283;1097,30526315789;138,885740812097
284;1;0;284;1101,32105263158;120,117390725956
285;1;0;285;1105,33684210526;134,44139710611
286;1;0;286;1109,35263157895;136,511892516529
287;1;0;287;1113,36842105263;136,133056449374
288;1;0;288;1117,38421052632;145,552256371078
289;1;0;289;1121,4;162,218545268529
290;1;0;290;1125,41578947368;134,441412043706
291;1;1;291;1129,43157894737;123,330537841142
292;1;0;292;1133,44736842105;141,107928343394
293;1;0;293;1137,46315789474;154,44096094277
294;1;0;294;1141,47894736842;135,161790311317
295;1;1;295;1145,49473684211;116,664035244538
296;1;0;296;1149,51052631579;142,2190301951
297;1;0;297;1153,52631578947;145,552272543186
298;1;0;298;1157,54210526316;139,996857848302
299;1;0;299;1161,55789473684;138,885771674902
300;1;0;300;1165,57368421053;139,996857848302
;;0;301;1169,58947368421;
;;1;302;1173,60526315789;
;;0;303;1177,62105263158;
;;1;304;1181,63684210526;
;;0;305;1185,65263157895;
;;0;306;1189,66842105263;
;;0;307;1193,68421052632;
;;0;308;1197,7;
;;0;309;1201,71578947368;
;;0;310;1205,73157894737;
;;0;311;1209,74736842105;
;;0;312;1213,76315789474;
;;0;313;1217,77894736842;
;;0;314;1221,79473684211;
;;0;315;1225,81052631579;
;;0;316;1229,82631578947;
;;0;317;1233,84210526316;
;;1;318;1237,85789473684;
;;0;319;1241,87368421053;
;;0;320;1245,88947368421;
;;1;321;1249,90526315789;
;;0;322;1253,92105263158;
;;0;323;1257,93684210526;
;;0;324;1261,95263157895;
;;0;325;1265,96842105263;
;;0;326;1269,98421052632;
;;0;327;1274;
;;0;328;1278,01578947368;
;;0;329;1282,03157894737;
;;0;330;1286,04736842105;
;;0;331;1290,06315789474;
;;0;332;1294,07894736842;
;;0;333;1298,09473684211;
;;0;334;1302,11052631579;
;;0;335;1306,12631578947;
;;0;336;1310,14210526316;
;;0;337;1314,15789473684;
;;0;338;1318,17368421053;
;;0;339;1322,18947368421;
;;0;340;1326,20526315789;
;;0;341;1330,22105263158;
;;0;342;1334,23684210526;
;;0;343;1338,25263157895;
;;0;344;1342,26842105263;
;;0;345;1346,28421052632;
;;0;346;1350,3;
;;0;347;1354,31578947368;
;;0;348;1358,33157894737;
;;0;349;1362,34736842105;
;;0;350;1366,36315789474;
;;0;351;1370,37894736842;
;;0;352;1374,39473684211;
;;0;353;1378,41052631579;
;;0;354;1382,42631578947;
;;0;355;1386,44210526316;
;;0;356;1390,45789473684;
;;1;357;1394,47368421053;
;;0;358;1398,48947368421;
;;0;359;1402,50526315789;
;;0;360;1406,52105263158;
;;0;361;1410,53684210526;
;;0;362;1414,55263157895;
;;0;363;1418,56842105263;
;;0;364;1422,58421052632;
;;0;365;1426,6;
;;0;366;1430,61578947368;
;;0;367;1434,63157894737;
;;1;368;1438,64736842105;
;;1;369;1442,66315789474;
;;0;370;1446,67894736842;
;;0;371;1450,69473684211;
;;0;372;1454,71052631579;
;;1;373;1458,72631578947;
;;0;374;1462,74210526316;
;;1;375;1466,75789473684;
;;0;376;1470,77368421053;
;;0;377;1474,78947368421;
;;0;378;1478,80526315789;
;;0;379;1482,82105263158;
;;0;380;1486,83684210526;
;;0;381;1490,85263157895;
;;0;382;1494,86842105263;
;;0;383;1498,88421052632;
;;0;384;1502,9;
;;0;385;1506,91578947368;
;;0;386;1510,93157894737;
;;0;387;1514,94736842105;
;;1;388;1518,96315789474;
;;0;389;1522,97894736842;
;;0;390;1526,99473684211;
;;1;391;1531,01052631579;
;;0;392;1535,02631578947;
;;0;393;1539,04210526316;
;;0;394;1543,05789473684;
;;0;395;1547,07368421053;
;;0;396;1551,08947368421;
;;0;397;1555,10526315789;
;;0;398;1559,12105263158;
;;0;399;1563,13684210526;
;;0;400;1567,15263157895;
;;0;401;1571,16842105263;
;;0;402;1575,18421052632;
;;0;403;1579,2;
;;0;404;1583,21578947368;
;;0;405;1587,23157894737;
;;0;406;1591,24736842105;
;;0;407;1595,26315789474;
;;0;408;1599,27894736842;
;;0;409;1603,29473684211;
;;0;410;1607,31052631579;
;;0;411;1611,32631578947;
;;0;412;1615,34210526316;
;;0;413;1619,35789473684;
;;0;414;1623,37368421053;
;;0;415;1627,38947368421;
;;0;416;1631,40526315789;
;;0;417;1635,42105263158;
;;0;418;1639,43684210526;
;;0;419;1643,45263157895;
;;0;420;1647,46842105263;
;;0;421;1651,48421052632;
;;0;422;1655,5;
;;0;423;1659,51578947368;
;;0;424;1663,53157894737;
;;0;425;1667,54736842105;
;;0;426;1671,56315789474;
;;0;427;1675,57894736842;
;;0;428;1679,59473684211;
;;0;429;1683,61052631579;
;;0;430;1687,62631578947;
;;0;431;1691,64210526316;
;;0;432;1695,65789473684;
;;1;433;1699,67368421053;
;;0;434;1703,68947368421;
;;0;435;1707,70526315789;
;;0;436;1711,72105263158;
;;0;437;1715,73684210526;
;;0;438;1719,75263157895;
;;0;439;1723,76842105263;
;;0;440;1727,78421052632;
;;0;441;1731,8;
;;1;442;1735,81578947368;
;;0;443;1739,83157894737;
;;0;444;1743,84736842105;
;;0;445;1747,86315789474;
;;0;446;1751,87894736842;
;;0;447;1755,89473684211;
;;0;448;1759,91052631579;
;;0;449;1763,92631578947;
;;0;450;1767,94210526316;
;;0;451;1771,95789473684;
;;0;452;1775,97368421053;
;;0;453;1779,98947368421;
;;0;454;1784,00526315789;
;;0;455;1788,02105263158;
;;0;456;1792,03684210526;
;;0;457;1796,05263157895;
;;1;458;1800,06842105263;
;;0;459;1804,08421052632;
;;0;460;1808,1;
;;0;461;1812,11578947368;
;;0;462;1816,13157894737;
;;0;463;1820,14736842105;
;;0;464;1824,16315789474;
;;0;465;1828,17894736842;
;;0;466;1832,19473684211;
;;0;467;1836,21052631579;
;;1;468;1840,22631578947;
;;0;469;1844,24210526316;
;;0;470;1848,25789473684;
;;0;471;1852,27368421053;
;;0;472;1856,28947368421;
;;0;473;1860,30526315789;
;;0;474;1864,32105263158;
;;0;475;1868,33684210526;
;;0;476;1872,35263157895;
;;0;477;1876,36842105263;
;;0;478;1880,38421052632;
;;0;479;1884,4;
;;0;480;1888,41578947368;
;;0;481;1892,43157894737;
;;0;482;1896,44736842105;
;;0;483;1900,46315789474;
;;1;484;1904,47894736842;
;;0;485;1908,49473684211;
;;0;486;1912,51052631579;
;;0;487;1916,52631578947;
;;0;488;1920,54210526316;
;;0;489;1924,55789473684;
;;0;490;1928,57368421053;
;;0;491;1932,58947368421;
;;0;492;1936,60526315789;
;;0;493;1940,62105263158;
;;0;494;1944,63684210526;
;;0;495;1948,65263157895;
;;0;496;1952,66842105263;
;;0;497;1956,68421052632;
;;0;498;1960,7;
;;1;499;1964,71578947368;
