Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0;-39,1631578947369;
1;1;203;1;-35,1473684210526;0
2;1;539;2;-31,1315789473684;1,11110123465569
3;1;913;3;-27,1157894736842;0
4;1;1372;4;-23,1;0
5;1;1784;5;-19,0842105263158;0
6;1;2013;6;-15,0684210526316;0
7;1;2122;7;-11,0526315789474;0
8;1;2413;8;-7,03684210526319;0
9;1;2335;9;-3,02105263157898;1,11110123465569
10;1;1569;10;0,994736842105283;5,55550555600555
11;1;747;11;5,01052631578949;0
12;1;490;12;9,0263157894737;2,21973587140893
13;1;407;13;13,0421052631579;0
14;1;511;14;17,0578947368421;3,33330333360333
15;1;869;15;21,0736842105263;1,11110111120111
16;1;1765;16;25,0894736842105;3,33330370396708
17;1;4282;17;29,1052631578947;4,44440444480444
18;1;7970;18;33,1210526315789;1,11110111120111
19;1;9464;19;37,1368421052632;1,11110111120111
20;1;6863;20;41,1526315789474;4,00396793222083
21;1;3110;21;45,1684210526316;4,44440444480444
22;1;907;22;49,1842105263158;3,33330296323967
23;1;283;23;53,2;3,33330333360333
24;1;180;24;57,2157894736842;3,33330296323967
25;1;161;25;61,2315789473684;0
26;1;148;26;65,2473684210526;3,33330296323967
27;1;152;27;69,2631578947368;7,77770691422589
28;1;126;28;73,278947368421;8,87894250019034
29;1;129;29;77,2947368421052;11,0109118136073
30;1;140;30;81,3105263157894;9,99990888971901
31;1;143;31;85,3263157894737;1,11110098774656
32,001;1;131;32;89,3421052631579;9,99990777862826
33;1;136;33;93,3578947368421;17,7578850003807
34;1;117;34;97,3736842105263;8,00793506285378
35;1;127;35;101,389473684211;12,1815048654592
36;1;146;36;105,405263157895;10,0299987231812
37;1;121;37;109,421052631579;14,4443128407052
38;1;122;38;113,436842105263;13,3332103715044
39;1;100;39;117,452631578947;17,7776138286725
40;1;104;40;121,468421052632;25,5553198787167
41;1;111;41;125,484210526316;19,999817779438
42;1;112;42;129,5;23,3331181501326
43;1;113;43;133,515789473684;12,2221095072123
44;1;87;44;137,531578947368;23,3331181501326
45;1;100;45;141,547368421053;17,7776138286725
46;1;91;46;145,563157894737;21,1109164215486
47;1;87;47;149,578947368421;37,777429385929
48;1;89;48;153,594736842105;63,3327492646457
49;1;84;49;157,610526315789;65,5549437094143
50;1;70;50;161,626315789474;76,66595963615
51;1;81;51;165,642105263158;54,4439423503094
52;1;76;52;169,657894736842;84,3499350283527
53;1;86;53;173,673684210526;105,554582107743
54;1;79;54;177,689473684211;128,126935354856
55;1;88;55;181,705263157895;150,941988998105
56;1;72;56;185,721052631579;118,998893310292
57;1;65;57;189,736842105263;150,148752368972
58;1;67;58;193,752631578947;158,88742359376
59;1;62;59;197,768421052632;172,220614829817
60;1;66;60;201,784210526316;172,220614829817
61;1;65;61;205,8;179,99832001568
62;1;66;62;209,815789473684;192,220428164893
63;1;38;63;213,831578947368;197,775909894184
64;1;50;64;217,847368421053;192,220428164893
65;1;58;65;221,863157894737;214,442442981643
66,001;1;55;66;225,878947368421;213,331342240806
67;1;57;67;229,894736842105;221,109022859229
68;1;45;68;233,910526315789;197,77593186908
69;1;39;69;237,926315789474;235,291897912173
70;1;40;70;241,942105263158;244,442162984257
71;1;40;71;245,957894736842;227,775626563527
72;1;37;72;249,973684210526;248,886538293805
73;1;33;73;253,989473684211;228,88672718091
74;1;37;74;258,005263157895;264,148451429703
75;1;28;75;262,021052631579;224,997885019881
76;1;36;76;266,036842105263;213,094549052534
77;1;29;77;270,052631578947;207,998024018772
78;1;29;78;274,068421052632;240,478696894037
79;1;28;79;278,084210526316;229,997827798293
80;1;24;80;282,1;242,219934589507
81;1;29;81;286,115789473684;252,219812121795
82;1;31;82;290,131578947368;248,886538293805
83;1;27;83;294,147368421053;197,775887919293
84;1;26;84;298,163157894737;203,3314129811
85;1;26;85;302,178947368421;254,442013109653
86;1;25;86;306,194736842105;271,91749335134
87;1;24;87;310,210526315789;244,241921623368
88;1;26;88;314,226315789474;273,330751876232
89;1;20;89;318,242105263158;249,720146955312
90;1;28;90;322,257894736842;242,239914411233
91;1;20;91;326,273684210526;248,886538293805
92;1;20;92;330,289473684211;252,219812121795
93;1;18;93;334,305263157895;234,442204218937
94;1;17;94;338,321052631579;231,962244093758
95;1;20;95;342,336842105263;258,25580237225
96;1;16;96;346,352631578947;248,88648298622
97;1;11;97;350,368421052632;268,886319530725
98;1;14;98;354,384210526316;271,108520518582
99;1;20;99;358,4;225,553375206262
100;1;20;100;362,415789473684;213,331294834294
