Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0;-39,1631578947369;
1;1;48;1;-35,1473684210526;103,102383993189
2;1;102;2;-31,1315789473684;165,552612398002
3;1;123;3;-27,1157894736842;167,774795114754
4;1;127;4;-23,1;143,330801155846
5;1;107;5;-19,0842105263158;125,553323496471
6;1;122;6;-15,0684210526316;162,219338322874
7;1;148;7;-11,0526315789474;173,330271165209
8;1;160;8;-7,03684210526319;141,10861819219
9;1;153;9;-3,02105263157898;115,553501271089
10;1;170;10;0,994736842105283;153,160449221817
11;1;171;11;5,01052631578949;132,997645941667
12;1;165;12;9,0263157894737;151,14847314517
13;1;165;13;13,0421052631579;156,663898937785
14;1;152;14;17,0578947368421;169,996996719725
15;1;180;15;21,0736842105263;144,441892637675
16;1;204;16;25,0894736842105;153,330641528738
17;1;232;17;29,1052631578947;149,997350046816
18;1;253;18;33,1210526315789;152,219533010472
19;1;265;19;37,1368421052632;151,108441528644
20;1;311;20;41,1526315789474;112,220252133351
21;1;395;21;45,1684210526316;152,219533010472
22;1;389;22;49,1842105263158;149,997366712895
23;1;458;23;53,2;128,743566012542
24;1;451;24;57,2157894736842;129,126854221587
25;1;458;25;61,2315789473684;165,552649186825
26;1;397;26;65,2473684210526;157,774990419614
27;1;408;27;69,2631578947368;163,330465976264
28;1;423;28;73,278947368421;156,663898937785
29;1;407;29;77,2947368421052;142,139652208295
30;1;430;30;81,3105263157894;169,997015607948
31;1;446;31;85,3263157894737;134,442084238966
32;1;416;32;89,3421052631579;136,664267449527
33;1;449;33;93,3578947368421;146,664091897053
34;1;449;34;97,3736842105263;134,442084238966
35;1;429;35;101,389473684211;129,997717817843
36;1;464;36;105,405263157895;173,137918336171
37;1;444;37;109,421052631579;149,997375045937
38;1;488;38;113,436842105263;143,171740162603
39;1;453;39;117,452631578947;152,219549923457
40;1;456;40;121,468421052632;155,552824739299
41;1;485;41;125,484210526316;153,330658565178
42;1;460;42;129,5;158,886099555141
43;1;456;43;133,515789473684;135,402746034281
44;1;463;44;137,531578947368;143,14063567455
45;1;482;45;141,547368421053;156,663933751378
46;1;462;46;145,563157894737;165,552649186825
47;1;497;47;149,578947368421;144,121659966672
48;1;471;48;153,594736842105;143,284060650239
49;1;480;49;157,610526315789;157,775025480111
50;1;541;50;161,626315789474;148,886291650246
51;1;459;51;165,642105263158;132,219915719248
52;1;447;52;169,657894736842;148,886291650246
53;1;425;53;173,673684210526;156,490058941259
54;1;426;54;177,689473684211;130,127863638812
55,001;1;446;55;181,705263157895;127,775548804315
56;1;390;56;185,721052631579;153,330658565178
57;1;402;57;189,736842105263;145,553016464046
58;1;393;58;193,752631578947;147,611206731604
59;1;364;59;197,768421052632;163,160321331741
60;1;358;60;201,784210526316;172,219217953642
61;1;324;61;205,8;139,997573375395
62;1;346;62;209,815789473684;142,219757079766
63;1;341;63;213,831578947368;131,108823990515
64;1;305;64;217,847368421053;147,775216340695
65;1;312;65;221,863157894737;135,553190905448
66;1;300;66;225,878947368421;133,331022262281
67;1;304;67;229,894736842105;132,219930410095
68;1;276;68;233,910526315789;144,441940784138
69;1;286;69;237,926315789474;135,553190905448
70;1;278;70;241,942105263158;175,552512645336
71;1;276;71;245,957894736842;154,441767453809
72;1;278;72;249,973684210526;141,108665227581
73;1;272;73;253,989473684211;137,775389671024
74;1;281;74;258,005263157895;159,997226714737
75;1;240;75;262,021052631579;157,775060540624
76;1;229;76;266,036842105263;162,039369795595
77;1;227;77;270,052631578947;143,140664330838
78,001;1;253;78;274,068421052632;161,108318566923
79;1;217;79;278,084210526316;158,886134862551
80;1;224;80;282,1;153,330675601623
81;1;239;81;286,115789473684;147,77523275988
82;1;223;82;290,131578947368;155,552859305994
83;1;246;83;294,147368421053;126,664485222755
84;1;201;84;298,163157894737;148,88630819288
85,003;1;222;85;302,178947368421;181,107992029026
86;1;208;86;306,194736842105;138,732337153763
87;1;214;87;310,210526315789;167,331785464218
88;1;191;88;314,226315789474;176,663624126473
89;1;186;89;318,242105263158;131,108853125307
90;1;174;90;322,257894736842;139,997588930413
91;1;185;91;326,273684210526;145,553032636323
92;1;166;92;330,289473684211;147,77523275988
93;1;148;93;334,305263157895;129,997761149669
94;1;159;94;338,321052631579;158,886170169977
95;1;145;95;342,336842105263;146,664140784242
96;1;134;96;346,352631578947;141,904419391416
97;1;125;97;350,368421052632;136,270210199805
98;1;161;98;354,384210526316;139,842211371502
99;1;125;99;358,4;131,108853125307
100;1;142;100;362,415789473684;158,886170169977
101,001;1;132;101;366,431578947368;128,886669174031
102;1;126;102;370,447368421053;143,330880782707
103;1;129;103;374,463157894737;143,330864857327
104;1;127;104;378,478947368421;139,997604485434
105;1;127;105;382,494736842105;149,997416711157
106;1;113;106;386,510526315789;156,663985971796
107;1;115;107;390,526315789474;144,441972881797
108;1;110;108;394,542105263158;138,886496954775
109;1;100;109;398,557894736842;158,886170169977
110;1;104;110;402,573684210526;138,886512386344
111;1;100;111;406,589473684211;159,9972444919
112;1;120;112;410,605263157895;139,997604485434
113;1;116;113;414,621052631579;143,330880782707
114;1;92;114;418,636842105263;146,664157079979
115;1;94;115;422,652631578947;128,886683494527
116;1;117;116;426,668421052632;153,330709674523
117;1;103;117;430,684210526316;134,442143989981
118;1;96;118;434,7;139,997604485434
119;1;105;119;438,715789473684;133,33105189089
120;1;76;120;442,731578947368;146,664157079979
121;1;81;121;446,747368421053;136,664328188162
122;1;70;122;450,763157894737;153,160551213725
123;1;93;123;454,778947368421;152,149547790523
124;1;117;124;458,794736842105;144,441988930633
125;1;110;125;462,81052631579;165,552722764522
126;1;133;126;466,826315789474;158,886187823696
127;1;154;127;470,842105263158;139,997604485434
128;1;205;128;474,857894736842;125,553407197255
129;1;219;129;478,873684210526;142,219804485546
130;1;258;130;482,889473684211;149,997450043349
131;1;310;131;486,905263157895;153,330709674523
132;1;406;132;490,921052631579;142,219804485546
133;1;466;133;494,936842105263;147,775265598263
134;1;459;134;498,952631578947;134,292947078701
135;1;489;135;502,968421052632;164,161370627327
136;1;506;136;506,984210526316;164,441648936413
137;1;517;137;511;145,391521609953
138;1;477;138;515,015789473684;151,997416043927
139;1;449;139;519,031578947368;130,127928766771
140;1;382;140;523,047368421053;154,441818933523
141;1;350;141;527,063157894737;174,441478939302
142;1;252;142;531,078947368421;138,732383345766
143;1;238;143;535,094736842105;152,149578250378
144;1;182;144;539,110526315789;138,886527817916
145;1;175;145;543,126315789474;162,159418924745
146;1;110;146;547,142105263158;149,997450043349
147;1;100;147;551,157894736842;134,442158927743
148;1;97;148;555,173684210526;153,16056821239
149;1;72;149;559,189473684211;141,138739380811
150;1;46;150;563,205263157895;134,442173865508
151;1;40;151;567,221052631579;138,886527817916
152;1;43;152;571,236842105263;167,774944245386
153;1;37;153;575,252631578947;152,050692146959
154;1;29;154;579,268421052632;171,108221283374
155;1;29;155;583,284210526316;129,997804481524
156;1;36;156;587,3;138,886527817916
157;1;29;157;591,315789473684;158,886205477419
158;1;29;158;595,331578947368;138,886543249492
159;1;31;159;599,347368421053;135,553266211504
160;1;11;160;603,363157894737;133,331081519512
161;1;26;161;607,378947368421;156,490145782224
162;1;25;162;611,394736842105;162,219482515406
163;1;29;163;615,410526315789;128,886712135528
164;1;29;164;619,426315789474;144,442004979471
165;1;42;165;623,442105263158;166,663870417285
166;1;27;166;627,457894736842;144,442004979471
167;1;24;167;631,473684210526;146,664189671463
168;1;29;168;635,489473684211;153,330743747439
169;1;27;169;639,505263157895;144,442021028314
170;1;26;170;643,521052631579;117,775788675569
171;1;26;171;647,536842105263;143,330928558865
172;1;34;172;651,552631578947;136,6643585575
173;1;25;173;655,568421052632;152,990786961327
174;1;29;174;659,584210526316;154,306019698266
175;1;36;175;663,6;135,553266211504
176;1;24;176;667,615789473684;135,553281272725
