Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,counts,
2026-04-30,13:20:11.070962,1777548011.070962,s,4e-06,s,13,Ct
2026-04-30,13:30:11.071671,1777548611.071671,s,600.000713,s,1088,Ct
2026-04-30,13:40:11.071678,1777549211.071678,s,1200.00072,s,2105,Ct
2026-04-30,13:50:11.071961,1777549811.071961,s,1800.001003,s,3109,Ct
2026-04-30,14:00:11.071896,1777550411.071896,s,2400.000938,s,4123,Ct
2026-04-30,14:10:11.072219,1777551011.072219,s,3000.001261,s,5151,Ct
2026-04-30,14:20:11.072140,1777551611.07214,s,3600.001182,s,6222,Ct
2026-04-30,14:30:11.072445,1777552211.072445,s,4200.001487,s,7206,Ct
2026-04-30,14:40:11.072391,1777552811.072391,s,4800.001433,s,8215,Ct
2026-04-30,14:50:11.072704,1777553411.072704,s,5400.001746,s,9240,Ct
2026-04-30,15:00:11.072635,1777554011.072635,s,6000.001677,s,10218,Ct
2026-04-30,15:10:11.072931,1777554611.072931,s,6600.001973,s,11185,Ct
2026-04-30,15:20:11.072885,1777555211.072885,s,7200.001927,s,12103,Ct
2026-04-30,15:30:11.073186,1777555811.073186,s,7800.002228,s,13032,Ct
2026-04-30,15:40:11.073146,1777556411.073146,s,8400.002188,s,14018,Ct
2026-04-30,15:50:11.073498,1777557011.073498,s,9000.00254,s,14977,Ct
2026-04-30,16:00:11.073755,1777557611.073755,s,9600.002797,s,15947,Ct
2026-04-30,16:10:11.073842,1777558211.073842,s,10200.002884,s,16842,Ct
2026-04-30,16:20:11.074088,1777558811.074088,s,10800.00313,s,17720,Ct
2026-04-30,16:30:11.074101,1777559411.074101,s,11400.003143,s,18632,Ct
2026-04-30,16:40:11.074414,1777560011.074414,s,12000.003456,s,19499,Ct
2026-04-30,16:50:11.074474,1777560611.074474,s,12600.003516,s,20346,Ct
2026-04-30,17:00:11.074732,1777561211.074732,s,13200.003774,s,21199,Ct
2026-04-30,17:10:11.074815,1777561811.074815,s,13800.003857,s,22039,Ct
