bin_start_s,bin_end_s,bin_center_s,dt_s,expected_counts,counts
0,10,5,10,47.2,50
10,20,15,10,42.1,39
20,30,25,10,37.5,36
30,40,35,10,33.4,35
40,50,45,10,29.8,31
50,60,55,10,26.5,26
60,70,65,10,23.6,25
70,80,75,10,21.0,20
80,90,85,10,18.8,19
90,100,95,10,16.7,15
100,110,105,10,14.9,17
110,120,115,10,13.3,12
120,130,125,10,11.8,13
130,140,135,10,10.6,9
140,150,145,10,9.4,8
150,160,155,10,8.4,7
160,170,165,10,7.5,6
170,180,175,10,6.7,7
180,190,185,10,5.9,6
190,200,195,10,5.3,4
200,210,205,10,4.7,6
210,220,215,10,4.2,4
220,230,225,10,3.8,3
230,240,235,10,3.3,4
240,250,245,10,3.0,2
250,260,255,10,2.6,3
260,270,265,10,2.4,3
270,280,275,10,2.1,1
280,290,285,10,1.9,2
290,300,295,10,1.7,2
