Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,counts,
2026-03-09,13:21:15.825965,1773058875.825965,s,5e-06,s,7041,Ct
2026-03-09,13:31:15.826350,1773059475.82635,s,600.00039,s,8007,Ct
2026-03-09,13:41:15.826366,1773060075.826366,s,1200.000406,s,8984,Ct
2026-03-09,13:51:15.826624,1773060675.826624,s,1800.000664,s,9929,Ct
2026-03-09,14:01:15.826643,1773061275.826643,s,2400.000683,s,10859,Ct
2026-03-09,14:11:15.826878,1773061875.826878,s,3000.000918,s,11788,Ct
2026-03-09,14:21:15.826893,1773062475.826893,s,3600.000933,s,12735,Ct
2026-03-09,14:31:15.827145,1773063075.827145,s,4200.001185,s,13666,Ct
2026-03-09,14:41:15.827111,1773063675.827111,s,4800.001151,s,14532,Ct
2026-03-09,14:51:15.827370,1773064275.82737,s,5400.00141,s,15421,Ct
2026-03-09,15:01:15.827267,1773064875.827267,s,6000.001307,s,16275,Ct
2026-03-09,15:11:15.827590,1773065475.82759,s,6600.00163,s,17121,Ct
2026-03-09,15:21:15.827499,1773066075.827499,s,7200.001539,s,17986,Ct
2026-03-09,15:31:15.827859,1773066675.827859,s,7800.001899,s,18883,Ct
2026-03-09,15:41:15.827741,1773067275.827741,s,8400.001781,s,19705,Ct
2026-03-09,15:51:15.828063,1773067875.828063,s,9000.002103,s,20596,Ct
2026-03-09,16:01:15.827975,1773068475.827975,s,9600.002015,s,21420,Ct
2026-03-09,16:11:15.828269,1773069075.828269,s,10200.002309,s,22206,Ct
2026-03-09,16:21:15.828230,1773069675.82823,s,10800.00227,s,23008,Ct
2026-03-09,16:31:15.828495,1773070275.828495,s,11400.002535,s,23817,Ct
2026-03-09,16:41:15.828456,1773070875.828456,s,12000.002496,s,24607,Ct
2026-03-10,13:39:31.086978,1773146371.086978,s,600.000421,s,322,Ct
2026-03-10,13:49:31.087032,1773146971.087032,s,1200.000475,s,664,Ct
2026-03-10,13:59:31.087334,1773147571.087334,s,1800.000777,s,977,Ct
2026-03-10,14:09:31.087282,1773148171.087282,s,2400.000725,s,1260,Ct
2026-03-10,14:19:31.087570,1773148771.08757,s,3000.001013,s,1569,Ct
2026-03-10,14:29:31.087508,1773149371.087508,s,3600.000951,s,1869,Ct
2026-03-10,14:39:31.087843,1773149971.087843,s,4200.001286,s,2148,Ct
2026-03-10,14:49:31.087716,1773150571.087716,s,4800.001159,s,2450,Ct
2026-03-10,14:59:31.088094,1773151171.088094,s,5400.001537,s,2765,Ct
2026-03-10,15:09:31.087954,1773151771.087954,s,6000.001397,s,3036,Ct
2026-03-10,15:19:31.088357,1773152371.088357,s,6600.0018,s,3307,Ct
2026-03-10,15:29:31.088156,1773152971.088156,s,7200.001599,s,3585,Ct
2026-03-10,15:39:31.088602,1773153571.088602,s,7800.002045,s,3902,Ct
2026-03-10,15:49:31.088339,1773154171.088339,s,8400.001782,s,4175,Ct
2026-03-10,15:59:31.088799,1773154771.088799,s,9000.002242,s,4452,Ct
2026-03-10,16:09:31.088578,1773155371.088578,s,9600.002021,s,4702,Ct
2026-03-10,16:19:31.089044,1773155971.089044,s,10200.002487,s,4983,Ct
2026-03-10,16:29:31.088818,1773156571.088818,s,10800.002261,s,5294,Ct
2026-03-10,16:39:31.089298,1773157171.089298,s,11400.002741,s,5573,Ct
2026-03-10,16:49:31.089034,1773157771.089034,s,12000.002477,s,5839,Ct
2026-03-10,16:59:31.089505,1773158371.089505,s,12600.002948,s,6099,Ct
2026-03-10,17:09:31.089271,1773158971.089271,s,13200.002714,s,6357,Ct
2026-03-10,17:19:31.089793,1773159571.089793,s,13800.003236,s,6635,Ct
2026-03-10,17:29:31.089511,1773160171.089511,s,14400.002954,s,6893,Ct
