Zeit t / s,Spannungsquelle S_1,Ereignisse N_A,Kanal n_A,Energie E_A / keV,Rate R_A / 1/s
0,1,1,0,0,
1,1,406,1,1,93.9199536808887
2,1,1370,2,2,120.237023243921
3,1,1654,3,3,147.995767321055
4,1,1659,4,4,143.329224562229
5,1,1693,5,5,152.217858643608
6,1,1789,6,6,125.551970349291
7,1,1714,7,7,148.884637405354
8,1,1877,8,8,169.995145694173
9,1,1920,9,9,128.885222820329
10,1,1869,10,10,115.552268735467
11,1,1708,11,11,147.773574440549
12,1,1535,12,12,162.217608032483
13,1,1364,13,13,146.662494933477
14,1,1241,14,14,109.996883421636
15,1,1163,15,15,138.884953815197
16,1,1122,16,16,135.551714923633
17,1,1067,17,17,136.662794554154
18,1,911,18,18,133.329570476567
19,1,769,19,19,132.218490722595
20,1,707,20,20,128.885251460681
21,1,609,21,21,129.996331214652
22,1,532,22,22,117.513320578334
23,1,479,23,23,138.272673712561
24,1,466,24,24,142.218224309917
25,1,907,25,25,128.885265780862
26,1,1861,26,26,158.884440124565
27,1,2342,27,27,136.662824922811
28,1,1553,28,28,116.663400091464
29,1,580,29,29,129.996374545554
30,1,229,30,30,126.663120099304
31,1,166,31,31,105.552611810493
32,1,155,32,32,143.329336037406
33,1,148,33,33,147.77365653469
34,1,152,34,34,148.8847532013
35,1,157,35,35,147.77365653469
36,1,140,36,36,139.996111219133
37,1,153,37,37,175.355844732388
38,1,118,38,38,115.552358606967
39,1,109,39,39,141.107191466904
40,1,91,40,40,169.995296796789
41,1,102,41,41,126.663162319176
42,1,104,42,42,128.885337381814
43,1,129,43,43,138.885046402605
44,1,111,44,44,135.131415301381
45,1,114,45,45,132.218578865827
46,1,117,46,46,108.88588847774
47,1,121,47,47,137.773996646981
48.001,1,132,48,48,128.885337381814
49,1,100,49,49,151.106964064431
50,1,96,50,50,151.106980853634
51,1,106,51,51,145.551560973827
52,1,72,52,52,125.552123797505
53,1,60,53,53,137.773996646981
54,1,43,54,54,138.885092696355
55,1,32,55,55,149.995900112064
56,1,37,56,56,159.995626786201
57,1,29,57,57,147.773755047779
58,1,33,58,58,132.218622937487
59,1,40,59,59,132.071880398369
60,1,62,60,60,165.551067282176
61.001,1,116,61,61,124.120744660406
62,1,188,62,62,125.552151697221
63,1,208,63,63,161.106743328292
64,1,180,64,64,136.66296158193
65,1,114,65,65,129.996490094767
66,1,83,66,66,145.996043507221
67,1,33,67,67,154.440274557031
68,1,17,68,68,148.884868997426
69,1,17,69,69,138.885154421403
70,1,20,70,70,135.551895654373
71,1,14,71,71,136.662991950661
72,1,16,72,72,135.55191071529
73,1,12,73,73,142.996167702706
74,1,11,74,74,139.996235656775
75.001,1,15,75,75,147.446154992294
76,1,8,76,76,145.141251465927
77,1,6,77,77,112.219217240961
78,1,7,78,78,137.774088493853
79,1,3,79,79,132.218696390318
80.001,1,11,80,80,137.996315498376
81,1,5,81,81,134.130549263598
82,1,1,82,82,128.885466263729
83,1,3,83,83,146.662755659849
84,1,7,84,84,127.774384658007
85,1,2,85,85,128.885466263729
86,1,2,86,86,134.440859354862
87,1,2,87,87,124.44115366727
88,1,3,88,88,157.773588012496
89,1,2,89,89,149.996016772443
90,1,6,90,90,123.330071938098
