l,I
350,200
351,0
352,62.81758
353,63.81035
354,41.47863
355,24.87883
356,13.56544
357,13.9743
358,17.70715
359,22.35789
360,18.08443
361,15.73535
362,13.81489
363,14.30411
364,14.16874
365,10.54682
366,12.43844
367,15.08314
368,11.45113
369,13.38903
370,11.96315
371,12.21488
372,14.11879
373,11.32623
374,12.45454
375,12.0916
376,12.27129
377,13.18893
378,11.48286
379,11.60531
380,10.25344
381,8.57237
382,9.96965
383,9.52333
384,9.07005
385,8.50044
386,8.09635
387,8.30243
388,8.38342
389,8.04645
390,8.28919
391,8.44901
392,8.14571
393,8.10479
394,7.11999
395,7.21041
396,6.99304
397,6.50447
398,6.39089
399,6.36588
400,5.64806
401,5.79439
402,5.69493
403,5.91455
404,5.43107
405,5.36295
406,5.78914
407,5.86339
408,5.80973
409,5.84822
410,5.73964
411,5.86908
412,5.99349
413,6.12116
414,6.05984
415,5.69473
416,5.62985
417,5.58279
418,5.4357
419,5.51085
420,5.37622
421,5.22936
422,5.14379
423,5.08314
424,5.18572
425,5.32427
426,5.20592
427,5.07332
428,5.00373
429,5.13943
430,5.11692
431,5.02767
432,5.12175
433,5.07489
434,5.00818
435,5.12606
436,5.23205
437,5.29448
438,5.24077
439,5.51643
440,5.91296
441,6.2763
442,6.98364
443,8.0514
444,9.38941
445,11.06566
446,13.12192
447,15.70696
448,18.53296
449,21.82493
450,25.44553
451,29.1476
452,33.09974
453,37.14527
454,41.09919
455,45.07682
456,48.79229
457,52.39295
458,55.93286
459,59.1941
460,62.11608
461,64.8837
462,67.08772
463,69.14496
464,70.83584
465,72.58319
466,74.01624
467,75.24291
468,76.62437
469,77.76855
470,78.62402
471,79.48804
472,80.38383
473,81.14348
474,81.76255
475,82.46715
476,83.09417
477,83.45726
478,83.8542
479,84.45924
480,84.87516
481,85.08293
482,85.63151
483,85.88796
484,86.07829
485,86.26086
486,86.56846
487,86.78425
488,86.968
489,87.16614
490,87.37234
491,87.47099
492,87.66169
493,87.89836
494,88.21718
495,88.31517
496,88.52002
497,88.53424
498,88.5474
499,88.68728
500,88.70541
501,88.85429
502,88.79774
503,88.6876
504,88.86844
505,88.93153
506,88.98894
507,88.97876
508,89.06292
509,89.07939
510,88.94468
511,88.83531
512,88.68128
513,88.63213
514,88.53992
515,88.41604
516,88.31697
517,88.16698
518,88.06112
519,88.05466
520,87.97619
521,87.83363
522,87.49031
523,87.13383
524,86.83873
525,86.46111
526,86.03532
527,85.29028
528,84.12869
529,82.98095
530,81.36414
531,79.08789
532,76.04508
533,71.86443
534,66.44349
535,59.5447
536,51.94944
537,44.1416
538,36.34299
539,29.08666
540,22.55233
541,17.00088
542,12.9579
543,10.74621
544,10.63901
545,12.31467
546,15.24065
547,19.06299
548,23.49186
549,28.28933
550,33.49535
551,38.65792
552,43.36983
553,47.33764
554,50.50444
555,52.94277
556,54.62412
557,55.78369
558,56.7251
559,57.25784
560,57.41118
561,57.42841
562,57.28973
563,57.14671
564,56.93082
565,56.53014
566,56.11385
567,55.48699
568,54.87066
