l,I
350,200
351,0
352,151.9957
353,130.50225
354,150.17064
355,113.41881
356,108.89702
357,110.06394
358,96.78863
359,87.22894
360,76.94393
361,75.51373
362,69.65339
363,64.35713
364,61.62196
365,57.47455
366,57.4913
367,54.85078
368,52.3768
369,51.20517
370,50.80504
371,51.97481
372,55.60615
373,59.03053
374,64.50107
375,69.59789
376,76.83218
377,82.07076
378,88.42524
379,94.64702
380,100.53546
381,102.92549
382,105.66429
383,107.98625
384,109.51115
385,110.66503
386,111.75344
387,112.49843
388,111.66565
389,112.05371
390,112.94775
391,113.27655
392,114.02211
393,113.85919
394,114.27373
395,115.34771
396,115.66963
397,116.056
398,115.15142
399,114.82292
400,114.61856
401,113.94537
402,113.13049
403,112.35376
404,111.28851
405,110.95346
406,110.58158
407,110.6892
408,110.43839
409,110.51616
410,110.55449
411,110.42975
412,110.28054
413,110.42018
414,110.14308
415,110.03463
416,109.90685
417,110.09141
418,110.11068
419,109.95969
420,110.03515
421,109.73342
422,109.80775
423,109.81245
424,109.86554
425,109.73936
426,109.12896
427,108.56903
428,107.94822
429,107.89134
430,107.9287
431,108.2094
432,107.98665
433,107.59376
434,107.52696
435,107.63826
436,107.33691
437,107.15397
438,106.98472
439,106.56525
440,105.7739
441,105.61007
442,105.48584
443,105.2756
444,104.96821
445,104.98086
446,105.04473
447,104.77044
448,104.91126
449,104.87836
450,104.60218
451,104.52439
452,104.37082
453,104.53662
454,104.40585
455,104.14914
456,104.09278
457,104.04962
458,104.08736
459,103.86715
460,103.66024
461,103.45855
462,103.03763
463,103.0122
464,102.87342
465,102.85104
466,102.54401
467,102.34093
468,102.41476
469,102.58069
470,102.41194
471,102.46102
472,102.32033
473,102.31445
474,102.22388
475,102.36047
476,102.28751
477,102.26446
478,102.07413
479,102.18795
480,102.15891
481,102.09305
482,102.14927
483,102.04895
484,101.80573
485,101.64633
486,101.57159
487,101.57363
488,101.54313
489,101.47367
490,101.4134
491,101.43756
492,101.32566
493,101.35715
494,101.57798
495,101.48723
496,101.32429
497,101.30378
498,101.19839
499,101.347
500,101.16858
501,101.2359
502,101.22224
503,100.94469
504,101.02884
505,101.05361
506,100.97955
507,100.85947
508,100.69544
509,100.69028
510,100.57593
511,100.487
512,100.51529
513,100.46259
514,100.54274
515,100.52909
516,100.50029
517,100.49561
518,100.48291
519,100.62596
520,100.65351
521,100.6267
522,100.47133
523,100.2511
524,100.00693
525,99.89607
526,99.7111
527,99.32905
528,98.55173
529,97.71403
530,96.6402
531,95.09576
532,92.84114
533,89.71742
534,85.08889
535,78.67858
536,70.84685
537,62.12965
538,53.00311
539,43.86288
540,35.19931
541,27.35767
542,20.8892
543,16.57553
544,14.93753
545,16.05951
546,19.4743
547,24.65957
548,31.03393
549,38.13559
550,46.03977
551,54.06453
552,61.55936
553,68.05946
554,73.40344
555,77.53667
556,80.6433
557,83.08328
558,85.16773
559,86.65204
560,87.59052
561,88.48835
562,89.20644
563,89.96676
564,90.59394
565,91.06106
566,91.53138
567,91.8807
568,92.19325
