l,I
350,66.66667
351,0
352,0
353,0
354,4.60877
355,3.721
356,-8.8563
357,-1.45037
358,-2.54497
359,4.99757
360,8.09566
361,9.63297
362,5.06703
363,4.79083
364,1.98492
365,3.54393
366,3.33312
367,2.26706
368,2.53305
369,2.34672
370,1.3057
371,0.74654
372,-1.03409
373,1.35502
374,1.68732
375,1.8441
376,1.1563
377,1.52919
378,1.08617
379,0.5694
380,0.09412
381,0.26825
382,-0.90593
383,-0.87422
384,-1.31919
385,-1.23103
386,-1.69601
387,-1.1453
388,-1.21701
389,-0.6346
390,-0.33016
391,0.33079
392,0.399
393,0.29023
394,0.45312
395,0.25724
396,0.10516
397,0.35256
398,-0.13438
399,-0.04726
400,-0.27629
401,-0.33257
402,-0.20804
403,-0.41812
404,0.20201
405,0.26839
406,0.02812
407,0.12695
408,0.0612
409,0.15027
410,0.16174
411,0.12952
412,0.1852
413,-0.01454
414,-0.13158
415,0.01023
416,0.0089
417,0.06926
418,0.03884
419,-0.08606
420,-0.10828
421,-0.05437
422,-0.02836
423,-0.07708
424,-0.01048
425,-0.07122
426,-0.24269
427,-0.28638
428,-0.11871
429,-0.08262
430,-0.15538
431,-0.05504
432,0.0632
433,0.07764
434,0.15767
435,0.26409
436,0.30674
437,0.22683
438,0.29793
439,0.32372
440,0.2825
441,0.35626
442,0.34332
443,0.34792
444,0.36857
445,0.40774
446,0.45181
447,0.45255
448,0.48574
449,0.48296
450,0.43503
451,0.44078
452,0.50133
453,0.48342
454,0.44003
455,0.48902
456,0.45232
457,0.42898
458,0.393
459,0.33933
460,0.27705
461,0.24664
462,0.25296
463,0.27557
464,0.19837
465,0.19629
466,0.20915
467,0.21066
468,0.28775
469,0.30002
470,0.30855
471,0.30967
472,0.29558
473,0.30604
474,0.26789
475,0.2481
476,0.27239
477,0.27583
478,0.32989
479,0.36104
480,0.40235
481,0.46584
482,0.54686
483,0.62761
484,0.69423
485,0.70955
486,0.73944
487,0.74632
488,0.72909
489,0.70106
490,0.6417
491,0.58254
492,0.51195
493,0.47436
494,0.43652
495,0.36982
496,0.31191
497,0.27136
498,0.23657
499,0.2117
500,0.17101
501,0.18928
502,0.16203
503,0.16208
504,0.13555
505,0.12381
506,0.12956
507,0.11633
508,0.14789
509,0.15078
510,0.1341
511,0.13905
512,0.14345
513,0.16015
514,0.18743
515,0.20337
516,0.23194
517,0.24051
518,0.28265
519,0.33146
520,0.37969
521,0.43248
522,0.52534
523,0.62046
524,0.73964
525,0.88721
526,1.09851
527,1.36679
528,1.76114
529,2.33107
530,3.15837
531,4.3849
532,6.14574
533,8.55865
534,11.69966
535,15.35976
536,19.30905
537,23.28779
538,27.01033
539,30.18287
540,32.58094
541,34.01358
542,34.18186
543,32.88943
544,30.46214
545,27.22809
546,23.54842
547,19.75016
548,16.03908
549,12.56274
550,9.40984
551,6.81861
552,4.85387
553,3.45325
554,2.46422
555,1.77014
556,1.2837
557,0.97418
558,0.74098
559,0.56995
560,0.44349
561,0.3481
562,0.27574
563,0.2299
564,0.18681
565,0.15645
566,0.13507
567,0.12244
568,0.10905
569,0.08584
570,0.07164
571,0.06716
572,0.0724
573,0.07645
574,0.0938
575,0.10355
576,0.12063
577,0.14443
578,0.17454
579,0.20841
580,0.21451
581,0.21837
582,0.23783
583,0.2406
584,0.24077
585,0.2339
586,0.22365
587,0.22385
588,0.21079
589,0.22287
590,0.20579
591,0.18263
592,0.15993
593,0.14876
594,0.13618
595,0.12483
596,0.10317
597,0.07891
598,0.05767
599,0.051
600,0.04908
601,0.04683
602,0.0138
603,0.0113
604,0.0198
605,0.02736
606,0.08731
607,0.15677
608,0.19
609,0.20118
610,0.20709
611,0.2349
612,0.22599
613,0.2151
614,0.2022
615,0.15003
616,0.07777
617,0.0493
618,0.03241
619,0.02114
620,0.0212
621,0.02778
622,0.03618
623,0.04464
624,0.05132
625,0.04758
626,0.0532
627,0.05919
628,0.06927
629,0.05515
630,0.05656
631,0.05848
632,0.05081
633,0.04909
634,0.05615
635,0.04898
636,0.03605
637,0.03059
638,0.03135
639,0.01561
640,0.00415
641,0.01505
642,0.00196
643,-0.00091
644,-0.01093
645,-0.00668
646,-0.00489
647,-0.00191
648,0.00252
649,0.00751
650,-0.00909
651,-0.01612
652,-0.01386
653,-0.00561
654,0.00748
655,-0.00114
656,0.00021
657,-0.00613
658,0.00523
659,0.01052
660,0.03771
661,0.03615
662,0.03568
663,0.02576
664,0.02852
665,0.03432
666,0.04921
667,0.03139
668,0.0324
669,0.01989
670,0.02166
671,0.01632
672,0.01672
673,0.03426
674,0.04205
675,0.03646
676,0.04888
677,0.03969
678,0.03515
679,0.03164
680,0.03467
681,0.03813
682,0.02025
683,-0.00182
684,0.00529
685,-0.00351
686,0.01497
687,0.01045
688,0.01234
689,0.0096
690,0.01835
691,0.00937
692,0.00877
693,0.00849
694,0.00616
695,-0.0074
696,-0.00867
697,-0.00076
698,0.00606
699,-0.00046
700,-0.00969
701,0.00592
702,0.00251
703,0.01261
704,0.03068
705,0.0507
706,0.04725
707,0.06066
708,0.07549
709,0.08412
710,0.08302
711,0.07242
712,0.04514
713,0.02333
714,0.00927
715,-0.00002
716,-0.0242
717,-0.05913
718,-0.02984
719,-0.02408
720,0.00155
721,0.03575
722,0.0608
723,0.06873
724,0.05697
725,0.07569
726,0.10473
727,0.08326
728,0.06422
729,0.04588
730,0.03834
731,0.0272
732,0.02
733,0.044
734,0.0337
735,0.03957
736,0.0236
737,0.03408
738,0.04685
739,0.03507
740,0.00459
741,0.00263
742,-0.00535
743,-0.01633
744,-0.02764
745,-0.03449
746,-0.05455
747,-0.08161
748,-0.07657
749,-0.02203
750,-0.00016
751,-0.01161
752,-0.00781
753,-0.00322
754,0.03933
755,0.05745
756,0.0867
757,0.05784
758,0.00483
759,-0.04203
760,-0.03963
761,-0.0428
762,-0.05324
763,-0.07451
764,-0.0922
765,-0.11332
766,-0.07468
767,-0.05348
768,-0.02804
769,-0.00508
770,0.01923
771,0.003
772,0.02652
773,0.03957
774,0.03252
775,0.0792
776,0.09869
777,0.09524
778,0.0693
779,0.05049
780,0.05378
781,0.06264
782,0.05083
783,0.08067
784,0.05561
785,0.04026
786,0.05472
787,0.06405
788,0.0863
789,0.08507
790,0.06604
791,0.05521
792,0.0528
793,0.03581
794,0.0193
795,0.01177
796,-0.00616
797,-0.02554
798,0.00034
799,-0.02469
800,0.01598
801,0.01148
802,0.01783
803,0.02991
804,0.02696
805,0.02965
806,0.05852
807,0.0454
808,0.0334
809,0.03164
810,0.05006
811,0.03215
812,0.05873
813,0.07586
814,0.10215
815,0.07259
816,0.05487
817,0.12841
818,0.13322
819,0.12917
820,0.15682
821,0.14229
822,0.10471
823,0.09211
824,0.10242
825,0.10696
826,0.07273
827,0.05359
828,0.0063
829,-0.00804
830,0.01049
831,0.03702
832,0.05683
833,0.0649
834,0.07406
835,0.07708
836,0.06137
837,0.10607
838,0.09609
839,0.05564
840,0.07569
841,0.05424
842,0.05899
843,0.07153
844,0.04372
845,0.07105
846,0.02839
847,0.02113
848,0.00861
849,-0.04231
850,-0.04568
851,-0.09598
852,-0.08375
853,-0.0564
854,-0.05173
855,0.01664
856,0.04138
857,0.06099
858,0.03579
859,0.0316
860,0.08946
861,0.08316
862,0.06823
863,0.09697
864,0.10397
865,0.07869
866,0.08577
867,0.20839
868,0.26073
869,0.2217
870,0.26627
871,0.21459
872,0.14816
873,0.06516
874,0.12415
875,0.10701
876,0.00721
877,-0.03914
878,-0.02045
879,-0.01426
880,-0.05118
881,0.02693
882,0.03841
883,-0.0237
884,0.0197
885,0.0332
886,0.07249
887,0.01935
888,-0.1641
889,-0.07552
890,-0.10222
891,-0.07556
892,-0.08009
893,-0.07378
894,-0.06657
895,-0.09757
896,-0.04046
897,0.17277
898,0.16775
899,0.13738
900,0.1152
901,0.05032
902,-0.06798
903,-0.05409
904,-0.07982
905,-0.05299
906,-0.11181
907,-0.02598
908,-0.0412
909,-0.0369
910,0.09086
911,0.17435
912,0.13689
913,0.18501
914,0.16359
915,0.08867
916,-0.09079
917,-0.07639
918,-0.06025
919,-0.05872
920,-0.05408
921,-0.00232
922,-0.0132
923,0.03921
924,0.07496
925,0.17077
926,0.09942
927,0.0904
928,0.03837
929,0.10056
930,-0.00947
931,-0.01385
932,-0.12824
933,-0.15202
934,-0.10182
935,0.08285
936,0.11565
937,0.15511
938,0.03347
939,0.11037
940,-0.01095
941,0.04646
942,0.19981
943,0.10184
944,-0.09083
945,-0.07615
946,-0.0225
947,-0.05565
948,-0.16627
949,-0.1019
