
l,I
350,100
351,0
352,11.76908
353,35.83409
354,43.75388
355,23.01117
356,25.17909
357,25.22042
358,25.26294
359,24.87532
360,22.81114
361,21.16459
362,15.62243
363,13.32025
364,11.29446
365,10.00439
366,7.79194
367,4.39321
368,3.71098
369,2.90807
370,-0.64744
371,0.09037
372,0.02765
373,2.18462
374,2.6823
375,3.59842
376,5.23396
377,4.3408
378,3.85461
379,4.35906
380,3.99082
381,3.36151
382,2.38896
383,2.09737
384,1.6044
385,1.07418
386,0.75487
387,1.04536
388,1.21935
389,1.22601
390,1.51269
391,1.97994
392,1.83467
393,2.03763
394,1.73997
395,2.00429
396,2.18156
397,2.37457
398,1.85712
399,1.48719
400,1.45729
401,1.50397
402,1.22327
403,1.14593
404,0.91328
405,0.85525
406,0.52693
407,0.31946
408,0.41091
409,-0.01581
410,-0.2832
411,-0.3354
412,-0.41928
413,-0.12571
414,-0.17644
415,-0.13301
416,0.06076
417,-0.00831
418,0.24456
419,0.33289
420,0.4406
421,0.59714
422,0.52534
423,0.47561
424,0.54136
425,0.5818
426,0.5251
427,0.40872
428,0.47832
429,0.46857
430,0.4591
431,0.93705
432,1.11459
433,1.05906
434,1.10794
435,1.17672
436,1.19779
437,1.10816
438,1.11865
439,1.07816
440,0.69342
441,0.61558
442,0.56018
443,0.45463
444,0.41716
445,0.41096
446,0.46859
447,0.47968
448,0.53786
449,0.62278
450,0.60941
451,0.7029
452,0.84841
453,0.85911
454,0.90396
455,1.03775
456,1.13238
457,1.25589
458,1.37324
459,1.62644
460,1.85819
461,2.25442
462,2.80938
463,3.40963
464,4.05872
465,4.90143
466,5.87547
467,7.04411
468,8.28286
469,9.67312
470,11.13947
471,12.58709
472,14.15667
473,15.70397
474,17.24199
475,18.69165
476,20.01458
477,21.30669
478,22.49848
479,23.52083
480,24.55854
481,25.50519
482,26.31832
483,27.05489
484,27.74889
485,28.37142
486,28.95365
487,29.54901
488,30.11863
489,30.64709
490,31.12178
491,31.74532
492,32.3186
493,32.94746
494,33.62626
495,34.34854
496,35.07677
497,35.82312
498,36.57114
499,37.34506
500,37.91681
501,38.44324
502,38.77633
503,38.96994
504,38.86009
505,38.44944
506,37.69231
507,36.58248
508,35.11643
509,33.41804
510,31.48023
511,29.38315
512,27.063
513,24.74767
514,22.43204
515,20.19493
516,18.10353
517,16.16118
518,14.38641
519,12.75103
520,11.25746
521,9.97054
522,8.83108
523,7.84805
524,6.98533
525,6.22344
526,5.53905
527,4.93109
528,4.41307
529,3.95839
530,3.55661
531,3.20289
532,2.88992
533,2.60381
534,2.39219
535,2.21016
536,2.0919
537,2.03268
538,1.98799
539,1.93743
540,1.88428
541,1.94712
542,1.99125
543,1.94688
544,1.89147
545,1.7815
546,1.62677
547,1.48013
548,1.36746
549,1.25394
550,1.03437
551,0.86692
552,0.76444
553,0.67645
554,0.61459
555,0.55789
556,0.51131
557,0.48256
558,0.45393
559,0.42546
560,0.40342
561,0.38271
562,0.35313
563,0.35534
564,0.34177
565,0.32428
566,0.30658
567,0.29185
568,0.29662
569,0.28111
570,0.26639
571,0.26453
572,0.25545
573,0.24722
574,0.25765
575,0.26068
576,0.26611
577,0.2653
578,0.27763
579,0.29978
580,0.29925
581,0.29627
582,0.31021
583,0.31629
584,0.3108
585,0.30344
586,0.30184
587,0.28532
588,0.27042
589,0.2742
590,0.26094
591,0.2334
592,0.20804
593,0.21469
594,0.20804
595,0.20113
596,0.19601
597,0.18639
598,0.17106
599,0.16925
600,0.17384
601,0.18054
602,0.14219
603,0.14432
604,0.15475
605,0.16929
606,0.24188
607,0.35064
608,0.41532
609,0.44543
610,0.46095
611,0.49863
612,0.49619
613,0.47812
614,0.45834
615,0.39225
616,0.2855
617,0.22986
618,0.21367
619,0.1933
620,0.17161
621,0.16901
622,0.17956
623,0.19631
624,0.18817
625,0.19314
626,0.19381
627,0.18907
628,0.19645
629,0.19526
630,0.1841
631,0.17945
632,0.16204
633,0.15954
634,0.15572
635,0.14651
636,0.13807
637,0.12629
638,0.11513
639,0.11813
640,0.1075
641,0.11443
642,0.10179
643,0.09908
644,0.092
645,0.0904
646,0.09299
