Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,I,
2026-03-19,15:23:15.071931,1773930195.071931,s,4e-06,s,12.32,mV
2026-03-19,15:23:15.322572,1773930195.322572,s,0.250645,s,11.24,mV
2026-03-19,15:23:15.572664,1773930195.572664,s,0.500737,s,11.24,mV
2026-03-19,15:23:15.822916,1773930195.822916,s,0.750989,s,11.32,mV
2026-03-19,15:23:16.073116,1773930196.073116,s,1.001189,s,11.32,mV
2026-03-19,15:23:16.323215,1773930196.323215,s,1.251288,s,11.69,mV
2026-03-19,15:23:16.573589,1773930196.573589,s,1.501662,s,11.69,mV
2026-03-19,15:23:16.823578,1773930196.823578,s,1.751651,s,11.69,mV
2026-03-19,15:23:17.074027,1773930197.074027,s,2.0021,s,11.74,mV
2026-03-19,15:23:17.324106,1773930197.324106,s,2.252179,s,11.74,mV
2026-03-19,15:23:17.574468,1773930197.574468,s,2.502541,s,11.59,mV
2026-03-19,15:23:17.824607,1773930197.824607,s,2.75268,s,11.59,mV
2026-03-19,15:23:18.074902,1773930198.074902,s,3.002975,s,12.34,mV
2026-03-19,15:23:18.325117,1773930198.325117,s,3.25319,s,12.34,mV
2026-03-19,15:23:18.575354,1773930198.575354,s,3.503427,s,12.34,mV
2026-03-19,15:23:18.825656,1773930198.825656,s,3.753729,s,12.05,mV
2026-03-19,15:23:19.075748,1773930199.075748,s,4.003821,s,12.05,mV
2026-03-19,15:23:19.326187,1773930199.326187,s,4.25426,s,11.66,mV
2026-03-19,15:23:19.576183,1773930199.576183,s,4.504256,s,11.66,mV
2026-03-19,15:23:19.826627,1773930199.826627,s,4.7547,s,11.66,mV
2026-03-19,15:23:20.076432,1773930200.076432,s,5.004505,s,11.66,mV
2026-03-19,15:23:20.327110,1773930200.32711,s,5.255183,s,11.66,mV
2026-03-19,15:23:20.576764,1773930200.576764,s,5.504837,s,11.91,mV
2026-03-19,15:23:20.827634,1773930200.827634,s,5.755707,s,11.91,mV
2026-03-19,15:23:21.077055,1773930201.077055,s,6.005128,s,11.45,mV
2026-03-19,15:23:21.328179,1773930201.328179,s,6.256252,s,11.45,mV
2026-03-19,15:23:21.577268,1773930201.577268,s,6.505341,s,11.46,mV
2026-03-19,15:23:21.828650,1773930201.82865,s,6.756723,s,11.46,mV
2026-03-19,15:23:22.077546,1773930202.077546,s,7.005619,s,11.46,mV
2026-03-19,15:23:22.329107,1773930202.329107,s,7.25718,s,12.39,mV
2026-03-19,15:23:22.577832,1773930202.577832,s,7.505905,s,12.39,mV
2026-03-19,15:23:22.829606,1773930202.829606,s,7.757679,s,11.54,mV
2026-03-19,15:23:23.078224,1773930203.078224,s,8.006297,s,11.54,mV
2026-03-19,15:23:23.330064,1773930203.330064,s,8.258137,s,11.54,mV
2026-03-19,15:23:23.578712,1773930203.578712,s,8.506785,s,11.59,mV
2026-03-19,15:23:23.830325,1773930203.830325,s,8.758398,s,11.59,mV
2026-03-19,15:23:24.079201,1773930204.079201,s,9.007274,s,12.04,mV
2026-03-19,15:23:24.330645,1773930204.330645,s,9.258718,s,12.04,mV
2026-03-19,15:23:24.579679,1773930204.579679,s,9.507752,s,12.04,mV
2026-03-19,15:23:24.830989,1773930204.830989,s,9.759062,s,12.04,mV
2026-03-19,15:23:25.080013,1773930205.080013,s,10.008086,s,11.26,mV
2026-03-19,15:23:25.331260,1773930205.33126,s,10.259333,s,11.26,mV
2026-03-19,15:23:25.580424,1773930205.580424,s,10.508497,s,11.26,mV
2026-03-19,15:23:25.831567,1773930205.831567,s,10.75964,s,11.93,mV
2026-03-19,15:23:26.080839,1773930206.080839,s,11.008912,s,11.93,mV
2026-03-19,15:23:26.331885,1773930206.331885,s,11.259958,s,12.06,mV
2026-03-19,15:23:26.581172,1773930206.581172,s,11.509245,s,12.06,mV
2026-03-19,15:23:26.832299,1773930206.832299,s,11.760372,s,12.06,mV
2026-03-19,15:23:27.081431,1773930207.081431,s,12.009504,s,12.06,mV
2026-03-19,15:23:27.332648,1773930207.332648,s,12.260721,s,12.06,mV
2026-03-19,15:23:27.581865,1773930207.581865,s,12.509938,s,12.15,mV
2026-03-19,15:23:27.833108,1773930207.833108,s,12.761181,s,12.15,mV
2026-03-19,15:23:28.082196,1773930208.082196,s,13.010269,s,12.15,mV
2026-03-19,15:23:28.333536,1773930208.333536,s,13.261609,s,12.15,mV
2026-03-19,15:23:28.582419,1773930208.582419,s,13.510492,s,12.59,mV
2026-03-19,15:23:28.833991,1773930208.833991,s,13.762064,s,12.59,mV
2026-03-19,15:23:29.082742,1773930209.082742,s,14.010815,s,12.59,mV
2026-03-19,15:23:29.334456,1773930209.334456,s,14.262529,s,12.21,mV
2026-03-19,15:23:29.583057,1773930209.583057,s,14.51113,s,12.21,mV
2026-03-19,15:23:29.834864,1773930209.834864,s,14.762937,s,12.21,mV
2026-03-19,15:23:30.083269,1773930210.083269,s,15.011342,s,12.21,mV
2026-03-19,15:23:30.335312,1773930210.335312,s,15.263385,s,12.21,mV
2026-03-19,15:23:30.583510,1773930210.58351,s,15.511583,s,11.07,mV
2026-03-19,15:23:30.835781,1773930210.835781,s,15.763854,s,11.07,mV
2026-03-19,15:23:31.083835,1773930211.083835,s,16.011908,s,11.04,mV
2026-03-19,15:23:31.336239,1773930211.336239,s,16.264312,s,11.04,mV
2026-03-19,15:23:31.584051,1773930211.584051,s,16.512124,s,11.18,mV
2026-03-19,15:23:31.836593,1773930211.836593,s,16.764666,s,11.18,mV
2026-03-19,15:23:32.084293,1773930212.084293,s,17.012366,s,11.18,mV
2026-03-19,15:23:32.336994,1773930212.336994,s,17.265067,s,11.81,mV
2026-03-19,15:23:32.584776,1773930212.584776,s,17.512849,s,11.81,mV
2026-03-19,15:23:32.837451,1773930212.837451,s,17.765524,s,11.44,mV
2026-03-19,15:23:33.085117,1773930213.085117,s,18.01319,s,11.44,mV
2026-03-19,15:23:33.337795,1773930213.337795,s,18.265868,s,11.44,mV
2026-03-19,15:23:33.585573,1773930213.585573,s,18.513646,s,11.44,mV
2026-03-19,15:23:33.838139,1773930213.838139,s,18.766212,s,11.44,mV
2026-03-19,15:23:34.085935,1773930214.085935,s,19.014008,s,11.44,mV
2026-03-19,15:23:34.338396,1773930214.338396,s,19.266469,s,11.44,mV
2026-03-19,15:23:34.586400,1773930214.5864,s,19.514473,s,11.53,mV
2026-03-19,15:23:34.838734,1773930214.838734,s,19.766807,s,11.53,mV
2026-03-19,15:23:35.086848,1773930215.086848,s,20.014921,s,11.53,mV
2026-03-19,15:23:35.339064,1773930215.339064,s,20.267137,s,11.53,mV
2026-03-19,15:23:35.587262,1773930215.587262,s,20.515335,s,11.53,mV
2026-03-19,15:23:35.839275,1773930215.839275,s,20.767348,s,11.56,mV
2026-03-19,15:23:36.087698,1773930216.087698,s,21.015771,s,11.56,mV
2026-03-19,15:23:36.339633,1773930216.339633,s,21.267706,s,11.56,mV
2026-03-19,15:23:36.588224,1773930216.588224,s,21.516297,s,11.56,mV
2026-03-19,15:23:36.839961,1773930216.839961,s,21.768034,s,11.24,mV
2026-03-19,15:23:37.088656,1773930217.088656,s,22.016729,s,11.24,mV
2026-03-19,15:23:37.340177,1773930217.340177,s,22.26825,s,11.24,mV
2026-03-19,15:23:37.589055,1773930217.589055,s,22.517128,s,12.42,mV
2026-03-19,15:23:37.840468,1773930217.840468,s,22.768541,s,12.42,mV
2026-03-19,15:23:38.089540,1773930218.08954,s,23.017613,s,12.42,mV
2026-03-19,15:23:38.340706,1773930218.340706,s,23.268779,s,12.42,mV
2026-03-19,15:23:38.589802,1773930218.589802,s,23.517875,s,12.04,mV
2026-03-19,15:23:38.841009,1773930218.841009,s,23.769082,s,12.04,mV
2026-03-19,15:23:39.090211,1773930219.090211,s,24.018284,s,12.04,mV
2026-03-19,15:23:39.341519,1773930219.341519,s,24.269592,s,11.61,mV
2026-03-19,15:23:39.590629,1773930219.590629,s,24.518702,s,11.61,mV
2026-03-19,15:23:39.841966,1773930219.841966,s,24.770039,s,11.61,mV
2026-03-19,15:23:40.091050,1773930220.09105,s,25.019123,s,11.61,mV
2026-03-19,15:23:40.342438,1773930220.342438,s,25.270511,s,9.84,mV
2026-03-19,15:23:40.591268,1773930220.591268,s,25.519341,s,9.84,mV
2026-03-19,15:23:40.842910,1773930220.84291,s,25.770983,s,11.72,mV
2026-03-19,15:23:41.091509,1773930221.091509,s,26.019582,s,11.72,mV
2026-03-19,15:23:41.343328,1773930221.343328,s,26.271401,s,11.72,mV
2026-03-19,15:23:41.591879,1773930221.591879,s,26.519952,s,11.72,mV
2026-03-19,15:23:41.843771,1773930221.843771,s,26.771844,s,11.72,mV
2026-03-19,15:23:42.092189,1773930222.092189,s,27.020262,s,11.44,mV
2026-03-19,15:23:42.344210,1773930222.34421,s,27.272283,s,11.44,mV
2026-03-19,15:23:42.592428,1773930222.592428,s,27.520501,s,11.44,mV
2026-03-19,15:23:42.844655,1773930222.844655,s,27.772728,s,11.44,mV
2026-03-19,15:23:43.092801,1773930223.092801,s,28.020874,s,11.44,mV
2026-03-19,15:23:43.345102,1773930223.345102,s,28.273175,s,11.44,mV
2026-03-19,15:23:43.593019,1773930223.593019,s,28.521092,s,11.44,mV
2026-03-19,15:23:43.845529,1773930223.845529,s,28.773602,s,12.54,mV
2026-03-19,15:23:44.093456,1773930224.093456,s,29.021529,s,12.54,mV
2026-03-19,15:23:44.345983,1773930224.345983,s,29.274056,s,12.88,mV
2026-03-19,15:23:44.593808,1773930224.593808,s,29.521881,s,12.88,mV
2026-03-19,15:23:44.846275,1773930224.846275,s,29.774348,s,12.88,mV
2026-03-19,15:23:45.094275,1773930225.094275,s,30.022348,s,12.91,mV
2026-03-19,15:23:45.346608,1773930225.346608,s,30.274681,s,12.91,mV
2026-03-19,15:23:45.594753,1773930225.594753,s,30.522826,s,11.73,mV
2026-03-19,15:23:45.846910,1773930225.84691,s,30.774983,s,11.73,mV
2026-03-19,15:23:46.095192,1773930226.095192,s,31.023265,s,11.19,mV
2026-03-19,15:23:46.347115,1773930226.347115,s,31.275188,s,11.19,mV
2026-03-19,15:23:46.595421,1773930226.595421,s,31.523494,s,11.19,mV
2026-03-19,15:23:46.847468,1773930226.847468,s,31.775541,s,11.19,mV
2026-03-19,15:23:47.095861,1773930227.095861,s,32.023934,s,11.19,mV
2026-03-19,15:23:47.347691,1773930227.347691,s,32.275764,s,12.54,mV
2026-03-19,15:23:47.596200,1773930227.5962,s,32.524273,s,12.54,mV
2026-03-19,15:23:47.847995,1773930227.847995,s,32.776068,s,12.44,mV
2026-03-19,15:23:48.096608,1773930228.096608,s,33.024681,s,12.44,mV
2026-03-19,15:23:48.348450,1773930228.34845,s,33.276523,s,12.44,mV
2026-03-19,15:23:48.597092,1773930228.597092,s,33.525165,s,12.45,mV
2026-03-19,15:23:48.848939,1773930228.848939,s,33.777012,s,12.45,mV
2026-03-19,15:23:49.097525,1773930229.097525,s,34.025598,s,13.42,mV
