Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-04-16,13:54:03.306492,1776340443.306492,s,4e-06,s,116.9,mV
2026-04-16,13:54:03.557300,1776340443.5573,s,0.250812,s,116.9,mV
2026-04-16,13:54:03.807324,1776340443.807324,s,0.500836,s,116.9,mV
2026-04-16,13:54:04.057775,1776340444.057775,s,0.751287,s,116.9,mV
2026-04-16,13:54:04.307741,1776340444.307741,s,1.001253,s,116.9,mV
2026-04-16,13:54:04.558209,1776340444.558209,s,1.251721,s,116.9,mV
2026-04-16,13:54:04.808234,1776340444.808234,s,1.501746,s,116.9,mV
2026-04-16,13:54:05.058633,1776340445.058633,s,1.752145,s,116.9,mV
2026-04-16,13:54:05.308678,1776340445.308678,s,2.00219,s,116.9,mV
2026-04-16,13:54:05.559174,1776340445.559174,s,2.252686,s,116.9,mV
2026-04-16,13:54:05.809079,1776340445.809079,s,2.502591,s,116.9,mV
2026-04-16,13:54:06.059517,1776340446.059517,s,2.753029,s,100.3,mV
2026-04-16,13:54:06.309392,1776340446.309392,s,3.002904,s,100.3,mV
2026-04-16,13:54:06.560038,1776340446.560038,s,3.25355,s,99.2,mV
2026-04-16,13:54:06.809689,1776340446.809689,s,3.503201,s,99.2,mV
2026-04-16,13:54:07.060432,1776340447.060432,s,3.753944,s,99.2,mV
2026-04-16,13:54:07.309901,1776340447.309901,s,4.003413,s,97.6,mV
2026-04-16,13:54:07.560837,1776340447.560837,s,4.254349,s,97.6,mV
2026-04-16,13:54:07.810187,1776340447.810187,s,4.503699,s,97.4,mV
2026-04-16,13:54:08.061292,1776340448.061292,s,4.754804,s,97.4,mV
2026-04-16,13:54:08.310450,1776340448.31045,s,5.003962,s,97.4,mV
2026-04-16,13:54:08.561778,1776340448.561778,s,5.25529,s,97.6,mV
2026-04-16,13:54:08.810736,1776340448.810736,s,5.504248,s,97.6,mV
2026-04-16,13:54:09.062156,1776340449.062156,s,5.755668,s,97.6,mV
2026-04-16,13:54:09.310938,1776340449.310938,s,6.00445,s,97.6,mV
2026-04-16,13:54:09.562547,1776340449.562547,s,6.256059,s,99.6,mV
2026-04-16,13:54:09.811401,1776340449.811401,s,6.504913,s,99.6,mV
2026-04-16,13:54:10.062871,1776340450.062871,s,6.756383,s,100.0,mV
2026-04-16,13:54:10.311764,1776340450.311764,s,7.005276,s,100.0,mV
2026-04-16,13:54:10.563354,1776340450.563354,s,7.256866,s,100.0,mV
2026-04-16,13:54:10.812011,1776340450.812011,s,7.505523,s,94.1,mV
2026-04-16,13:54:11.063811,1776340451.063811,s,7.757323,s,94.1,mV
2026-04-16,13:54:11.312455,1776340451.312455,s,8.005967,s,81.4,mV
2026-04-16,13:54:11.564219,1776340451.564219,s,8.257731,s,81.4,mV
2026-04-16,13:54:11.812955,1776340451.812955,s,8.506467,s,81.4,mV
2026-04-16,13:54:12.064586,1776340452.064586,s,8.758098,s,84.7,mV
2026-04-16,13:54:12.313410,1776340452.31341,s,9.006922,s,84.7,mV
2026-04-16,13:54:12.564857,1776340452.564857,s,9.258369,s,87.4,mV
2026-04-16,13:54:12.813878,1776340452.813878,s,9.50739,s,87.4,mV
2026-04-16,13:54:13.065143,1776340453.065143,s,9.758655,s,87.4,mV
2026-04-16,13:54:13.314390,1776340453.31439,s,10.007902,s,92.9,mV
2026-04-16,13:54:13.565429,1776340453.565429,s,10.258941,s,92.9,mV
2026-04-16,13:54:13.814831,1776340453.814831,s,10.508343,s,97.9,mV
2026-04-16,13:54:14.065671,1776340454.065671,s,10.759183,s,97.9,mV
2026-04-16,13:54:14.315229,1776340454.315229,s,11.008741,s,97.9,mV
2026-04-16,13:54:14.566149,1776340454.566149,s,11.259661,s,98.0,mV
2026-04-16,13:54:14.815646,1776340454.815646,s,11.509158,s,98.0,mV
2026-04-16,13:54:15.066556,1776340455.066556,s,11.760068,s,98.1,mV
2026-04-16,13:54:15.316056,1776340455.316056,s,12.009568,s,98.1,mV
2026-04-16,13:54:15.566957,1776340455.566957,s,12.260469,s,98.1,mV
2026-04-16,13:54:15.816462,1776340455.816462,s,12.509974,s,98.3,mV
2026-04-16,13:54:16.067315,1776340456.067315,s,12.760827,s,98.3,mV
2026-04-16,13:54:16.316863,1776340456.316863,s,13.010375,s,98.3,mV
2026-04-16,13:54:16.567677,1776340456.567677,s,13.261189,s,98.3,mV
2026-04-16,13:54:16.817274,1776340456.817274,s,13.510786,s,98.1,mV
2026-04-16,13:54:17.067957,1776340457.067957,s,13.761469,s,98.1,mV
2026-04-16,13:54:17.317675,1776340457.317675,s,14.011187,s,98.3,mV
2026-04-16,13:54:17.568454,1776340457.568454,s,14.261966,s,98.3,mV
2026-04-16,13:54:17.818081,1776340457.818081,s,14.511593,s,98.3,mV
2026-04-16,13:54:18.068997,1776340458.068997,s,14.762509,s,95.6,mV
2026-04-16,13:54:18.318457,1776340458.318457,s,15.011969,s,95.6,mV
2026-04-16,13:54:18.569444,1776340458.569444,s,15.262956,s,89.4,mV
2026-04-16,13:54:18.818876,1776340458.818876,s,15.512388,s,89.4,mV
2026-04-16,13:54:19.069936,1776340459.069936,s,15.763448,s,87.0,mV
2026-04-16,13:54:19.319172,1776340459.319172,s,16.012684,s,87.0,mV
2026-04-16,13:54:19.570409,1776340459.570409,s,16.263921,s,87.0,mV
2026-04-16,13:54:19.819454,1776340459.819454,s,16.512966,s,86.6,mV
2026-04-16,13:54:20.070868,1776340460.070868,s,16.76438,s,86.6,mV
2026-04-16,13:54:20.319729,1776340460.319729,s,17.013241,s,85.8,mV
2026-04-16,13:54:20.571342,1776340460.571342,s,17.264854,s,85.8,mV
2026-04-16,13:54:20.819929,1776340460.819929,s,17.513441,s,88.1,mV
2026-04-16,13:54:21.071841,1776340461.071841,s,17.765353,s,88.1,mV
