Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-03-17,15:17:46.321125,1773757066.321125,s,5e-06,s,12.03,mV
2026-03-17,15:17:46.571616,1773757066.571616,s,0.250496,s,12.66,mV
2026-03-17,15:17:46.821692,1773757066.821692,s,0.500572,s,12.66,mV
2026-03-17,15:17:47.072029,1773757067.072029,s,0.750909,s,12.13,mV
2026-03-17,15:17:47.322177,1773757067.322177,s,1.001057,s,12.13,mV
2026-03-17,15:17:47.572467,1773757067.572467,s,1.251347,s,12.13,mV
2026-03-17,15:17:47.822666,1773757067.822666,s,1.501546,s,12.37,mV
2026-03-17,15:17:48.072726,1773757068.072726,s,1.751606,s,12.37,mV
2026-03-17,15:17:48.323109,1773757068.323109,s,2.001989,s,12.2,mV
2026-03-17,15:17:48.573146,1773757068.573146,s,2.252026,s,12.2,mV
2026-03-17,15:17:48.823505,1773757068.823505,s,2.502385,s,12.2,mV
2026-03-17,15:17:49.073418,1773757069.073418,s,2.752298,s,12.72,mV
2026-03-17,15:17:49.323926,1773757069.323926,s,3.002806,s,12.72,mV
2026-03-17,15:17:49.573742,1773757069.573742,s,3.252622,s,12.3,mV
2026-03-17,15:17:49.824355,1773757069.824355,s,3.503235,s,12.3,mV
2026-03-17,15:17:50.074065,1773757070.074065,s,3.752945,s,11.92,mV
2026-03-17,15:17:50.324557,1773757070.324557,s,4.003437,s,11.92,mV
2026-03-17,15:17:50.574292,1773757070.574292,s,4.253172,s,11.32,mV
2026-03-17,15:17:50.824962,1773757070.824962,s,4.503842,s,11.32,mV
2026-03-17,15:17:51.074588,1773757071.074588,s,4.753468,s,11.32,mV
2026-03-17,15:17:51.325284,1773757071.325284,s,5.004164,s,12.78,mV
2026-03-17,15:17:51.574846,1773757071.574846,s,5.253726,s,12.78,mV
2026-03-17,15:17:51.825776,1773757071.825776,s,5.504656,s,12.93,mV
2026-03-17,15:17:52.075102,1773757072.075102,s,5.753982,s,12.93,mV
2026-03-17,15:17:52.326225,1773757072.326225,s,6.005105,s,12.43,mV
2026-03-17,15:17:52.575379,1773757072.575379,s,6.254259,s,12.43,mV
2026-03-17,15:17:52.826624,1773757072.826624,s,6.505504,s,12.43,mV
2026-03-17,15:17:53.075707,1773757073.075707,s,6.754587,s,12.59,mV
2026-03-17,15:17:53.327031,1773757073.327031,s,7.005911,s,12.59,mV
2026-03-17,15:17:53.576167,1773757073.576167,s,7.255047,s,12.01,mV
2026-03-17,15:17:53.827477,1773757073.827477,s,7.506357,s,12.01,mV
2026-03-17,15:17:54.076608,1773757074.076608,s,7.755488,s,12.2,mV
2026-03-17,15:17:54.327953,1773757074.327953,s,8.006833,s,12.2,mV
2026-03-17,15:17:54.576843,1773757074.576843,s,8.255723,s,12.2,mV
2026-03-17,15:17:54.828381,1773757074.828381,s,8.507261,s,12.83,mV
2026-03-17,15:17:55.077152,1773757075.077152,s,8.756032,s,12.83,mV
2026-03-17,15:17:55.328613,1773757075.328613,s,9.007493,s,12.13,mV
2026-03-17,15:17:55.577602,1773757075.577602,s,9.256482,s,12.13,mV
2026-03-17,15:17:55.828945,1773757075.828945,s,9.507825,s,12.8,mV
2026-03-17,15:17:56.078048,1773757076.078048,s,9.756928,s,12.8,mV
2026-03-17,15:17:56.329251,1773757076.329251,s,10.008131,s,12.96,mV
2026-03-17,15:17:56.578385,1773757076.578385,s,10.257265,s,12.96,mV
2026-03-17,15:17:56.829560,1773757076.82956,s,10.50844,s,12.96,mV
2026-03-17,15:17:57.078728,1773757077.078728,s,10.757608,s,11.95,mV
2026-03-17,15:17:57.329880,1773757077.32988,s,11.00876,s,11.95,mV
2026-03-17,15:17:57.579188,1773757077.579188,s,11.258068,s,12.4,mV
2026-03-17,15:17:57.830113,1773757077.830113,s,11.508993,s,12.4,mV
2026-03-17,15:17:58.079597,1773757078.079597,s,11.758477,s,12.4,mV
2026-03-17,15:17:58.330388,1773757078.330388,s,12.009268,s,11.98,mV
2026-03-17,15:17:58.580040,1773757078.58004,s,12.25892,s,11.98,mV
2026-03-17,15:17:58.830658,1773757078.830658,s,12.509538,s,12.35,mV
2026-03-17,15:17:59.080475,1773757079.080475,s,12.759355,s,12.35,mV
2026-03-17,15:17:59.330852,1773757079.330852,s,13.009732,s,12.85,mV
2026-03-17,15:17:59.580909,1773757079.580909,s,13.259789,s,12.85,mV
2026-03-17,15:17:59.831318,1773757079.831318,s,13.510198,s,12.62,mV
2026-03-17,15:18:00.081357,1773757080.081357,s,13.760237,s,12.62,mV
2026-03-17,15:18:00.331708,1773757080.331708,s,14.010588,s,12.62,mV
2026-03-17,15:18:00.581802,1773757080.581802,s,14.260682,s,12.24,mV
2026-03-17,15:18:00.832159,1773757080.832159,s,14.511039,s,12.24,mV
2026-03-17,15:18:01.082251,1773757081.082251,s,14.761131,s,12.77,mV
2026-03-17,15:18:01.332596,1773757081.332596,s,15.011476,s,12.77,mV
2026-03-17,15:18:01.582561,1773757081.582561,s,15.261441,s,12.71,mV
2026-03-17,15:18:01.833044,1773757081.833044,s,15.511924,s,12.71,mV
2026-03-17,15:18:02.082882,1773757082.082882,s,15.761762,s,12.46,mV
2026-03-17,15:18:02.333533,1773757082.333533,s,16.012413,s,12.46,mV
2026-03-17,15:18:02.583144,1773757082.583144,s,16.262024,s,12.46,mV
2026-03-17,15:18:02.833916,1773757082.833916,s,16.512796,s,12.84,mV
2026-03-17,15:18:03.083372,1773757083.083372,s,16.762252,s,12.84,mV
2026-03-17,15:18:03.334315,1773757083.334315,s,17.013195,s,12.82,mV
2026-03-17,15:18:03.583696,1773757083.583696,s,17.262576,s,12.82,mV
2026-03-17,15:18:03.834718,1773757083.834718,s,17.513598,s,12.82,mV
2026-03-17,15:18:04.084007,1773757084.084007,s,17.762887,s,13.03,mV
2026-03-17,15:18:04.335163,1773757084.335163,s,18.014043,s,13.03,mV
2026-03-17,15:18:04.584274,1773757084.584274,s,18.263154,s,12.76,mV
2026-03-17,15:18:04.835597,1773757084.835597,s,18.514477,s,12.76,mV
2026-03-17,15:18:05.084582,1773757085.084582,s,18.763462,s,13.27,mV
2026-03-17,15:18:05.336039,1773757085.336039,s,19.014919,s,13.27,mV
2026-03-17,15:18:05.584967,1773757085.584967,s,19.263847,s,13.24,mV
2026-03-17,15:18:05.836257,1773757085.836257,s,19.515137,s,13.24,mV
2026-03-17,15:18:06.085224,1773757086.085224,s,19.764104,s,13.24,mV
2026-03-17,15:18:06.336725,1773757086.336725,s,20.015605,s,12.65,mV
2026-03-17,15:18:06.585527,1773757086.585527,s,20.264407,s,12.65,mV
2026-03-17,15:18:06.837146,1773757086.837146,s,20.516026,s,12.85,mV
2026-03-17,15:18:07.085983,1773757087.085983,s,20.764863,s,12.85,mV
2026-03-17,15:18:07.337445,1773757087.337445,s,21.016325,s,12.85,mV
2026-03-17,15:18:07.586486,1773757087.586486,s,21.265366,s,12.86,mV
