Lam,int,
350,-8.66396,
351,0.42533,
352,-6.55317,
353,5.29274,
354,9.49906,
355,-11.17137,
356,-4.80927,
357,-2.57895,
358,1.37858,
359,-1.8492,
360,1.00512,
361,-2.73688,
362,-3.86058,
363,-7.42531,
364,-6.87981,
365,-8.28845,
366,-4.55708,
367,-4.1367,
368,-7.00913,
369,-4.61588,
370,-0.88416,
371,-7.22078,
372,-8.52726,
373,-3.14558,
374,-9.41728,
375,-12.17158,
376,3.11567,
377,-8.1289,
378,-4.8869,
379,-11.99624,
380,0.51006,
381,-3.21295,
382,-4.73628,
383,-0.88343,
384,0.95786,
385,-4.35545,
386,-3.03659,
387,-13.30769,
388,-5.50236,
389,-7.63176,
390,-8.86233,
391,-6.85833,
392,-6.02208,
393,-7.64441,
394,-7.41895,
395,-12.54295,
396,0.05123,
397,-3.58226,
398,-5.64566,
399,-10.04859,
400,-12.36595,
401,-9.607,
402,-3.93278,
403,-4.41271,
404,-10.88087,
405,-8.8207,
406,-2.8272,
407,-0.53345,
408,-3.93326,
409,-6.80607,
410,-12.32384,
411,-6.8158,
412,-9.37338,
413,-9.73625,
414,-4.94083,
415,-7.00988,
416,-8.44138,
417,-10.7041,
418,-3.32859,
419,-9.06395,
420,-3.69743,
421,-1.96387,
422,-8.26282,
423,-2.47631,
424,6.45424,
425,-5.10835,
426,-1.89244,
427,-10.98061,
428,-4.77942,
429,-1.69795,
430,-0.96943,
431,-11.00364,
432,-2.61364,
433,-12.96083,
434,-12.25089,
435,-3.29512,
436,-8.03047,
437,-9.25751,
438,-2.5065,
439,-10.78524,
440,-5.81423,
441,-4.41031,
442,-4.50549,
443,-7.7501,
444,-19.55623,
445,-272.83098,
446,-9.12644,
447,-0.22654,
448,-1.58594,
449,-9.24239,
450,-0.60125,
451,-7.62986,
452,-5.16463,
453,-3.4016,
454,-3.96653,
455,-2.64499,
456,-8.57866,
457,10.15974,
458,-7.14923,
459,-10.59788,
460,-4.15662,
461,-10.89892,
462,-5.80073,
463,-6.72271,
464,-0.39253,
465,-3.48862,
466,-10.66025,
467,-9.95379,
468,4.00427,
469,-3.30571,
470,2.01737,
471,-1.49524,
472,-4.08264,
473,1.73467,
474,-4.39538,
475,-4.66838,
476,-2.84175,
477,-13.8017,
478,-2.54635,
479,2.93038,
480,4.38553,
481,-11.75459,
482,-3.9695,
483,-4.10622,
484,-5.34025,
485,-13.51348,
486,-11.06892,
487,-8.22908,
488,1.34711,
489,-2.54867,
490,-11.61686,
491,-6.51936,
492,-7.59547,
493,-7.64321,
494,-5.83845,
495,-6.33881,
496,-3.5653,
497,-4.1749,
498,-7.10133,
499,3.9895,
500,-14.01293,
501,5.16804,
502,-11.93561,
503,-16.12999,
504,0.19761,
505,-13.06206,
506,-4.71525,
507,2.00503,
508,-6.84777,
509,-4.24753,
510,-6.61417,
511,-5.26276,
512,-5.84823,
513,-4.91999,
514,-6.29392,
515,3.37777,
516,-7.60279,
517,-9.6569,
518,-5.26905,
519,-6.82577,
520,3.33726,
521,-9.28644,
522,-8.05039,
523,-3.63615,
524,-8.83624,
525,-2.11091,
526,4.74081,
527,-8.59772,
528,-9.56193,
529,-6.7765,
530,-6.71057,
531,-10.56789,
532,-10.0853,
533,-8.69242,
534,6.02319,
535,-12.78638,
536,-8.44747,
537,-1.09342,
538,-13.54817,
539,-4.23491,
540,2.82982,
541,-3.999,
