T;U_B1;Leistungsfaktor cos&j_1;U_A1
0;3,23204656525861;;0
0,2;3,23148185821923;;0
0,4;3,2284748721339;;0
0,6;3,21703279436191;;0
0,8;3,21800015537601;;0
1;3,21503888001374;;0
1,2;3,21515940506843;;0
1,4;3,20925614434249;;0
1,6;3,21151444026023;0,652056427607676;0,038405728739343
1,8;3,21990683095024;0,667392422184816;0,0982344135219425
2;3,22921042981098;0,670693076429209;0,157400762386972
2,201;3,2332723361944;0,671230428570942;0,216159663212173
2,4;3,24192458271318;0,671593137809412;0,275771644662754
2,6;3,24271876671413;0,672148652914944;0,33391615714128
2,8;3,24358212475035;0,672218928367324;0,393414539639805
3;3,24336630678682;0,672329704770018;0,45293487390573
3,2;3,24020061107333;0,672445294766178;0,510783711564885
3,4;3,24362066216134;0,67250940287334;0,570285016461067
3,6;3,24342411657803;0,672288396224909;0,629483915600709
3,8;3,24440287264082;0,672597847904176;0,687913512005688
4;3,2448613221523;0,672633446240752;0,747261667690776
4,2;3,24436819735368;0,672731097475958;0,805729483139347
4,4;3,24341255470222;0,672646361140219;0,864349466361841
4,6;3,24348963309581;0,672756710601354;0,92343110192369
4,8;3,24552769207104;0,672807919976439;0,981261942602484
5;3,2660105633632;0,673322512567862;1,0404926717666
5,2;3,26411167088383;0,673669230261363;1,09967040516693
5,4;3,27383185273771;0,6739873215232;1,15719488419194
5,6;3,28257140059436;0,674375257157449;1,2163880959628
5,8;3,29060404789151;0,674806586182003;1,27519606335653
6;3,29818510699445;0,674992575546734;1,33380095966377
6,2;3,30987159871799;0,675611747125688;1,39288369938053
6,4;3,32101641067912;0,676106957385849;1,45080150261847
6,6;3,33231151004824;0,676450634721564;1,50955291394505
6,8;3,34566510577493;0,676991501312797;1,56843074440665
7;3,35689961124845;0,677430346036962;1,62603044251945
7,2;3,3738887059297;0,678226086258818;1,68499258158604
7,4;3,39390998702087;0,6789613051648;1,74401834852733
7,6;3,39945951586425;0,679208990629002;1,80142998753768
7,8;3,39265751292405;0,678952211113436;1,86026207831047
8;3,38174880793947;0,678593713025558;1,91885382455256
8,2;3,36565743949083;0,677886135267604;1,97708118194474
8,4;3,33975298487777;0,676780327765175;2,035976424225
8,6;3,32091101958484;0,67593482551108;2,09342422838755
8,8;3,29798423283071;0,674936024789911;2,1522255922649
9;3,27413729095162;0,674006218285639;2,21093871466398
9,2;3,24949226803204;0,673111087867727;2,26818209145562
9,4;3,22349965100045;0,672229607400415;2,32706897190436
9,6;3,19967576482368;0,671374545898018;2,3858908189605
9,8;3,18329232085274;0,67068956939738;2,44298485463991
10;3,1695149471173;0,670109765577957;2,50164445915082
10,2;3,15669130578205;0,669723043585839;2,55956539279621
10,4;3,14980158105237;0,669250939843845;2,61731732886939
10,6;3,14990476046499;0,669424846662192;2,67596244368265
10,8;3,22204127844446;0,673004739601478;2,73331300805451
11;3,31533557879138;0,676442309332041;2,79184079058961
11,2;3,36948809168396;0,678848253202114;2,85032454292489
11,4;3,43893515495713;0,68152858052907;2,90749892519327
11,6;3,51672077367539;0,684554404818029;2,9661001331715
11,8;3,58542884464327;0,687261011560503;3,02478511633471
12;3,65269078899378;0,689809800666065;3,08175274803155
12,2;3,71549121920642;0,691921913458935;3,14007563603172
12,4;3,78146796892424;0,694625530076899;3,1983902200951
12,6;3,85054541591188;0,697349268040474;3,25630542179323
12,8;3,91437415176424;0,699512495324918;3,3146606161114
13;3,98231088690976;0,702099249201257;3,37207651158748
13,2;4,05047836681052;0,70456627082803;3,43019678735783
13,4;4,1069118568579;0,706670598899331;3,4885455421995
13,6;4,1329862085422;0,707603620046224;3,54551829779512
13,8;4,12717518406961;0,707385643831123;3,60392494372455
14;4,11860716747786;0,707047505299204;3,66244453882922
14,2;4,07294733577541;0,705666956801345;3,71913296347415
14,4;4,01720051777354;0,703723683591557;3,77740651770497
14,6;3,95757501508184;0,701637411875656;3,83574308315872
14,8;3,88974292209652;0,699181955784885;3,89345925880829
15,001;3,81741077171425;0,696627177989446;3,95166104315641
15,2;3,73495983914151;0,693708602051549;4,00904290323763
15,4;3,64949996574873;0,690933775566524;4,06673394753087
15,6;3,55580159738982;0,687131861489873;4,12488484687755
15,8;3,46467170161907;0,683684748497179;4,1817639818622
16;3,37909011421714;0,680297087871593;4,23993514101336
16,2;3,29715028471558;0,677002785533697;4,29827581711551
16,4;3,23168299806772;0,674296689526488;4,35484500298231
16,6;3,25555678801645;0,674961367607531;4,41287887891793
16,8;3,30981117286168;0,677292758919716;4,47116036393239
17;3,32409762191185;0,678012246678064;4,52822813029556
17,2;3,36583941981789;0,67955239350164;4,58617760231764
17,4;3,46233663874557;0,683294735085883;4,64386961487938
17,6;3,5409003092434;0,686422045650567;4,70084566860049
17,8;3,62230934625965;0,689275003794563;4,75893370409801
