t	x	y	vx	vy	v	ax	ay	a	
0,000	0,197	0,000						
0,017	0,198	8,091E-4	2,149E-3	4,967E-2	4,971E-2			
0,033	0,198	1,656E-3	-2,278E-3	5,353E-2	5,358E-2	-0,159	0,195	0,252
0,050	0,197	2,594E-3	-4,034E-3	5,673E-2	5,687E-2	-9,768E-2	0,170	0,196
0,067	0,197	3,547E-3	-4,463E-3	5,872E-2	5,889E-2	-1,859E-2	7,039E-2	7,281E-2
0,083	0,197	4,551E-3	-5,455E-3	5,955E-2	5,980E-2	0,488	0,257	0,552
0,100	0,197	5,531E-3	1,017E-2	6,587E-2	6,665E-2	0,106	0,315	0,332
0,117	0,198	6,747E-3	5,053E-3	7,224E-2	7,241E-2	-0,519	0,188	0,552
0,133	0,197	7,939E-3	-1,495E-2	7,101E-2	7,257E-2	-3,849E-2	8,340E-2	9,185E-2
0,150	0,197	9,114E-3	3,915E-3	7,439E-2	7,449E-2	0,198	0,217	0,294
0,167	0,198	1,042E-2	2,843E-4	7,930E-2	7,930E-2	0,196	0,224	0,297
0,183	0,197	1,176E-2	-1,635E-3	8,141E-2	8,142E-2	0,147	0,213	0,259
0,200	0,197	1,313E-2	1,488E-2	8,607E-2	8,735E-2	-0,220	0,246	0,330
0,217	0,198	1,463E-2	-1,009E-2	9,035E-2	9,091E-2	-0,435	0,159	0,463
0,233	0,197	1,614E-2	-8,250E-3	9,110E-2	9,147E-2	0,317	0,134	0,344
0,250	0,197	1,766E-2	1,051E-2	9,425E-2	9,484E-2	0,484	0,297	0,568
0,267	0,197	1,929E-2	3,873E-3	0,101	0,101	-0,237	0,189	0,303
0,283	0,197	2,104E-2	2,269E-3	0,102	0,102	-0,142	0,161	0,215
0,300	0,198	2,268E-2	2,555E-4	0,104	0,104	-0,141	0,228	0,268
0,317	0,197	2,452E-2	-3,378E-3	0,111	0,111	-0,143	0,217	0,260
0,333	0,197	2,639E-2	-4,190E-3	0,111	0,111	-6,825E-2	6,726E-2	9,583E-2
0,350	0,197	2,822E-2	-5,499E-3	0,113	0,113	-0,151	0,125	0,196
0,367	0,197	3,015E-2	-9,112E-3	0,116	0,117	-4,674E-2	-0,254	0,259
0,383	0,197	3,210E-2	-8,145E-3	0,106	0,106	0,493	0,339	0,598
0,400	0,197	3,367E-2	7,029E-3	0,120	0,121	6,530E-2	0,354	0,360
0,417	0,197	3,611E-2	-4,197E-4	0,129	0,129	-0,586	0,236	0,631
0,433	0,197	3,797E-2	-1,960E-2	0,119	0,120	-8,769E-2	-7,331E-2	0,114
0,450	0,197	4,006E-2	-3,024E-3	0,130	0,131	0,196	0,578	0,611
0,467	0,197	4,232E-2	-5,563E-3	0,138	0,138	0,285	0,101	0,303
0,483	0,196	4,466E-2	-4,306E-3	0,135	0,135	0,225	0,180	0,288
0,500	0,197	4,681E-2	1,123E-2	0,140	0,141	0,425	0,385	0,573
0,517	0,197	4,933E-2	5,626E-3	0,152	0,152	-0,847	0,275	0,890
0,533	0,197	5,186E-2	-1,380E-2	0,148	0,149	-0,332	-8,366E-2	0,343
0,550	0,196	5,427E-2	-1,344E-2	0,147	0,148	0,283	0,128	0,310
0,567	0,196	5,677E-2	4,006E-3	0,153	0,153	0,624	0,192	0,653
0,583	0,196	5,938E-2	3,941E-3	0,155	0,155	-0,124	0,188	0,225
0,600	0,197	6,193E-2	1,204E-3	0,158	0,158	-0,180	0,263	0,319
0,617	0,197	6,464E-2	-3,492E-3	0,165	0,165	-0,152	0,230	0,276
0,633	0,196	6,742E-2	-3,396E-3	0,166	0,166	-6,679E-2	0,132	0,148
0,650	0,196	7,016E-2	-5,213E-3	0,168	0,168	0,419	0,152	0,446
0,667	0,196	7,302E-2	7,703E-3	0,172	0,172	0,163	0,196	0,255
0,683	0,197	7,589E-2	7,142E-3	0,174	0,174	-0,276	0,211	0,347
0,700	0,197	7,881E-2	-8,229E-3	0,179	0,179	-0,117	0,230	0,258
0,717	0,196	8,185E-2	3,913E-3	0,182	0,182	0,128	0,118	0,174
0,733	0,197	8,488E-2	1,383E-3	0,182	0,182	3,201E-2	0,165	0,168
0,750	0,196	8,793E-2	-2,301E-3	0,187	0,187	7,003E-2	0,313	0,321
0,767	0,197	9,112E-2	8,731E-3	0,194	0,194	-5,685E-2	0,249	0,255
0,783	0,197	9,438E-2	-3,748E-3	0,195	0,195	-0,252	0,136	0,287
0,800	0,196	9,763E-2	-5,078E-3	0,197	0,198	0,128	0,220	0,255
0,817	0,197	0,101	5,783E-3	0,203	0,203	0,330	0,191	0,381
0,833	0,197	0,104	4,183E-3	0,205	0,205	-0,183	0,243	0,304
0,850	0,197	0,108	6,518E-6	0,209	0,209	-0,124	0,274	0,301
0,867	0,197	0,111	-1,081E-3	0,216	0,216	-5,635E-2	0,173	0,182
0,883	0,197	0,115	-5,380E-4	0,214	0,214	-3,071E-2	3,646E-2	4,767E-2
0,900	0,197	0,119	-2,804E-3	0,216	0,216	-2,959E-2	0,167	0,170
0,917	0,197	0,122	-1,706E-3	0,221	0,221	7,043E-2	0,102	0,124
0,933	0,197	0,126	1,044E-4	0,220	0,220	0,187	0,141	0,234
0,950	0,197	0,130	3,802E-3	0,224	0,224	-1,255E-2	0,317	0,317
0,967	0,197	0,133	1,536E-3	0,232	0,232	-7,066E-2	0,202	0,214
0,983	0,197	0,137	-1,190E-3	0,231	0,231	-0,121	8,456E-2	0,148
1,000	0,197	0,141	-4,335E-4	0,233	0,233	0,112	0,197	0,227
1,017	0,197	0,145	8,753E-4	0,240	0,240	-0,117	0,186	0,220
1,033	0,197	0,149	-2,003E-3	0,239	0,239	-0,101	0,251	0,271
1,050	0,197	0,153	-5,368E-3	0,246	0,246	0,174	0,355	0,395
1,067	0,197	0,157	4,681E-3	0,253	0,253	8,581E-2	7,891E-2	0,117
1,083	0,197	0,161	5,581E-4	0,247	0,247	-0,152	4,551E-2	0,159
1,100	0,197	0,165	-5,251E-3	0,253	0,253	-0,130	0,342	0,366
1,117	0,197	0,170	-6,494E-4	0,262	0,262	0,110	0,315	0,334
1,133	0,197	0,174	-2,323E-3	0,262	0,262	2,204E-2	0,177	0,178
1,150	0,196	0,179	-5,646E-4	0,267	0,267	0,109	0,255	0,277
1,167	0,196	0,183	2,284E-3	0,272	0,272	3,636E-2	5,199E-2	6,344E-2
1,183	0,197	0,188	4,830E-4	0,268	0,268	0,106	8,516E-2	0,136
1,200	0,197	0,192	4,499E-3	0,273	0,273	0,113	0,111	0,158
1,217	0,197	0,197	6,678E-3	0,276	0,276	0,141	0,110	0,179
1,233	0,197	0,201	6,804E-3	0,274	0,274	-0,555	5,808E-2	0,558
1,250	0,197	0,206	-7,652E-3	0,279	0,279	-0,123	0,278	0,304
1,267	0,196	0,211	-5,882E-3	0,283	0,283	-0,281	0,197	0,343
1,283	0,197	0,215	-5,859E-3	0,286	0,286	0,639	0,457	0,786
1,300	0,196	0,220	2,792E-3	0,297	0,297	-0,125	0,209	0,244
1,317	0,197	0,225	4,779E-3	0,297	0,297	0,439	7,051E-2	0,445
1,333	0,196	0,230	2,301E-3	0,294	0,294	-0,241	0,114	0,267
1,350	0,197	0,235	9,806E-3	0,303	0,304	-0,203	0,278	0,344
1,367	0,197	0,240	-1,193E-2	0,303	0,303	-0,641	0,144	0,657
1,383	0,196	0,245	-1,145E-2	0,306	0,306	0,323	0,415	0,526
1,400	0,196	0,250	2,816E-4	0,318	0,318	0,277	0,330	0,431
1,417	0,196	0,256	-3,167E-4	0,319	0,319	-4,296E-3	3,902E-2	3,926E-2
1,433	0,196	0,261	-3,209E-3	0,317	0,317	0,172	0,220	0,279
1,450	0,196	0,266	6,621E-3	0,327	0,327	0,209	0,180	0,275
1,467	0,197	0,272	5,870E-3	0,325	0,325	-1,701E-2	-3,052E-3	1,728E-2
1,483	0,197	0,277	2,753E-3	0,322	0,323	2,511E-2	0,120	0,123
1,500	0,197	0,283	8,415E-3	0,332	0,332	7,092E-2	8,653E-2	0,112
1,517	0,197	0,288	5,840E-3	0,327	0,327	-0,634	-7,902E-2	0,639
1,533	0,197	0,293	-1,238E-2	0,325	0,325	-0,105	0,296	0,314
1,550	0,196	0,299	-4,017E-3	0,339	0,339	0,432	0,307	0,530
1,567	0,197	0,305	1,120E-2	0,338	0,338	8,793E-2	6,109E-2	0,107
1,583	0,197	0,310	-4,829E-3	0,337	0,337	-0,188	0,239	0,304
1,600	0,197	0,316	1,074E-3	0,348	0,348	-0,137	0,164	0,214
1,617	0,197	0,322	-1,242E-3	0,344	0,344	-0,164	0,164	0,232
1,633	0,197	0,327	-1,245E-2	0,348	0,349	0,215	0,411	0,464
1,650	0,196	0,333	8,177E-3	0,362	0,362	0,304	0,140	0,335
1,667	0,197	0,339	3,591E-3	0,353	0,353	-0,218	-3,421E-2	0,221
1,683	0,197	0,345	-7,657E-3	0,356	0,356	-0,297	0,325	0,440
1,700	0,197	0,351	-1,232E-3	0,369	0,369	0,185	0,355	0,400
1,717	0,197	0,357	-2,890E-3	0,366	0,366	8,291E-2	0,113	0,140
1,733	0,196	0,364	9,860E-4	0,371	0,371	0,129	0,266	0,296
1,750	0,197	0,370	3,001E-3	0,377	0,377	1,540E-2	7,223E-2	7,385E-2
1,767	0,197	0,376	3,043E-4	0,373	0,373			
1,783	0,197	0,382						
