t	x	y	a	b	v	c	d	e	f	w	
0,000	0,531	0,496				9,133E-2	0,505			
0,017	0,531	0,496	-3,354E-2	-3,579E-2	4,905E-2	9,166E-2	0,505	4,398E-2	-3,288E-2	5,492E-2
0,033	0,530	0,495	-3,693E-2	-4,302E-2	5,670E-2	9,279E-2	0,504	4,693E-2	-2,972E-2	5,555E-2
0,050	0,529	0,494	-4,780E-2	-5,531E-2	7,310E-2	9,322E-2	0,504	4,616E-2	-1,582E-2	4,880E-2
0,067	0,529	0,493	-6,210E-2	-6,996E-2	9,355E-2	9,433E-2	0,503	6,958E-2	-5,875E-2	9,106E-2
0,083	0,527	0,492	-7,019E-2	-8,670E-2	0,112	9,554E-2	0,502	7,181E-2	-5,954E-2	9,329E-2
0,100	0,526	0,490	-8,411E-2	-0,104	0,134	9,672E-2	0,501	9,142E-2	-6,867E-2	0,114
0,117	0,525	0,488	-0,105	-0,118	0,158	9,859E-2	0,500	0,112	-9,697E-2	0,148
0,133	0,523	0,486	-0,114	-0,122	0,167	0,100	0,498	0,112	-0,100	0,151
0,150	0,521	0,484	-0,127	-0,132	0,183	0,102	0,496	0,117	-0,101	0,155
0,167	0,518	0,482	-0,144	-0,145	0,204	0,104	0,495	0,127	-0,115	0,172
0,183	0,516	0,479	-0,157	-0,147	0,215	0,107	0,492	0,158	-0,130	0,204
0,200	0,513	0,477	-0,171	-0,150	0,227	0,110	0,490	0,190	-0,149	0,242
0,217	0,510	0,474	-0,184	-0,166	0,247	0,113	0,487	0,197	-0,168	0,259
0,233	0,507	0,471	-0,190	-0,176	0,259	0,116	0,485	0,201	-0,149	0,250
0,250	0,504	0,469	-0,193	-0,167	0,255	0,120	0,482	0,205	-0,148	0,253
0,267	0,501	0,466	-0,202	-0,170	0,263	0,123	0,480	0,232	-0,186	0,297
0,283	0,497	0,463	-0,198	-0,185	0,270	0,127	0,476	0,235	-0,184	0,298
0,300	0,494	0,460	-0,188	-0,175	0,257	0,131	0,474	0,213	-0,161	0,267
0,317	0,491	0,457	-0,188	-0,171	0,254	0,134	0,471	0,239	-0,182	0,300
0,333	0,488	0,454	-0,197	-0,181	0,267	0,139	0,467	0,234	-0,166	0,287
0,350	0,484	0,451	-0,197	-0,186	0,271	0,142	0,465	0,204	-0,149	0,253
0,367	0,481	0,448	-0,192	-0,174	0,259	0,146	0,462	0,232	-0,188	0,298
0,383	0,478	0,445	-0,189	-0,170	0,255	0,150	0,459	0,232	-0,187	0,298
0,400	0,475	0,442	-0,194	-0,184	0,267	0,153	0,456	0,208	-0,165	0,265
0,417	0,472	0,439	-0,196	-0,172	0,261	0,157	0,454	0,236	-0,163	0,287
0,433	0,468	0,436	-0,185	-0,174	0,254	0,161	0,451	0,230	-0,169	0,286
0,450	0,465	0,433	-0,194	-0,188	0,270	0,165	0,448	0,202	-0,172	0,265
0,467	0,462	0,430	-0,196	-0,175	0,263	0,168	0,445	0,230	-0,190	0,298
0,483	0,459	0,428	-0,184	-0,176	0,254	0,172	0,442	0,230	-0,169	0,286
0,500	0,456	0,424	-0,181	-0,173	0,250	0,176	0,439	0,200	-0,151	0,251
0,517	0,453	0,422	-0,180	-0,172	0,250	0,179	0,437	0,226	-0,193	0,297
0,533	0,450	0,419	-0,193	-0,187	0,269	0,183	0,433	0,231	-0,189	0,299
0,550	0,446	0,416	-0,193	-0,170	0,257	0,187	0,430	0,229	-0,168	0,284
0,567	0,443	0,413	-0,180	-0,173	0,250	0,191	0,427	0,225	-0,173	0,284
0,583	0,440	0,410	-0,182	-0,174	0,252	0,194	0,424	0,202	-0,175	0,267
0,600	0,437	0,407	-0,181	-0,170	0,248	0,198	0,422	0,223	-0,174	0,283
0,617	0,434	0,404	-0,180	-0,170	0,247	0,202	0,419	0,222	-0,174	0,282
0,633	0,431	0,401	-0,189	-0,171	0,255	0,205	0,416	0,220	-0,176	0,282
0,650	0,428	0,398	-0,186	-0,171	0,253	0,209	0,413	0,219	-0,178	0,282
0,667	0,425	0,396	-0,177	-0,174	0,248	0,212	0,410	0,218	-0,179	0,282
0,683	0,422	0,393	-0,179	-0,177	0,252	0,216	0,407	0,219	-0,180	0,283
0,700	0,419	0,390	-0,178	-0,171	0,247	0,220	0,404	0,216	-0,182	0,282
0,717	0,416	0,387	-0,179	-0,169	0,246	0,223	0,401	0,216	-0,180	0,281
0,733	0,413	0,384	-0,190	-0,171	0,255	0,227	0,398	0,206	-0,178	0,272
0,750	0,410	0,381	-0,186	-0,174	0,254	0,230	0,395	0,220	-0,172	0,280
0,767	0,407	0,378	-0,164	-0,170	0,236	0,234	0,392	0,214	-0,179	0,279
0,783	0,404	0,376	-0,132	-0,173	0,218	0,237	0,389	0,182	-0,178	0,255
0,800	0,403	0,373	-7,090E-2	-0,170	0,185	0,240	0,386	0,143	-0,158	0,214
0,817	0,402	0,370	9,879E-3	-0,171	0,172	0,242	0,384	8,872E-2	-0,158	0,181
0,833	0,403	0,367	9,820E-2	-0,177	0,202	0,243	0,381	3,555E-2	-0,161	0,165
0,850	0,405	0,364	0,181	-0,189	0,262	0,243	0,378	-2,428E-2	-0,160	0,162
0,867	0,409	0,361	0,240	-0,200	0,312	0,242	0,376	-7,096E-2	-0,148	0,164
0,883	0,413	0,357	0,270	-0,212	0,343	0,241	0,373	-9,258E-2	-0,144	0,171
0,900	0,418	0,354	0,280	-0,217	0,354	0,239	0,371	-9,598E-2	-0,146	0,174
0,917	0,423	0,350	0,279	-0,209	0,349	0,238	0,369	-8,617E-2	-0,141	0,165
0,933	0,427	0,347	0,279	-0,210	0,350	0,236	0,366	-8,888E-2	-0,146	0,171
0,950	0,432	0,343	0,279	-0,211	0,350	0,235	0,364	-9,240E-2	-0,147	0,174
0,967	0,437	0,340	0,272	-0,207	0,342	0,233	0,361	-9,297E-2	-0,142	0,170
0,983	0,441	0,336	0,275	-0,209	0,345	0,232	0,359	-8,916E-2	-0,145	0,170
1,000	0,446	0,333	0,278	-0,212	0,349	0,230	0,356	-8,619E-2	-0,147	0,171
1,017	0,450	0,329	0,271	-0,208	0,341	0,229	0,354	-9,118E-2	-0,148	0,174
1,033	0,455	0,326	0,278	-0,213	0,350	0,227	0,351	-9,573E-2	-0,150	0,178
1,050	0,460	0,322	0,286	-0,220	0,361	0,226	0,349	-9,706E-2	-0,146	0,175
1,067	0,464	0,318	0,279	-0,215	0,352	0,224	0,347	-8,514E-2	-0,143	0,167
1,083	0,469	0,315	0,278	-0,212	0,350	0,223	0,344	-8,450E-2	-0,147	0,169
1,100	0,474	0,311	0,279	-0,214	0,351	0,221	0,342	-9,467E-2	-0,149	0,177
1,117	0,478	0,308	0,272	-0,210	0,344	0,220	0,339	-9,374E-2	-0,144	0,172
1,133	0,483	0,304	0,273	-0,210	0,344	0,218	0,337	-8,656E-2	-0,147	0,171
1,150	0,487	0,301	0,285	-0,222	0,361	0,217	0,334	-8,557E-2	-0,152	0,174
1,167	0,492	0,297	0,281	-0,221	0,358	0,215	0,332	-9,206E-2	-0,148	0,174
1,183	0,497	0,293	0,277	-0,213	0,349	0,214	0,329	-9,519E-2	-0,144	0,173
1,200	0,501	0,290	0,281	-0,214	0,353	0,212	0,327	-8,335E-2	-0,151	0,172
1,217	0,506	0,286	0,275	-0,213	0,348	0,211	0,324	-8,283E-2	-0,151	0,172
1,233	0,511	0,283	0,271	-0,211	0,344	0,209	0,322	-9,575E-2	-0,148	0,176
1,250	0,515	0,279	0,284	-0,223	0,361	0,208	0,319	-9,650E-2	-0,149	0,177
1,267	0,520	0,275	0,286	-0,226	0,364	0,206	0,317	-8,736E-2	-0,149	0,173
1,283	0,525	0,272	0,274	-0,215	0,348	0,205	0,314	-7,642E-2	-0,154	0,172
1,300	0,529	0,268	0,278	-0,215	0,351	0,204	0,312	-7,961E-2	-0,151	0,171
1,317	0,534	0,264	0,278	-0,211	0,349	0,202	0,309	-8,481E-2	-0,151	0,173
1,333	0,538	0,261	0,272	-0,207	0,342	0,201	0,307	-9,014E-2	-0,154	0,179
1,350	0,543	0,258	0,284	-0,209	0,353	0,199	0,304	-8,242E-2	-0,149	0,170
1,367	0,548	0,254	0,281	-0,217	0,355	0,198	0,302	-8,122E-2	-0,144	0,165
1,383	0,552	0,250	0,265	-0,219	0,344	0,196	0,300	-9,193E-2	-0,150	0,176
1,400	0,557	0,247	0,267	-0,216	0,344	0,195	0,297	-9,327E-2	-0,151	0,177
1,417	0,561	0,243				0,193	0,294			
