x	a	b	h	d	e	f	
0,000						
0,017	-5,031E-2	-5,368E-2	7,357E-2	4,398E-2	-3,288E-2	5,492E-2
0,033	-5,540E-2	-6,452E-2	8,504E-2	4,693E-2	-2,972E-2	5,555E-2
0,050	-7,170E-2	-8,296E-2	0,110	4,616E-2	-1,582E-2	4,880E-2
0,067	-9,315E-2	-0,105	0,140	6,958E-2	-5,875E-2	9,106E-2
0,083	-0,105	-0,130	0,167	7,181E-2	-5,954E-2	9,329E-2
0,100	-0,126	-0,157	0,201	9,142E-2	-6,867E-2	0,114
0,117	-0,157	-0,177	0,237	0,112	-9,697E-2	0,148
0,133	-0,171	-0,183	0,251	0,112	-0,100	0,151
0,150	-0,191	-0,198	0,275	0,117	-0,101	0,155
0,167	-0,216	-0,217	0,306	0,127	-0,115	0,172
0,183	-0,235	-0,220	0,322	0,158	-0,130	0,204
0,200	-0,256	-0,225	0,341	0,190	-0,149	0,242
0,217	-0,276	-0,249	0,371	0,197	-0,168	0,259
0,233	-0,286	-0,264	0,389	0,201	-0,149	0,250
0,250	-0,289	-0,250	0,382	0,205	-0,148	0,253
0,267	-0,302	-0,254	0,395	0,232	-0,186	0,297
0,283	-0,296	-0,277	0,406	0,235	-0,184	0,298
0,300	-0,282	-0,263	0,386	0,213	-0,161	0,267
0,317	-0,282	-0,257	0,382	0,239	-0,182	0,300
0,333	-0,295	-0,272	0,401	0,234	-0,166	0,287
0,350	-0,295	-0,279	0,406	0,204	-0,149	0,253
0,367	-0,288	-0,261	0,389	0,232	-0,188	0,298
0,383	-0,284	-0,256	0,382	0,232	-0,187	0,298
0,400	-0,290	-0,276	0,400	0,208	-0,165	0,265
0,417	-0,294	-0,258	0,391	0,236	-0,163	0,287
0,433	-0,278	-0,261	0,381	0,230	-0,169	0,286
0,450	-0,290	-0,282	0,404	0,202	-0,172	0,265
0,467	-0,294	-0,262	0,394	0,230	-0,190	0,298
0,483	-0,276	-0,263	0,381	0,230	-0,169	0,286
0,500	-0,271	-0,259	0,375	0,200	-0,151	0,251
0,517	-0,271	-0,259	0,374	0,226	-0,193	0,297
0,533	-0,290	-0,280	0,403	0,231	-0,189	0,299
0,550	-0,290	-0,255	0,386	0,229	-0,168	0,284
0,567	-0,270	-0,260	0,375	0,225	-0,173	0,284
0,583	-0,273	-0,261	0,378	0,202	-0,175	0,267
0,600	-0,271	-0,255	0,372	0,223	-0,174	0,283
0,617	-0,270	-0,254	0,371	0,222	-0,174	0,282
0,633	-0,284	-0,256	0,383	0,220	-0,176	0,282
0,650	-0,279	-0,257	0,380	0,219	-0,178	0,282
0,667	-0,265	-0,261	0,372	0,218	-0,179	0,282
0,683	-0,269	-0,266	0,378	0,219	-0,180	0,283
0,700	-0,268	-0,257	0,371	0,216	-0,182	0,282
0,717	-0,268	-0,253	0,369	0,216	-0,180	0,281
0,733	-0,285	-0,256	0,383	0,206	-0,178	0,272
0,750	-0,279	-0,261	0,382	0,220	-0,172	0,280
0,767	-0,246	-0,254	0,354	0,214	-0,179	0,279
0,783	-0,198	-0,260	0,326	0,182	-0,178	0,255
0,800	-0,106	-0,256	0,277	0,143	-0,158	0,214
0,817	1,482E-2	-0,257	0,257	8,872E-2	-0,158	0,181
0,833	0,147	-0,265	0,303	3,555E-2	-0,161	0,165
0,850	0,271	-0,284	0,393	-2,428E-2	-0,160	0,162
0,867	0,360	-0,300	0,469	-7,096E-2	-0,148	0,164
0,883	0,405	-0,318	0,515	-9,258E-2	-0,144	0,171
0,900	0,419	-0,325	0,530	-9,598E-2	-0,146	0,174
0,917	0,418	-0,314	0,523	-8,617E-2	-0,141	0,165
0,933	0,419	-0,315	0,524	-8,888E-2	-0,146	0,171
0,950	0,418	-0,317	0,524	-9,240E-2	-0,147	0,174
0,967	0,409	-0,311	0,513	-9,297E-2	-0,142	0,170
0,983	0,413	-0,313	0,518	-8,916E-2	-0,145	0,170
1,000	0,416	-0,318	0,524	-8,619E-2	-0,147	0,171
1,017	0,406	-0,312	0,512	-9,118E-2	-0,148	0,174
1,033	0,417	-0,320	0,525	-9,573E-2	-0,150	0,178
1,050	0,429	-0,330	0,541	-9,706E-2	-0,146	0,175
1,067	0,419	-0,323	0,529	-8,514E-2	-0,143	0,167
1,083	0,417	-0,318	0,524	-8,450E-2	-0,147	0,169
1,100	0,418	-0,321	0,527	-9,467E-2	-0,149	0,177
1,117	0,408	-0,315	0,516	-9,374E-2	-0,144	0,172
1,133	0,410	-0,315	0,517	-8,656E-2	-0,147	0,171
1,150	0,427	-0,334	0,542	-8,557E-2	-0,152	0,174
1,167	0,422	-0,332	0,537	-9,206E-2	-0,148	0,174
1,183	0,415	-0,319	0,524	-9,519E-2	-0,144	0,173
1,200	0,421	-0,322	0,530	-8,335E-2	-0,151	0,172
1,217	0,413	-0,319	0,522	-8,283E-2	-0,151	0,172
1,233	0,407	-0,316	0,515	-9,575E-2	-0,148	0,176
1,250	0,426	-0,335	0,542	-9,650E-2	-0,149	0,177
1,267	0,428	-0,338	0,546	-8,736E-2	-0,149	0,173
1,283	0,412	-0,322	0,523	-7,642E-2	-0,154	0,172
1,300	0,417	-0,322	0,527	-7,961E-2	-0,151	0,171
1,317	0,416	-0,317	0,523	-8,481E-2	-0,151	0,173
1,333	0,408	-0,311	0,514	-9,014E-2	-0,154	0,179
1,350	0,425	-0,314	0,529	-8,242E-2	-0,149	0,170
1,367	0,422	-0,326	0,533	-8,122E-2	-0,144	0,165
1,383	0,397	-0,329	0,516	-9,193E-2	-0,150	0,176
1,400	0,401	-0,324	0,515	-9,327E-2	-0,151	0,177
						
